Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",63423,"(+/- 9510 )",122474,"(+/- 9866 )",53377,"(+/- 6534 )",128748,"(+/- 9099 )",98223,"(+/- 10240 )",104018,"(+/- 9821 )",141331,"(+/- 12005 )",71962,"(+/- 7995 )",39069,"(+/- 4504 )",39306,"(+/- 6389 )",45705,"(+/- 6626 )",49529,"(+/- 7747 )",291052,"(+/- 18547 )",228114,"(+/- 12739 )",272122,"(+/- 16198 )",96115,"(+/- 7479 )",101289,"(+/- 8336 )",53074,"(+/- 6327 )",22918,"(+/- 3398 )",17992,"(+/- 3323 )",8409,"(+/- 1604 )",9294,"(+/- 1701 )",8387,"(+/- 1656 )",8690,"(+/- 1925 )",13114,"(+/- 2755 )",11869,"(+/- 2780 )",5043,"(+/- 1372 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",604322,"(+/- 8916 )",540379,"(+/- 11127 )",634206,"(+/- 11524 )",567305,"(+/- 9315 )",622116,"(+/- 15214 )",580764,"(+/- 16446 )",434130,"(+/- 14120 )",649896,"(+/- 15609 )",649334,"(+/- 15573 )",620130,"(+/- 13462 )",598396,"(+/- 9841 )",612405,"(+/- 15474 )",357595,"(+/- 10813 )",349718,"(+/- 14714 )",257474,"(+/- 14259 )",535721,"(+/- 14761 )",581962,"(+/- 6322 )",593581,"(+/- 5249 )",642365,"(+/- 5255 )",673020,"(+/- 4975 )",676898,"(+/- 3966 )",670127,"(+/- 3990 )",665431,"(+/- 4039 )",669077,"(+/- 3128 )",652231,"(+/- 2309 )",657432,"(+/- 4344 )",693671,"(+/- 5911 )"
People,"Place of Birth","Total population",718726,"(+/- 4733 )",709605,"(+/- 9596 )",707576,"(+/- 9548 )",729582,"(+/- 10656 )",757972,"(+/- 19470 )",734183,"(+/- 18479 )",720811,"(+/- 18558 )",791211,"(+/- 19332 )",730957,"(+/- 15833 )",711678,"(+/- 16485 )",732886,"(+/- 12122 )",698928,"(+/- 17290 )",795633,"(+/- 19089 )",706440,"(+/- 18824 )",743959,"(+/- 17471 )",732981,"(+/- 13275 )",741445,"(+/- 4863 )",722226,"(+/- 5836 )",700310,"(+/- 5135 )",722529,"(+/- 5179 )",701112,"(+/- 3853 )",697372,"(+/- 4021 )",693764,"(+/- 4130 )",701664,"(+/- 3167 )",718565,"(+/- 2469 )",707190,"(+/- 4282 )",712904,"(+/- 6119 )"
People,"Place of Birth",Native,628001,"(+/- 8550 )",586015,"(+/- 12436 )",541412,"(+/- 10602 )",555218,"(+/- 11136 )",435579,"(+/- 13478 )",354874,"(+/- 13627 )",485583,"(+/- 16296 )",527844,"(+/- 17333 )",445389,"(+/- 14560 )",489781,"(+/- 13536 )",502602,"(+/- 11660 )",514033,"(+/- 17005 )",505970,"(+/- 17733 )",380354,"(+/- 14221 )",476487,"(+/- 15485 )",511972,"(+/- 13275 )",577107,"(+/- 8922 )",631426,"(+/- 7703 )",655507,"(+/- 6377 )",654013,"(+/- 7349 )",674817,"(+/- 4962 )",654698,"(+/- 5393 )",666173,"(+/- 4915 )",656900,"(+/- 4682 )",653613,"(+/- 5460 )",642049,"(+/- 6882 )",687627,"(+/- 7509 )"
People,"Place of Birth","Born in United States",616905,"(+/- 8486 )",572800,"(+/- 12715 )",530947,"(+/- 10262 )",541777,"(+/- 11320 )",419075,"(+/- 12508 )",339298,"(+/- 13737 )",445980,"(+/- 15489 )",503519,"(+/- 17312 )",426539,"(+/- 13912 )",470952,"(+/- 13470 )",481699,"(+/- 11823 )",499975,"(+/- 17126 )",465290,"(+/- 16378 )",351893,"(+/- 13276 )",418697,"(+/- 15019 )",477804,"(+/- 13687 )",560625,"(+/- 8928 )",614777,"(+/- 7200 )",647036,"(+/- 6466 )",643898,"(+/- 7606 )",667395,"(+/- 5065 )",648480,"(+/- 5417 )",657601,"(+/- 5133 )",649817,"(+/- 4929 )",628305,"(+/- 5756 )",628683,"(+/- 7111 )",682606,"(+/- 7441 )"
People,"Place of Birth","State of residence",568164,"(+/- 8637 )",534835,"(+/- 12368 )",483342,"(+/- 10265 )",505252,"(+/- 11763 )",376647,"(+/- 12369 )",308612,"(+/- 12549 )",348595,"(+/- 13496 )",412345,"(+/- 16062 )",341774,"(+/- 13332 )",316263,"(+/- 12408 )",444882,"(+/- 11435 )",281559,"(+/- 13388 )",364226,"(+/- 15406 )",314442,"(+/- 12747 )",380119,"(+/- 15126 )",399415,"(+/- 13774 )",467344,"(+/- 9840 )",504993,"(+/- 9387 )",528723,"(+/- 8077 )",532267,"(+/- 8590 )",539269,"(+/- 7334 )",554980,"(+/- 6687 )",513847,"(+/- 7515 )",550106,"(+/- 6579 )",518419,"(+/- 7387 )",552151,"(+/- 7570 )",606606,"(+/- 7672 )"
People,"Place of Birth","Different state",48741,"(+/- 4056 )",37965,"(+/- 4273 )",47605,"(+/- 3554 )",36525,"(+/- 3668 )",42428,"(+/- 3278 )",30686,"(+/- 4142 )",97385,"(+/- 5673 )",91174,"(+/- 6296 )",84765,"(+/- 4930 )",154689,"(+/- 6521 )",36817,"(+/- 3497 )",218416,"(+/- 9463 )",101064,"(+/- 7491 )",37451,"(+/- 3393 )",38578,"(+/- 4755 )",78389,"(+/- 5260 )",93281,"(+/- 5806 )",109784,"(+/- 7110 )",118313,"(+/- 5484 )",111631,"(+/- 5154 )",128126,"(+/- 6156 )",93500,"(+/- 5206 )",143754,"(+/- 6807 )",99711,"(+/- 4749 )",109886,"(+/- 5229 )",76532,"(+/- 4511 )",76000,"(+/- 4287 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11096,"(+/- 2855 )",13215,"(+/- 2708 )",10465,"(+/- 2210 )",13441,"(+/- 2602 )",16504,"(+/- 2801 )",15576,"(+/- 2221 )",39603,"(+/- 3742 )",24325,"(+/- 3277 )",18850,"(+/- 2600 )",18829,"(+/- 3494 )",20903,"(+/- 2738 )",14058,"(+/- 2494 )",40680,"(+/- 5497 )",28461,"(+/- 3942 )",57790,"(+/- 5005 )",34168,"(+/- 4641 )",16482,"(+/- 2922 )",16649,"(+/- 2540 )",8471,"(+/- 1569 )",10115,"(+/- 2169 )",7422,"(+/- 1313 )",6218,"(+/- 1566 )",8572,"(+/- 1649 )",7083,"(+/- 1539 )",25308,"(+/- 3191 )",13366,"(+/- 2311 )",5021,"(+/- 1349 )"
People,"Place of Birth","Foreign born",90725,"(+/- 7509 )",123590,"(+/- 8111 )",166164,"(+/- 8398 )",174364,"(+/- 8597 )",322393,"(+/- 14862 )",379309,"(+/- 12135 )",235228,"(+/- 10085 )",263367,"(+/- 9809 )",285568,"(+/- 9931 )",221897,"(+/- 9717 )",230284,"(+/- 9953 )",184895,"(+/- 8478 )",289663,"(+/- 14258 )",326086,"(+/- 13501 )",267472,"(+/- 12553 )",221009,"(+/- 8552 )",164338,"(+/- 7693 )",90800,"(+/- 6331 )",44803,"(+/- 3416 )",68516,"(+/- 4932 )",26295,"(+/- 3135 )",42674,"(+/- 3909 )",27591,"(+/- 2620 )",44764,"(+/- 3439 )",64952,"(+/- 4552 )",65141,"(+/- 5792 )",25277,"(+/- 3144 )"
People,Ancestry,"Total population",718726,"(+/- 4733 )",709605,"(+/- 9596 )",707576,"(+/- 9548 )",729582,"(+/- 10656 )",757972,"(+/- 19470 )",734183,"(+/- 18479 )",720811,"(+/- 18558 )",791211,"(+/- 19332 )",730957,"(+/- 15833 )",711678,"(+/- 16485 )",732886,"(+/- 12122 )",698928,"(+/- 17290 )",795633,"(+/- 19089 )",706440,"(+/- 18824 )",743959,"(+/- 17471 )",732981,"(+/- 13275 )",741445,"(+/- 4863 )",722226,"(+/- 5836 )",700310,"(+/- 5135 )",722529,"(+/- 5179 )",701112,"(+/- 3853 )",697372,"(+/- 4021 )",693764,"(+/- 4130 )",701664,"(+/- 3167 )",718565,"(+/- 2469 )",707190,"(+/- 4282 )",712904,"(+/- 6119 )"
People,Ancestry,American,77283,"(+/- 10079 )",41154,"(+/- 7243 )",30111,"(+/- 5115 )",26944,"(+/- 3747 )",22200,"(+/- 3636 )",17551,"(+/- 3458 )",26118,"(+/- 4726 )",31533,"(+/- 3867 )",38903,"(+/- 5948 )",40929,"(+/- 5796 )",42740,"(+/- 5281 )",25137,"(+/- 4037 )",15372,"(+/- 3707 )",18439,"(+/- 3248 )",11631,"(+/- 2692 )",43267,"(+/- 5726 )",63876,"(+/- 6470 )",54075,"(+/- 6708 )",34325,"(+/- 4284 )",26538,"(+/- 3964 )",64812,"(+/- 5165 )",70470,"(+/- 5176 )",39851,"(+/- 3485 )",27843,"(+/- 2857 )",32362,"(+/- 4450 )",21714,"(+/- 3185 )",31198,"(+/- 4550 )"
People,Ancestry,Arab,2400,"(+/- 1426 )",1436,"(+/- 797 )",5658,"(+/- 2394 )",3265,"(+/- 1224 )",5209,"(+/- 3044 )",7629,"(+/- 2749 )",5377,"(+/- 1479 )",6090,"(+/- 1992 )",9649,"(+/- 2769 )",8256,"(+/- 2069 )",30109,"(+/- 5799 )",13193,"(+/- 3104 )",5510,"(+/- 1806 )",9485,"(+/- 3302 )",4987,"(+/- 2752 )",5153,"(+/- 1984 )",4525,"(+/- 1708 )",3272,"(+/- 1413 )",1845,"(+/- 785 )",5126,"(+/- 2290 )",2662,"(+/- 1251 )",4310,"(+/- 1499 )",3561,"(+/- 1337 )",5893,"(+/- 2176 )",5584,"(+/- 2454 )",13170,"(+/- 3308 )",3056,"(+/- 1560 )"
People,Ancestry,Czech,2065,"(+/- 772 )",2603,"(+/- 1108 )",2501,"(+/- 889 )",1459,"(+/- 554 )",171,"(+/- 130 )",1751,"(+/- 1279 )",857,"(+/- 445 )",551,"(+/- 379 )",809,"(+/- 344 )",3481,"(+/- 2516 )",968,"(+/- 637 )",1606,"(+/- 915 )",598,"(+/- 548 )",720,"(+/- 640 )",67,"(+/- 89 )",1813,"(+/- 942 )",3312,"(+/- 1108 )",2462,"(+/- 1228 )",3653,"(+/- 1474 )",2424,"(+/- 844 )",2619,"(+/- 939 )",2097,"(+/- 815 )",2043,"(+/- 743 )",2003,"(+/- 636 )",1470,"(+/- 767 )",806,"(+/- 417 )",935,"(+/- 445 )"
People,Ancestry,Danish,2721,"(+/- 1212 )",1321,"(+/- 628 )",1076,"(+/- 425 )",525,"(+/- 412 )",71,"(+/- 84 )",89,"(+/- 88 )",1494,"(+/- 734 )",953,"(+/- 401 )",525,"(+/- 393 )",2421,"(+/- 1809 )",811,"(+/- 490 )",1488,"(+/- 786 )",763,"(+/- 503 )",52,"(+/- 87 )",55,"(+/- 91 )",449,"(+/- 339 )",1581,"(+/- 797 )",1436,"(+/- 760 )",2084,"(+/- 668 )",3352,"(+/- 1641 )",1362,"(+/- 620 )",1471,"(+/- 557 )",3074,"(+/- 957 )",1808,"(+/- 796 )",1242,"(+/- 718 )",726,"(+/- 402 )",1940,"(+/- 848 )"
People,Ancestry,Dutch,4585,"(+/- 1321 )",3247,"(+/- 1020 )",2746,"(+/- 1035 )",2930,"(+/- 922 )",625,"(+/- 311 )",665,"(+/- 376 )",2504,"(+/- 919 )",3897,"(+/- 2003 )",1653,"(+/- 611 )",3968,"(+/- 1375 )",798,"(+/- 537 )",6153,"(+/- 1869 )",1348,"(+/- 751 )",1406,"(+/- 684 )",140,"(+/- 125 )",1441,"(+/- 641 )",3577,"(+/- 1078 )",8896,"(+/- 1682 )",27543,"(+/- 3222 )",16552,"(+/- 2244 )",17448,"(+/- 4359 )",14154,"(+/- 2206 )",18993,"(+/- 2683 )",21656,"(+/- 3314 )",12108,"(+/- 1865 )",4085,"(+/- 1149 )",16850,"(+/- 2783 )"
People,Ancestry,English,30560,"(+/- 3046 )",23537,"(+/- 2765 )",24606,"(+/- 2363 )",18043,"(+/- 2494 )",2614,"(+/- 1226 )",7298,"(+/- 1824 )",14276,"(+/- 2127 )",8372,"(+/- 1340 )",11819,"(+/- 2142 )",31184,"(+/- 4586 )",8870,"(+/- 1863 )",37373,"(+/- 4757 )",8253,"(+/- 1724 )",5788,"(+/- 1701 )",1128,"(+/- 711 )",14472,"(+/- 2686 )",23577,"(+/- 3001 )",37895,"(+/- 3868 )",63575,"(+/- 4638 )",64501,"(+/- 4186 )",72247,"(+/- 5127 )",73057,"(+/- 5670 )",86367,"(+/- 4621 )",85645,"(+/- 5057 )",67331,"(+/- 5167 )",39726,"(+/- 3006 )",80460,"(+/- 4064 )"
People,Ancestry,"French (except Basque)",8827,"(+/- 1782 )",7384,"(+/- 1726 )",5949,"(+/- 1589 )",4511,"(+/- 1605 )",1029,"(+/- 531 )",4657,"(+/- 1559 )",8254,"(+/- 1681 )",5383,"(+/- 1264 )",6257,"(+/- 1548 )",13214,"(+/- 2871 )",3298,"(+/- 1293 )",15724,"(+/- 2460 )",3885,"(+/- 1079 )",3689,"(+/- 941 )",605,"(+/- 336 )",6197,"(+/- 1622 )",7596,"(+/- 1740 )",11953,"(+/- 2212 )",25637,"(+/- 2717 )",36257,"(+/- 4558 )",71552,"(+/- 5585 )",23578,"(+/- 2531 )",17677,"(+/- 2032 )",28986,"(+/- 3459 )",15549,"(+/- 3038 )",15189,"(+/- 1983 )",20261,"(+/- 2649 )"
People,Ancestry,"French Canadian",2965,"(+/- 1264 )",2141,"(+/- 819 )",1459,"(+/- 711 )",1324,"(+/- 731 )",341,"(+/- 254 )",339,"(+/- 262 )",980,"(+/- 436 )",1219,"(+/- 534 )",709,"(+/- 369 )",2042,"(+/- 1024 )",289,"(+/- 224 )",1867,"(+/- 760 )",528,"(+/- 334 )",329,"(+/- 254 )",0,"(+/- 201 )",623,"(+/- 315 )",2950,"(+/- 1142 )",2790,"(+/- 915 )",5565,"(+/- 1242 )",12676,"(+/- 2327 )",27968,"(+/- 3487 )",10705,"(+/- 2077 )",4870,"(+/- 1146 )",11808,"(+/- 2053 )",5527,"(+/- 1382 )",6708,"(+/- 1476 )",6751,"(+/- 1731 )"
People,Ancestry,German,90927,"(+/- 7198 )",69915,"(+/- 4926 )",64542,"(+/- 5354 )",47255,"(+/- 4747 )",7274,"(+/- 1623 )",22069,"(+/- 3440 )",19938,"(+/- 2378 )",15794,"(+/- 2711 )",19553,"(+/- 2823 )",39114,"(+/- 5096 )",24799,"(+/- 4375 )",49245,"(+/- 5476 )",14040,"(+/- 2449 )",13170,"(+/- 1952 )",1853,"(+/- 800 )",26365,"(+/- 2854 )",45312,"(+/- 4381 )",74415,"(+/- 4518 )",128732,"(+/- 5587 )",96488,"(+/- 5848 )",82910,"(+/- 5594 )",101687,"(+/- 6649 )",129791,"(+/- 6048 )",107813,"(+/- 5673 )",116940,"(+/- 5240 )",130653,"(+/- 5848 )",195991,"(+/- 7062 )"
People,Ancestry,Greek,11071,"(+/- 2620 )",6452,"(+/- 1823 )",19902,"(+/- 3847 )",7923,"(+/- 2531 )",1974,"(+/- 886 )",10372,"(+/- 1964 )",2040,"(+/- 806 )",3051,"(+/- 1020 )",2305,"(+/- 929 )",4308,"(+/- 1727 )",7634,"(+/- 1962 )",11919,"(+/- 3115 )",2251,"(+/- 895 )",10375,"(+/- 2224 )",50,"(+/- 85 )",4840,"(+/- 1959 )",6122,"(+/- 1665 )",6134,"(+/- 1751 )",4850,"(+/- 1460 )",3694,"(+/- 1222 )",2502,"(+/- 1040 )",2322,"(+/- 897 )",1990,"(+/- 644 )",2865,"(+/- 943 )",5059,"(+/- 2192 )",2728,"(+/- 877 )",4421,"(+/- 1557 )"
People,Ancestry,Hungarian,3559,"(+/- 858 )",3407,"(+/- 1439 )",6312,"(+/- 1600 )",5130,"(+/- 1976 )",491,"(+/- 323 )",4255,"(+/- 1179 )",19624,"(+/- 5109 )",3615,"(+/- 1612 )",2684,"(+/- 999 )",12734,"(+/- 2687 )",2410,"(+/- 990 )",6501,"(+/- 2027 )",1794,"(+/- 748 )",1218,"(+/- 513 )",568,"(+/- 418 )",2653,"(+/- 850 )",15523,"(+/- 2501 )",12622,"(+/- 2412 )",6141,"(+/- 1494 )",3516,"(+/- 1383 )",2837,"(+/- 754 )",3522,"(+/- 1110 )",3614,"(+/- 981 )",2730,"(+/- 967 )",4285,"(+/- 1364 )",6412,"(+/- 1480 )",3464,"(+/- 1033 )"
People,Ancestry,Irish,128567,"(+/- 7319 )",122546,"(+/- 7371 )",88214,"(+/- 6924 )",96937,"(+/- 7388 )",16352,"(+/- 2931 )",28635,"(+/- 3742 )",28409,"(+/- 3031 )",23947,"(+/- 3271 )",24473,"(+/- 2413 )",42389,"(+/- 5143 )",59109,"(+/- 5102 )",69297,"(+/- 6238 )",18439,"(+/- 3310 )",26178,"(+/- 3215 )",3431,"(+/- 845 )",58534,"(+/- 5420 )",93479,"(+/- 7187 )",114184,"(+/- 7595 )",138419,"(+/- 6859 )",142028,"(+/- 6406 )",118786,"(+/- 6604 )",110710,"(+/- 5405 )",101424,"(+/- 4950 )",135337,"(+/- 6237 )",97073,"(+/- 6040 )",100160,"(+/- 6593 )",127409,"(+/- 7162 )"
People,Ancestry,Italian,174750,"(+/- 10348 )",169930,"(+/- 9142 )",130718,"(+/- 7641 )",122603,"(+/- 8443 )",17849,"(+/- 3230 )",44439,"(+/- 4471 )",30189,"(+/- 2982 )",34874,"(+/- 4297 )",24544,"(+/- 2867 )",55170,"(+/- 5353 )",161447,"(+/- 8198 )",61061,"(+/- 5167 )",18398,"(+/- 3471 )",42436,"(+/- 4687 )",5126,"(+/- 1332 )",68061,"(+/- 6355 )",107302,"(+/- 7478 )",134207,"(+/- 8165 )",104816,"(+/- 6111 )",119372,"(+/- 5749 )",58009,"(+/- 5022 )",94620,"(+/- 5668 )",67474,"(+/- 4500 )",100667,"(+/- 5652 )",116675,"(+/- 5552 )",102879,"(+/- 6372 )",109648,"(+/- 6226 )"
People,Ancestry,Lithuanian,2218,"(+/- 691 )",1823,"(+/- 828 )",3802,"(+/- 1664 )",1267,"(+/- 532 )",237,"(+/- 233 )",1186,"(+/- 587 )",1596,"(+/- 816 )",1035,"(+/- 511 )",963,"(+/- 484 )",2515,"(+/- 1032 )",734,"(+/- 400 )",2772,"(+/- 1243 )",802,"(+/- 446 )",518,"(+/- 270 )",20,"(+/- 34 )",1575,"(+/- 806 )",1867,"(+/- 622 )",1094,"(+/- 866 )",2345,"(+/- 890 )",3318,"(+/- 940 )",1700,"(+/- 715 )",2676,"(+/- 1431 )",1661,"(+/- 751 )",1740,"(+/- 655 )",2344,"(+/- 956 )",888,"(+/- 480 )",1794,"(+/- 752 )"
People,Ancestry,Norwegian,5866,"(+/- 1362 )",5434,"(+/- 1533 )",4419,"(+/- 1466 )",1845,"(+/- 744 )",493,"(+/- 309 )",1845,"(+/- 1258 )",2986,"(+/- 1738 )",1353,"(+/- 615 )",1402,"(+/- 559 )",4338,"(+/- 1277 )",5296,"(+/- 1747 )",4685,"(+/- 1319 )",1155,"(+/- 603 )",673,"(+/- 318 )",352,"(+/- 376 )",1254,"(+/- 732 )",3628,"(+/- 1153 )",5510,"(+/- 1552 )",6678,"(+/- 1346 )",2816,"(+/- 1029 )",4945,"(+/- 1179 )",2459,"(+/- 1133 )",5065,"(+/- 1626 )",2999,"(+/- 992 )",2093,"(+/- 808 )",1478,"(+/- 541 )",2766,"(+/- 776 )"
People,Ancestry,Polish,34882,"(+/- 4600 )",32541,"(+/- 4648 )",32517,"(+/- 3562 )",28413,"(+/- 3708 )",6585,"(+/- 1831 )",28437,"(+/- 3553 )",23186,"(+/- 4636 )",9622,"(+/- 1713 )",15749,"(+/- 2144 )",34012,"(+/- 4608 )",24450,"(+/- 3975 )",37991,"(+/- 5033 )",8487,"(+/- 2077 )",7203,"(+/- 1911 )",1296,"(+/- 603 )",14890,"(+/- 2484 )",30132,"(+/- 3655 )",28102,"(+/- 3297 )",33901,"(+/- 4486 )",45581,"(+/- 3654 )",26299,"(+/- 3252 )",45740,"(+/- 3605 )",37884,"(+/- 3114 )",47085,"(+/- 4498 )",28604,"(+/- 3009 )",101486,"(+/- 5757 )",96036,"(+/- 5969 )"
People,Ancestry,Portuguese,3771,"(+/- 1759 )",2450,"(+/- 812 )",1657,"(+/- 812 )",4356,"(+/- 1753 )",773,"(+/- 526 )",672,"(+/- 313 )",1085,"(+/- 474 )",1114,"(+/- 771 )",794,"(+/- 492 )",2816,"(+/- 1276 )",1155,"(+/- 709 )",2966,"(+/- 1322 )",554,"(+/- 390 )",508,"(+/- 236 )",266,"(+/- 345 )",4597,"(+/- 1821 )",5298,"(+/- 2184 )",4209,"(+/- 1684 )",2206,"(+/- 939 )",1966,"(+/- 801 )",955,"(+/- 509 )",748,"(+/- 441 )",1172,"(+/- 484 )",983,"(+/- 567 )",2197,"(+/- 930 )",1203,"(+/- 635 )",866,"(+/- 470 )"
People,Ancestry,Russian,14318,"(+/- 2523 )",10450,"(+/- 2015 )",29953,"(+/- 4139 )",17604,"(+/- 3255 )",5122,"(+/- 1683 )",25963,"(+/- 4990 )",7715,"(+/- 1508 )",25803,"(+/- 3609 )",23477,"(+/- 3292 )",30563,"(+/- 4473 )",26044,"(+/- 4346 )",27745,"(+/- 4521 )",4553,"(+/- 1097 )",5175,"(+/- 1545 )",586,"(+/- 408 )",12952,"(+/- 2466 )",14444,"(+/- 2144 )",10936,"(+/- 1587 )",10071,"(+/- 2041 )",9397,"(+/- 2214 )",3119,"(+/- 920 )",7849,"(+/- 1548 )",4857,"(+/- 1195 )",6273,"(+/- 1801 )",6133,"(+/- 1853 )",7135,"(+/- 2534 )",3801,"(+/- 1172 )"
People,Ancestry,Scotch-Irish,1781,"(+/- 638 )",1889,"(+/- 966 )",1506,"(+/- 684 )",2147,"(+/- 807 )",221,"(+/- 198 )",1180,"(+/- 965 )",1500,"(+/- 703 )",936,"(+/- 434 )",1284,"(+/- 579 )",2245,"(+/- 974 )",906,"(+/- 651 )",4272,"(+/- 1269 )",920,"(+/- 515 )",964,"(+/- 535 )",205,"(+/- 290 )",702,"(+/- 344 )",2578,"(+/- 929 )",2651,"(+/- 746 )",4820,"(+/- 1369 )",4271,"(+/- 1149 )",5640,"(+/- 1415 )",3524,"(+/- 823 )",5615,"(+/- 1151 )",4431,"(+/- 1067 )",4474,"(+/- 1304 )",3735,"(+/- 966 )",3995,"(+/- 913 )"
People,Ancestry,Scottish,6615,"(+/- 1578 )",3324,"(+/- 1029 )",4626,"(+/- 1283 )",4801,"(+/- 1757 )",976,"(+/- 576 )",1601,"(+/- 717 )",3135,"(+/- 1013 )",3170,"(+/- 807 )",3677,"(+/- 1023 )",7493,"(+/- 1884 )",2219,"(+/- 1341 )",12178,"(+/- 2742 )",1974,"(+/- 1150 )",1761,"(+/- 628 )",149,"(+/- 149 )",3422,"(+/- 969 )",5569,"(+/- 1213 )",8759,"(+/- 1777 )",14325,"(+/- 1772 )",12157,"(+/- 2281 )",16168,"(+/- 2197 )",13883,"(+/- 2684 )",12608,"(+/- 1536 )",13758,"(+/- 1964 )",10075,"(+/- 1596 )",8591,"(+/- 1723 )",16586,"(+/- 2424 )"
People,Ancestry,Slovak,1043,"(+/- 500 )",761,"(+/- 378 )",528,"(+/- 367 )",464,"(+/- 286 )",48,"(+/- 67 )",708,"(+/- 522 )",658,"(+/- 514 )",100,"(+/- 117 )",148,"(+/- 164 )",1160,"(+/- 659 )",851,"(+/- 722 )",2168,"(+/- 1162 )",126,"(+/- 147 )",449,"(+/- 347 )",0,"(+/- 201 )",370,"(+/- 253 )",1158,"(+/- 620 )",1186,"(+/- 533 )",1655,"(+/- 634 )",1627,"(+/- 718 )",1565,"(+/- 861 )",6126,"(+/- 1638 )",1976,"(+/- 717 )",1520,"(+/- 515 )",616,"(+/- 265 )",1020,"(+/- 541 )",1281,"(+/- 809 )"
People,Ancestry,"Subsaharan African",2812,"(+/- 1874 )",6492,"(+/- 3911 )",3155,"(+/- 1552 )",8090,"(+/- 3594 )",20776,"(+/- 4507 )",1925,"(+/- 1105 )",5661,"(+/- 2147 )",17705,"(+/- 3824 )",28783,"(+/- 4680 )",3053,"(+/- 1430 )",9486,"(+/- 2765 )",2637,"(+/- 1177 )",34079,"(+/- 7026 )",7992,"(+/- 2840 )",52560,"(+/- 8868 )",32134,"(+/- 8249 )",9070,"(+/- 3576 )",4027,"(+/- 1544 )",2991,"(+/- 1174 )",5855,"(+/- 1349 )",1734,"(+/- 971 )",2935,"(+/- 1386 )",1938,"(+/- 751 )",7454,"(+/- 1971 )",7857,"(+/- 2299 )",14353,"(+/- 4035 )",1559,"(+/- 734 )"
People,Ancestry,Swedish,5785,"(+/- 2003 )",3027,"(+/- 966 )",3337,"(+/- 960 )",1881,"(+/- 736 )",482,"(+/- 486 )",800,"(+/- 500 )",3225,"(+/- 1069 )",1622,"(+/- 633 )",2763,"(+/- 969 )",3908,"(+/- 1513 )",1734,"(+/- 735 )",5367,"(+/- 1780 )",1365,"(+/- 644 )",1333,"(+/- 533 )",267,"(+/- 271 )",2276,"(+/- 926 )",2637,"(+/- 863 )",4189,"(+/- 1158 )",7112,"(+/- 1396 )",4763,"(+/- 1259 )",6153,"(+/- 1290 )",3975,"(+/- 1059 )",19926,"(+/- 2530 )",5004,"(+/- 1115 )",5333,"(+/- 1325 )",3503,"(+/- 857 )",7461,"(+/- 1240 )"
People,Ancestry,Swiss,833,"(+/- 492 )",722,"(+/- 368 )",914,"(+/- 611 )",771,"(+/- 783 )",44,"(+/- 87 )",168,"(+/- 122 )",1234,"(+/- 755 )",305,"(+/- 243 )",622,"(+/- 644 )",1160,"(+/- 562 )",142,"(+/- 124 )",2596,"(+/- 1278 )",682,"(+/- 451 )",247,"(+/- 193 )",67,"(+/- 110 )",820,"(+/- 671 )",1021,"(+/- 582 )",880,"(+/- 347 )",2496,"(+/- 974 )",1758,"(+/- 597 )",993,"(+/- 279 )",2428,"(+/- 700 )",3111,"(+/- 1020 )",2013,"(+/- 1015 )",1166,"(+/- 489 )",1401,"(+/- 731 )",1413,"(+/- 687 )"
People,Ancestry,Ukrainian,3148,"(+/- 984 )",2806,"(+/- 1222 )",3631,"(+/- 1070 )",2716,"(+/- 1005 )",1835,"(+/- 1142 )",3735,"(+/- 1083 )",2267,"(+/- 694 )",13292,"(+/- 2937 )",9394,"(+/- 2350 )",8624,"(+/- 1847 )",11961,"(+/- 2645 )",6748,"(+/- 2016 )",1830,"(+/- 915 )",1496,"(+/- 612 )",185,"(+/- 167 )",5375,"(+/- 1808 )",5172,"(+/- 2057 )",3712,"(+/- 1301 )",4678,"(+/- 1127 )",4311,"(+/- 1123 )",2295,"(+/- 711 )",7761,"(+/- 1869 )",5076,"(+/- 1548 )",9266,"(+/- 2076 )",8372,"(+/- 2628 )",3664,"(+/- 802 )",6537,"(+/- 1931 )"
