Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,Ancestry,Welsh,3642,"(+/- 1079 )",4862,"(+/- 1881 )",5695,"(+/- 2289 )",2408,"(+/- 884 )",2161,"(+/- 873 )",1905,"(+/- 702 )",3139,"(+/- 1003 )",3557,"(+/- 1137 )",804,"(+/- 479 )",3466,"(+/- 1039 )",3672,"(+/- 1555 )",4349,"(+/- 1410 )",3139,"(+/- 1223 )",3896,"(+/- 1331 )",900,"(+/- 462 )",1333,"(+/- 703 )",4957,"(+/- 1422 )",1293,"(+/- 575 )",2923,"(+/- 1197 )",1575,"(+/- 634 )",6449,"(+/- 1898 )",3349,"(+/- 1326 )",754,"(+/- 488 )",3906,"(+/- 1179 )",3745,"(+/- 1286 )",5113,"(+/- 2026 )",3036,"(+/- 1397 )",781,"(+/- 518 )",470,"(+/- 323 )",1110,"(+/- 481 )",5252,"(+/- 1375 )",3064,"(+/- 810 )",1045,"(+/- 541 )",335,"(+/- 205 )",3332,"(+/- 1078 )",2471,"(+/- 1019 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1010,"(+/- 660 )",4500,"(+/- 2043 )",3518,"(+/- 1493 )",1405,"(+/- 713 )",2615,"(+/- 1386 )",2321,"(+/- 1519 )",3218,"(+/- 1686 )",1778,"(+/- 1196 )",5770,"(+/- 1988 )",2542,"(+/- 996 )",1095,"(+/- 1000 )",1746,"(+/- 1057 )",2205,"(+/- 890 )",2844,"(+/- 1689 )",237,"(+/- 205 )",645,"(+/- 506 )",1273,"(+/- 757 )",2580,"(+/- 1081 )",2360,"(+/- 968 )",3140,"(+/- 1964 )",1401,"(+/- 796 )",6589,"(+/- 4516 )",423,"(+/- 274 )",2020,"(+/- 1174 )",2501,"(+/- 964 )",1140,"(+/- 478 )",609,"(+/- 461 )",1119,"(+/- 875 )",1672,"(+/- 1126 )",2526,"(+/- 1815 )",3163,"(+/- 1518 )",2712,"(+/- 1461 )",956,"(+/- 715 )",656,"(+/- 706 )",2332,"(+/- 1119 )",2943,"(+/- 1907 )"
People,"Veteran Status","Civilian population 18 years and over",547419,"(+/- 4008 )",599645,"(+/- 17486 )",668614,"(+/- 5756 )",572133,"(+/- 5021 )",552413,"(+/- 7553 )",596040,"(+/- 11020 )",578821,"(+/- 20209 )",651331,"(+/- 7434 )",587188,"(+/- 20681 )",671034,"(+/- 16964 )",579208,"(+/- 4820 )",614004,"(+/- 12027 )",529665,"(+/- 4071 )",576736,"(+/- 5700 )",553076,"(+/- 9616 )",522680,"(+/- 6413 )",606389,"(+/- 8321 )",593746,"(+/- 18058 )",544469,"(+/- 4328 )",612419,"(+/- 15835 )",658844,"(+/- 14351 )",676455,"(+/- 13942 )",574378,"(+/- 12118 )",627899,"(+/- 10266 )",590265,"(+/- 11919 )",660359,"(+/- 7557 )",553949,"(+/- 5776 )",529655,"(+/- 10549 )",537017,"(+/- 16340 )",576040,"(+/- 13308 )",640390,"(+/- 3348 )",598884,"(+/- 11281 )",540494,"(+/- 15728 )",513623,"(+/- 8917 )",624017,"(+/- 15300 )",561988,"(+/- 9884 )"
People,"Veteran Status","Civilian veterans",40396,"(+/- 2827 )",34946,"(+/- 4077 )",35996,"(+/- 3514 )",52490,"(+/- 3525 )",42235,"(+/- 2799 )",46716,"(+/- 3897 )",24866,"(+/- 3158 )",53646,"(+/- 4886 )",18487,"(+/- 2385 )",38336,"(+/- 3241 )",49236,"(+/- 3905 )",55381,"(+/- 5013 )",44040,"(+/- 2800 )",47201,"(+/- 3929 )",26640,"(+/- 2534 )",44991,"(+/- 3258 )",38464,"(+/- 2976 )",21288,"(+/- 2673 )",38205,"(+/- 2990 )",52078,"(+/- 3485 )",54481,"(+/- 3786 )",32301,"(+/- 3794 )",44910,"(+/- 3977 )",34229,"(+/- 3496 )",53672,"(+/- 3608 )",47623,"(+/- 3771 )",46220,"(+/- 3457 )",30433,"(+/- 2713 )",14458,"(+/- 2123 )",30466,"(+/- 4498 )",75805,"(+/- 4050 )",29781,"(+/- 2810 )",20487,"(+/- 2489 )",24652,"(+/- 2227 )",46769,"(+/- 4178 )",43862,"(+/- 3047 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",711696,"(+/- 5405 )",798465,"(+/- 23419 )",897535,"(+/- 8196 )",744864,"(+/- 7982 )",726355,"(+/- 10797 )",800123,"(+/- 16042 )",774205,"(+/- 28581 )",843866,"(+/- 13106 )",785166,"(+/- 29587 )",890294,"(+/- 23857 )",765423,"(+/- 6432 )",800698,"(+/- 16185 )",680199,"(+/- 5938 )",732394,"(+/- 9906 )",781281,"(+/- 13064 )",712743,"(+/- 7839 )",778227,"(+/- 11800 )",790000,"(+/- 23380 )",703953,"(+/- 6781 )",836573,"(+/- 22205 )",810217,"(+/- 19674 )",929785,"(+/- 21682 )",772460,"(+/- 16201 )",814902,"(+/- 11050 )",761229,"(+/- 17233 )",890692,"(+/- 9801 )",729036,"(+/- 7810 )",762368,"(+/- 15286 )",764518,"(+/- 23828 )",794047,"(+/- 19302 )",864275,"(+/- 5484 )",767592,"(+/- 16306 )",774298,"(+/- 22758 )",713199,"(+/- 12651 )",806030,"(+/- 22762 )",734483,"(+/- 14723 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",115734,"(+/- 6184 )",74689,"(+/- 7650 )",60524,"(+/- 4051 )",103077,"(+/- 5316 )",97035,"(+/- 4612 )",85285,"(+/- 5825 )",56907,"(+/- 4676 )",89237,"(+/- 7193 )",70416,"(+/- 6271 )",87110,"(+/- 5057 )",103349,"(+/- 4940 )",86705,"(+/- 6565 )",94900,"(+/- 4565 )",96693,"(+/- 5054 )",100700,"(+/- 6919 )",92513,"(+/- 5718 )",93184,"(+/- 5610 )",85766,"(+/- 5607 )",101715,"(+/- 4695 )",112886,"(+/- 7096 )",93017,"(+/- 6009 )",69527,"(+/- 6449 )",110787,"(+/- 7081 )",60014,"(+/- 4441 )",84409,"(+/- 5452 )",72123,"(+/- 4724 )",101729,"(+/- 4162 )",108195,"(+/- 7019 )",65088,"(+/- 4733 )",92229,"(+/- 5311 )",102319,"(+/- 6340 )",62219,"(+/- 4653 )",72551,"(+/- 4932 )",96967,"(+/- 6966 )",118072,"(+/- 6916 )",103494,"(+/- 5142 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",177460,"(+/- 2020 )",203209,"(+/- 11320 )",230709,"(+/- 4050 )",186976,"(+/- 3854 )",197225,"(+/- 6822 )",207614,"(+/- 9045 )",196216,"(+/- 12718 )",219558,"(+/- 6737 )",199480,"(+/- 13413 )",224930,"(+/- 12079 )",198780,"(+/- 3125 )",196425,"(+/- 9535 )",176264,"(+/- 2919 )",185281,"(+/- 5420 )",241076,"(+/- 7959 )",196577,"(+/- 3999 )",185907,"(+/- 6515 )",207963,"(+/- 11990 )",182579,"(+/- 3695 )",226320,"(+/- 9948 )",155676,"(+/- 9661 )",258330,"(+/- 9934 )",214723,"(+/- 8719 )",189020,"(+/- 8465 )",187317,"(+/- 7779 )",233126,"(+/- 6027 )",184187,"(+/- 2956 )",237637,"(+/- 8802 )",228396,"(+/- 11039 )",228148,"(+/- 10274 )",228448,"(+/- 3338 )",170576,"(+/- 8829 )",236818,"(+/- 11382 )",213051,"(+/- 7155 )",192148,"(+/- 11299 )",191353,"(+/- 8759 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",13157,"(+/- 2677 )",7431,"(+/- 2106 )",6072,"(+/- 1285 )",6371,"(+/- 1319 )",9406,"(+/- 1981 )",8850,"(+/- 2218 )",6190,"(+/- 2265 )",6882,"(+/- 1960 )",6371,"(+/- 1898 )",6574,"(+/- 1522 )",6786,"(+/- 1533 )",8762,"(+/- 2439 )",6133,"(+/- 1026 )",7480,"(+/- 1891 )",13742,"(+/- 3180 )",11388,"(+/- 2688 )",8743,"(+/- 2420 )",8431,"(+/- 2717 )",9184,"(+/- 1740 )",13584,"(+/- 2842 )",5976,"(+/- 1320 )",6667,"(+/- 1845 )",10281,"(+/- 2275 )",4873,"(+/- 1320 )",6197,"(+/- 1518 )",8848,"(+/- 1790 )",7133,"(+/- 1413 )",10888,"(+/- 2185 )",7725,"(+/- 1786 )",9294,"(+/- 1950 )",7242,"(+/- 1398 )",4355,"(+/- 1425 )",9591,"(+/- 1952 )",13425,"(+/- 2729 )",10715,"(+/- 2418 )",7061,"(+/- 1439 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",418613,"(+/- 4375 )",501016,"(+/- 16575 )",566514,"(+/- 5529 )",435665,"(+/- 5038 )",429057,"(+/- 7235 )",500889,"(+/- 10090 )",493907,"(+/- 19401 )",506439,"(+/- 7910 )",506415,"(+/- 19044 )",552765,"(+/- 16642 )",446909,"(+/- 4816 )",502071,"(+/- 12491 )",399422,"(+/- 4427 )",444464,"(+/- 6018 )",456315,"(+/- 8691 )",426251,"(+/- 5903 )",497156,"(+/- 8326 )",506375,"(+/- 15217 )",424534,"(+/- 4206 )",517987,"(+/- 15236 )",525914,"(+/- 13320 )",568414,"(+/- 13344 )",453082,"(+/- 11028 )",536060,"(+/- 9275 )",461469,"(+/- 12843 )",569064,"(+/- 7721 )",429939,"(+/- 6138 )",436850,"(+/- 9608 )",472265,"(+/- 16168 )",481255,"(+/- 12244 )",531415,"(+/- 3444 )",502582,"(+/- 11817 )",469983,"(+/- 14800 )",400568,"(+/- 8692 )",532512,"(+/- 14233 )",434924,"(+/- 9609 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",56331,"(+/- 4988 )",38834,"(+/- 5174 )",27097,"(+/- 3197 )",52127,"(+/- 4085 )",50667,"(+/- 3909 )",43487,"(+/- 3932 )",27893,"(+/- 3164 )",40507,"(+/- 5111 )",35430,"(+/- 4382 )",44742,"(+/- 4170 )",50437,"(+/- 4028 )",43554,"(+/- 4107 )",48597,"(+/- 3533 )",48334,"(+/- 3997 )",49081,"(+/- 4513 )",41918,"(+/- 3891 )",48775,"(+/- 4404 )",48853,"(+/- 4087 )",50490,"(+/- 3915 )",66356,"(+/- 5244 )",44870,"(+/- 4694 )",34628,"(+/- 4397 )",55048,"(+/- 5090 )",29325,"(+/- 3288 )",44168,"(+/- 4378 )",36881,"(+/- 3415 )",48118,"(+/- 3295 )",55628,"(+/- 4708 )",34098,"(+/- 3660 )",48891,"(+/- 3786 )",58344,"(+/- 4903 )",29411,"(+/- 3801 )",38750,"(+/- 3886 )",42069,"(+/- 4678 )",73569,"(+/- 5570 )",52316,"(+/- 3902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115623,"(+/- 2530 )",94240,"(+/- 5646 )",100312,"(+/- 2210 )",122223,"(+/- 2443 )",100073,"(+/- 2923 )",91620,"(+/- 4336 )",84082,"(+/- 5560 )",117869,"(+/- 2986 )",79271,"(+/- 4724 )",112599,"(+/- 5113 )",119734,"(+/- 2296 )",102202,"(+/- 3701 )",104513,"(+/- 2246 )",102649,"(+/- 2397 )",83890,"(+/- 3984 )",89915,"(+/- 2058 )",95164,"(+/- 2691 )",75662,"(+/- 5151 )",96840,"(+/- 2236 )",92266,"(+/- 4920 )",128627,"(+/- 4860 )",103041,"(+/- 3820 )",104655,"(+/- 5287 )",89822,"(+/- 4780 )",112443,"(+/- 3937 )",88502,"(+/- 2966 )",114910,"(+/- 2458 )",87881,"(+/- 3880 )",63857,"(+/- 5215 )",84644,"(+/- 4272 )",104412,"(+/- 1181 )",94434,"(+/- 4667 )",67497,"(+/- 4067 )",99580,"(+/- 3173 )",81370,"(+/- 4875 )",108206,"(+/- 4170 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46246,"(+/- 2801 )",28424,"(+/- 3504 )",27355,"(+/- 2116 )",44579,"(+/- 3154 )",36962,"(+/- 2636 )",32948,"(+/- 2916 )",22824,"(+/- 2635 )",41848,"(+/- 3558 )",28615,"(+/- 3368 )",35794,"(+/- 2744 )",46126,"(+/- 2591 )",34389,"(+/- 3192 )",40170,"(+/- 2484 )",40879,"(+/- 2856 )",37877,"(+/- 3580 )",39207,"(+/- 2951 )",35666,"(+/- 2402 )",28482,"(+/- 2785 )",42041,"(+/- 2187 )",32946,"(+/- 3279 )",42171,"(+/- 3129 )",28232,"(+/- 3290 )",45458,"(+/- 4151 )",25816,"(+/- 2625 )",34044,"(+/- 2401 )",26394,"(+/- 2366 )",46478,"(+/- 2714 )",41679,"(+/- 3788 )",23265,"(+/- 2520 )",34044,"(+/- 3002 )",36733,"(+/- 2881 )",28453,"(+/- 3429 )",24210,"(+/- 2485 )",41473,"(+/- 3068 )",33788,"(+/- 3123 )",44117,"(+/- 3405 )"
People,"Residence 1 Year Ago","Population 1 year and over",718316,"(+/- 4876 )",792354,"(+/- 23175 )",890877,"(+/- 8545 )",751126,"(+/- 7388 )",739038,"(+/- 10878 )",794406,"(+/- 15402 )",761772,"(+/- 27677 )",857246,"(+/- 12216 )",777458,"(+/- 29361 )",886264,"(+/- 23802 )",772701,"(+/- 6310 )",802169,"(+/- 15595 )",702550,"(+/- 4952 )",752990,"(+/- 9001 )",784320,"(+/- 12758 )",722742,"(+/- 7943 )",782376,"(+/- 11473 )",789616,"(+/- 23601 )",721520,"(+/- 6554 )",836644,"(+/- 22187 )",811342,"(+/- 19498 )",923744,"(+/- 21173 )",784815,"(+/- 15715 )",807491,"(+/- 11064 )",778167,"(+/- 17123 )",884757,"(+/- 9832 )",729888,"(+/- 7300 )",757972,"(+/- 15048 )",754777,"(+/- 23526 )",795901,"(+/- 19472 )",871402,"(+/- 5263 )",760916,"(+/- 16302 )",765811,"(+/- 22172 )",718417,"(+/- 12173 )",807987,"(+/- 21888 )",743610,"(+/- 13006 )"
People,"Residence 1 Year Ago","Same house",618977,"(+/- 8292 )",678864,"(+/- 24264 )",746584,"(+/- 12220 )",639506,"(+/- 9360 )",637124,"(+/- 12854 )",687674,"(+/- 16732 )",621657,"(+/- 27446 )",731458,"(+/- 15799 )",685362,"(+/- 27256 )",750360,"(+/- 21255 )",661025,"(+/- 10774 )",674298,"(+/- 18173 )",592075,"(+/- 9177 )",633389,"(+/- 12772 )",708645,"(+/- 14913 )",606174,"(+/- 11188 )",620042,"(+/- 14898 )",654751,"(+/- 23799 )",559747,"(+/- 11553 )",705737,"(+/- 20566 )",670465,"(+/- 18272 )",808195,"(+/- 22184 )",687407,"(+/- 15793 )",654588,"(+/- 14172 )",651972,"(+/- 13534 )",726965,"(+/- 12762 )",608058,"(+/- 13872 )",674002,"(+/- 16187 )",664498,"(+/- 22132 )",700366,"(+/- 19665 )",698582,"(+/- 11182 )",630556,"(+/- 16252 )",652683,"(+/- 20302 )",653757,"(+/- 13251 )",669705,"(+/- 21804 )",627126,"(+/- 14581 )"
People,"Residence 1 Year Ago","Different house in the U.S.",98235,"(+/- 7176 )",106750,"(+/- 11358 )",132928,"(+/- 9803 )",110048,"(+/- 7996 )",98452,"(+/- 9246 )",103958,"(+/- 9723 )",126558,"(+/- 11443 )",116588,"(+/- 10271 )",87886,"(+/- 12624 )",128967,"(+/- 10317 )",108091,"(+/- 8196 )",124434,"(+/- 13107 )",107337,"(+/- 7261 )",117096,"(+/- 10373 )",71232,"(+/- 8363 )",108783,"(+/- 10102 )",154140,"(+/- 12146 )",131179,"(+/- 12439 )",157772,"(+/- 10213 )",124088,"(+/- 12536 )",136366,"(+/- 10932 )",105591,"(+/- 12438 )",90459,"(+/- 10610 )",140050,"(+/- 11137 )",120623,"(+/- 10489 )",150418,"(+/- 9818 )",118663,"(+/- 11358 )",80034,"(+/- 9264 )",87944,"(+/- 10132 )",91375,"(+/- 9545 )",164329,"(+/- 10833 )",125216,"(+/- 10291 )",105466,"(+/- 11397 )",61551,"(+/- 7380 )",133699,"(+/- 12758 )",113243,"(+/- 11843 )"
People,"Residence 1 Year Ago","Same county",51470,"(+/- 6115 )",74663,"(+/- 10609 )",62698,"(+/- 7140 )",54988,"(+/- 7066 )",54870,"(+/- 7407 )",58470,"(+/- 6849 )",100634,"(+/- 10451 )",61349,"(+/- 8738 )",62192,"(+/- 9095 )",80835,"(+/- 9359 )",49283,"(+/- 6626 )",78381,"(+/- 11430 )",51538,"(+/- 5135 )",61532,"(+/- 7429 )",48328,"(+/- 7666 )",73178,"(+/- 8664 )",88861,"(+/- 9657 )",107312,"(+/- 11666 )",85195,"(+/- 9392 )",89318,"(+/- 10205 )",77187,"(+/- 9048 )",46750,"(+/- 8116 )",58420,"(+/- 9071 )",82086,"(+/- 8290 )",55949,"(+/- 8534 )",76934,"(+/- 8728 )",77574,"(+/- 9849 )",57390,"(+/- 7233 )",76826,"(+/- 9359 )",61417,"(+/- 8982 )",87731,"(+/- 10898 )",81703,"(+/- 9003 )",75046,"(+/- 9982 )",42301,"(+/- 6089 )",87210,"(+/- 11476 )",64932,"(+/- 9165 )"
People,"Residence 1 Year Ago","Different county",46765,"(+/- 4955 )",32087,"(+/- 5380 )",70230,"(+/- 7674 )",55060,"(+/- 5212 )",43582,"(+/- 4651 )",45488,"(+/- 6112 )",25924,"(+/- 3787 )",55239,"(+/- 8313 )",25694,"(+/- 6111 )",48132,"(+/- 6131 )",58808,"(+/- 6343 )",46053,"(+/- 6724 )",55799,"(+/- 6003 )",55564,"(+/- 6934 )",22904,"(+/- 3891 )",35605,"(+/- 5665 )",65279,"(+/- 7503 )",23867,"(+/- 4513 )",72577,"(+/- 7402 )",34770,"(+/- 5593 )",59179,"(+/- 6712 )",58841,"(+/- 9666 )",32039,"(+/- 4649 )",57964,"(+/- 6263 )",64674,"(+/- 6505 )",73484,"(+/- 7082 )",41089,"(+/- 6133 )",22644,"(+/- 5074 )",11118,"(+/- 3215 )",29958,"(+/- 4730 )",76598,"(+/- 7360 )",43513,"(+/- 5955 )",30420,"(+/- 5274 )",19250,"(+/- 4031 )",46489,"(+/- 6464 )",48311,"(+/- 7086 )"
People,"Residence 1 Year Ago","Same state",36116,"(+/- 4246 )",17562,"(+/- 4211 )",42885,"(+/- 5868 )",43340,"(+/- 5143 )",31557,"(+/- 3796 )",27436,"(+/- 4711 )",12187,"(+/- 2774 )",39891,"(+/- 7418 )",17073,"(+/- 4734 )",34795,"(+/- 5387 )",42756,"(+/- 5681 )",27042,"(+/- 4182 )",42490,"(+/- 5525 )",42148,"(+/- 6547 )",16798,"(+/- 3643 )",11340,"(+/- 2803 )",48054,"(+/- 6105 )",13728,"(+/- 3277 )",55907,"(+/- 6201 )",17061,"(+/- 4945 )",32006,"(+/- 4966 )",39573,"(+/- 7386 )",20865,"(+/- 4314 )",31763,"(+/- 4546 )",36368,"(+/- 4409 )",47555,"(+/- 6285 )",28019,"(+/- 3998 )",17150,"(+/- 4564 )",7115,"(+/- 2205 )",19623,"(+/- 4003 )",43232,"(+/- 5780 )",24554,"(+/- 4110 )",21080,"(+/- 4991 )",14804,"(+/- 3706 )",29576,"(+/- 4162 )",37604,"(+/- 6254 )"
People,"Residence 1 Year Ago","Different state",10649,"(+/- 3074 )",14525,"(+/- 3534 )",27345,"(+/- 4541 )",11720,"(+/- 2008 )",12025,"(+/- 2681 )",18052,"(+/- 4763 )",13737,"(+/- 2943 )",15348,"(+/- 4379 )",8621,"(+/- 2839 )",13337,"(+/- 2956 )",16052,"(+/- 3810 )",19011,"(+/- 5850 )",13309,"(+/- 2832 )",13416,"(+/- 2538 )",6106,"(+/- 1667 )",24265,"(+/- 4908 )",17225,"(+/- 3790 )",10139,"(+/- 2605 )",16670,"(+/- 3218 )",17709,"(+/- 3276 )",27173,"(+/- 4733 )",19268,"(+/- 5407 )",11174,"(+/- 2534 )",26201,"(+/- 5122 )",28306,"(+/- 4635 )",25929,"(+/- 5502 )",13070,"(+/- 4618 )",5494,"(+/- 1900 )",4003,"(+/- 2414 )",10335,"(+/- 2473 )",33366,"(+/- 5863 )",18959,"(+/- 4396 )",9340,"(+/- 3138 )",4446,"(+/- 1468 )",16913,"(+/- 3868 )",10707,"(+/- 3049 )"
People,"Residence 1 Year Ago",Abroad,1104,"(+/- 599 )",6740,"(+/- 2292 )",11365,"(+/- 2842 )",1572,"(+/- 882 )",3462,"(+/- 1413 )",2774,"(+/- 1183 )",13557,"(+/- 4370 )",9200,"(+/- 5856 )",4210,"(+/- 1469 )",6937,"(+/- 2696 )",3585,"(+/- 1280 )",3437,"(+/- 1596 )",3138,"(+/- 1327 )",2505,"(+/- 1243 )",4443,"(+/- 1935 )",7785,"(+/- 2574 )",8194,"(+/- 2932 )",3686,"(+/- 1689 )",4001,"(+/- 1382 )",6819,"(+/- 2315 )",4511,"(+/- 2306 )",9958,"(+/- 4363 )",6949,"(+/- 2009 )",12853,"(+/- 3556 )",5572,"(+/- 1782 )",7374,"(+/- 2552 )",3167,"(+/- 1096 )",3936,"(+/- 1575 )",2335,"(+/- 1372 )",4160,"(+/- 2506 )",8491,"(+/- 2306 )",5144,"(+/- 1809 )",7662,"(+/- 2887 )",3109,"(+/- 2250 )",4583,"(+/- 1683 )",3241,"(+/- 2065 )"
Workers,"Employment Status","Population 16 years and over",567770,"(+/- 4242 )",622533,"(+/- 18174 )",696559,"(+/- 6247 )",592490,"(+/- 5368 )",573139,"(+/- 8125 )",620979,"(+/- 11189 )",599318,"(+/- 21120 )",675479,"(+/- 8502 )",611531,"(+/- 21630 )",694322,"(+/- 17996 )",601986,"(+/- 5245 )",639762,"(+/- 12137 )",553648,"(+/- 3869 )",598364,"(+/- 6037 )",580325,"(+/- 9795 )",558866,"(+/- 6598 )",628324,"(+/- 8518 )",614347,"(+/- 18774 )",565913,"(+/- 4544 )",645068,"(+/- 16187 )",680846,"(+/- 14873 )",705220,"(+/- 14857 )",606160,"(+/- 11901 )",652745,"(+/- 10095 )",619111,"(+/- 12799 )",687592,"(+/- 7484 )",574971,"(+/- 6515 )",556360,"(+/- 10646 )",558015,"(+/- 16632 )",600285,"(+/- 13573 )",680585,"(+/- 3053 )",620113,"(+/- 11967 )",564505,"(+/- 16016 )",539616,"(+/- 9179 )",645828,"(+/- 16276 )",585248,"(+/- 10194 )"
Workers,"Employment Status","In labor force",329037,"(+/- 6683 )",426112,"(+/- 14185 )",489093,"(+/- 7504 )",352287,"(+/- 7296 )",349187,"(+/- 6862 )",434647,"(+/- 10062 )",423378,"(+/- 18553 )",413487,"(+/- 10584 )",410761,"(+/- 17174 )",473037,"(+/- 15324 )",379825,"(+/- 6303 )",421597,"(+/- 11158 )",346530,"(+/- 5862 )",357191,"(+/- 7670 )",348680,"(+/- 8748 )",349084,"(+/- 7757 )",385824,"(+/- 10058 )",402767,"(+/- 13568 )",348758,"(+/- 6267 )",433038,"(+/- 12987 )",447452,"(+/- 13332 )",476034,"(+/- 12340 )",354610,"(+/- 12160 )",480587,"(+/- 9645 )",386980,"(+/- 10956 )",497654,"(+/- 7128 )",345097,"(+/- 7117 )",329166,"(+/- 8528 )",362401,"(+/- 14033 )",376926,"(+/- 11723 )",462235,"(+/- 7033 )",440978,"(+/- 10465 )",374761,"(+/- 13325 )",293523,"(+/- 8610 )",423531,"(+/- 13315 )",340512,"(+/- 9839 )"
Workers,"Employment Status","Civilian labor force",328736,"(+/- 6681 )",426032,"(+/- 14171 )",488753,"(+/- 7584 )",351794,"(+/- 7259 )",349067,"(+/- 6851 )",433757,"(+/- 10125 )",423298,"(+/- 18570 )",413265,"(+/- 10549 )",410519,"(+/- 17169 )",472788,"(+/- 15314 )",375981,"(+/- 6402 )",420008,"(+/- 11198 )",341367,"(+/- 5657 )",356092,"(+/- 7682 )",347476,"(+/- 8794 )",334636,"(+/- 7800 )",385142,"(+/- 10111 )",402697,"(+/- 13566 )",344665,"(+/- 6383 )",425535,"(+/- 13012 )",444204,"(+/- 13191 )",475607,"(+/- 12352 )",350124,"(+/- 12050 )",480359,"(+/- 9665 )",377762,"(+/- 10717 )",497455,"(+/- 7149 )",343865,"(+/- 7090 )",327834,"(+/- 8408 )",362401,"(+/- 14033 )",376760,"(+/- 11693 )",447958,"(+/- 6838 )",440615,"(+/- 10344 )",374686,"(+/- 13310 )",292678,"(+/- 8679 )",421763,"(+/- 13231 )",339974,"(+/- 9852 )"
Workers,"Employment Status",Employed,309938,"(+/- 7191 )",404730,"(+/- 13897 )",470821,"(+/- 7805 )",334635,"(+/- 6975 )",335199,"(+/- 6918 )",417040,"(+/- 10309 )",403068,"(+/- 17413 )",398713,"(+/- 10356 )",383206,"(+/- 16721 )",453271,"(+/- 14330 )",362666,"(+/- 6356 )",401549,"(+/- 11098 )",326372,"(+/- 6209 )",335409,"(+/- 7942 )",329485,"(+/- 8556 )",312790,"(+/- 8463 )",368755,"(+/- 9745 )",379227,"(+/- 12987 )",329652,"(+/- 6377 )",396393,"(+/- 13189 )",429111,"(+/- 12736 )",452951,"(+/- 12044 )",334590,"(+/- 10813 )",464613,"(+/- 9953 )",359135,"(+/- 10350 )",475640,"(+/- 7211 )",324262,"(+/- 6517 )",306299,"(+/- 7807 )",340866,"(+/- 13434 )",359397,"(+/- 10798 )",422955,"(+/- 7417 )",422423,"(+/- 9646 )",349344,"(+/- 12384 )",277557,"(+/- 8674 )",399431,"(+/- 13288 )",319675,"(+/- 9465 )"
Workers,"Employment Status",Unemployed,18798,"(+/- 2703 )",21302,"(+/- 3101 )",17932,"(+/- 2205 )",17159,"(+/- 2615 )",13868,"(+/- 2477 )",16717,"(+/- 2510 )",20230,"(+/- 4011 )",14552,"(+/- 2752 )",27313,"(+/- 3870 )",19517,"(+/- 3145 )",13315,"(+/- 2248 )",18459,"(+/- 2799 )",14995,"(+/- 2433 )",20683,"(+/- 3219 )",17991,"(+/- 2686 )",21846,"(+/- 2967 )",16387,"(+/- 2782 )",23470,"(+/- 3281 )",15013,"(+/- 1934 )",29142,"(+/- 4579 )",15093,"(+/- 2566 )",22656,"(+/- 3780 )",15534,"(+/- 3044 )",15746,"(+/- 2323 )",18627,"(+/- 2365 )",21815,"(+/- 2999 )",19603,"(+/- 2746 )",21535,"(+/- 3167 )",21535,"(+/- 3327 )",17363,"(+/- 2739 )",25003,"(+/- 3350 )",18192,"(+/- 3236 )",25342,"(+/- 2877 )",15121,"(+/- 2572 )",22332,"(+/- 3464 )",20299,"(+/- 2982 )"
