Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,Ancestry,"Subsaharan African",1491,"(+/- 819 )",9031,"(+/- 3432 )",6337,"(+/- 2968 )",2111,"(+/- 954 )",2999,"(+/- 1369 )",4027,"(+/- 1595 )",2713,"(+/- 1065 )",3960,"(+/- 1725 )",2669,"(+/- 840 )",1327,"(+/- 763 )",9057,"(+/- 2760 )",6876,"(+/- 2411 )",16137,"(+/- 3383 )",10366,"(+/- 2603 )"
People,Ancestry,Swedish,27109,"(+/- 2739 )",13362,"(+/- 1801 )",13720,"(+/- 2304 )",9484,"(+/- 1485 )",5473,"(+/- 1712 )",11749,"(+/- 2198 )",7397,"(+/- 1331 )",11796,"(+/- 2317 )",4641,"(+/- 984 )",5709,"(+/- 1198 )",8518,"(+/- 1704 )",4799,"(+/- 1025 )",1191,"(+/- 427 )",2913,"(+/- 960 )"
People,Ancestry,Swiss,2373,"(+/- 677 )",1304,"(+/- 458 )",1571,"(+/- 557 )",1789,"(+/- 562 )",965,"(+/- 507 )",3332,"(+/- 831 )",4068,"(+/- 1939 )",1784,"(+/- 720 )",639,"(+/- 284 )",1410,"(+/- 569 )",1985,"(+/- 688 )",2278,"(+/- 925 )",70,"(+/- 84 )",1129,"(+/- 759 )"
People,Ancestry,Ukrainian,2724,"(+/- 1063 )",1070,"(+/- 655 )",795,"(+/- 424 )",1538,"(+/- 646 )",1299,"(+/- 546 )",1682,"(+/- 620 )",1852,"(+/- 828 )",4364,"(+/- 1203 )",5068,"(+/- 1095 )",3168,"(+/- 906 )",6840,"(+/- 2029 )",2900,"(+/- 891 )",967,"(+/- 387 )",2221,"(+/- 985 )"
People,Ancestry,Welsh,4026,"(+/- 935 )",2097,"(+/- 631 )",4061,"(+/- 1045 )",3027,"(+/- 759 )",4270,"(+/- 1421 )",3365,"(+/- 1033 )",4569,"(+/- 980 )",4130,"(+/- 782 )",2731,"(+/- 764 )",3834,"(+/- 997 )",3674,"(+/- 911 )",3997,"(+/- 1759 )",1938,"(+/- 921 )",1479,"(+/- 679 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",901,"(+/- 550 )",1022,"(+/- 591 )",682,"(+/- 517 )",234,"(+/- 190 )",539,"(+/- 591 )",747,"(+/- 671 )",986,"(+/- 802 )",1546,"(+/- 1017 )",896,"(+/- 514 )",99,"(+/- 112 )",950,"(+/- 513 )",698,"(+/- 302 )",2587,"(+/- 1355 )",2529,"(+/- 1174 )"
People,"Veteran Status","Civilian population 18 years and over",569728,"(+/- 1574 )",571940,"(+/- 3581 )",569400,"(+/- 3140 )",561408,"(+/- 2493 )",524600,"(+/- 2514 )",559449,"(+/- 1715 )",555117,"(+/- 3050 )",583480,"(+/- 4845 )",576544,"(+/- 6122 )",567386,"(+/- 5411 )",576992,"(+/- 5960 )",563477,"(+/- 6815 )",501151,"(+/- 8288 )",547238,"(+/- 8945 )"
People,"Veteran Status","Civilian veterans",56370,"(+/- 2296 )",38876,"(+/- 2677 )",38884,"(+/- 2269 )",45342,"(+/- 2294 )",42403,"(+/- 2394 )",39088,"(+/- 2504 )",42680,"(+/- 2423 )",34522,"(+/- 2355 )",33984,"(+/- 2381 )",41475,"(+/- 2445 )",29048,"(+/- 2106 )",29394,"(+/- 2548 )",28484,"(+/- 2594 )",30022,"(+/- 2359 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",684029,"(+/- 2422 )",734891,"(+/- 3745 )",740293,"(+/- 3270 )",691734,"(+/- 3333 )",666183,"(+/- 3486 )",716541,"(+/- 2108 )",690175,"(+/- 3712 )",745223,"(+/- 5925 )",710487,"(+/- 7596 )",716358,"(+/- 6516 )",730595,"(+/- 6571 )",705669,"(+/- 7023 )",660363,"(+/- 12573 )",695988,"(+/- 12120 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",109859,"(+/- 3453 )",92892,"(+/- 5128 )",86426,"(+/- 3689 )",113562,"(+/- 3834 )",114604,"(+/- 5517 )",96335,"(+/- 5049 )",103336,"(+/- 4793 )",87984,"(+/- 4597 )",103566,"(+/- 4842 )",104611,"(+/- 4377 )",74911,"(+/- 4165 )",86601,"(+/- 4230 )",120824,"(+/- 5939 )",112208,"(+/- 5374 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",128066,"(+/- 1445 )",171151,"(+/- 3116 )",180076,"(+/- 2859 )",142510,"(+/- 1852 )",145804,"(+/- 1802 )",161711,"(+/- 674 )",150972,"(+/- 2416 )",164929,"(+/- 3702 )",138356,"(+/- 4734 )",155077,"(+/- 3944 )",156573,"(+/- 5399 )",146145,"(+/- 5851 )",162133,"(+/- 7036 )",157103,"(+/- 6807 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5471,"(+/- 888 )",7026,"(+/- 1243 )",6652,"(+/- 1541 )",8040,"(+/- 1193 )",9505,"(+/- 1875 )",7634,"(+/- 1418 )",10774,"(+/- 1553 )",7972,"(+/- 1446 )",6306,"(+/- 1371 )",6554,"(+/- 1213 )",4823,"(+/- 937 )",7157,"(+/- 1504 )",9119,"(+/- 1633 )",7318,"(+/- 1349 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",397303,"(+/- 2081 )",447235,"(+/- 3986 )",450705,"(+/- 3955 )",414988,"(+/- 2581 )",398266,"(+/- 2259 )",432425,"(+/- 2286 )",412162,"(+/- 3210 )",469205,"(+/- 4579 )",455612,"(+/- 6055 )",431546,"(+/- 5452 )",453011,"(+/- 5178 )",457766,"(+/- 6355 )",403093,"(+/- 8065 )",423943,"(+/- 8902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53444,"(+/- 2583 )",49194,"(+/- 3938 )",44339,"(+/- 2898 )",58053,"(+/- 2930 )",62264,"(+/- 3651 )",49726,"(+/- 3172 )",50489,"(+/- 3396 )",46688,"(+/- 3398 )",57520,"(+/- 3629 )",49326,"(+/- 2897 )",31743,"(+/- 2660 )",45544,"(+/- 3157 )",70298,"(+/- 4554 )",62163,"(+/- 4323 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",158660,"(+/- 1140 )",116505,"(+/- 2911 )",109512,"(+/- 2886 )",134236,"(+/- 2023 )",122113,"(+/- 1795 )",122405,"(+/- 1073 )",127041,"(+/- 1734 )",111089,"(+/- 2531 )",116519,"(+/- 3714 )",129735,"(+/- 3612 )",121011,"(+/- 4578 )",101758,"(+/- 3999 )",95137,"(+/- 3677 )",114942,"(+/- 4566 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",50944,"(+/- 1950 )",36672,"(+/- 2653 )",35435,"(+/- 2053 )",47469,"(+/- 2093 )",42835,"(+/- 2530 )",38975,"(+/- 2690 )",42073,"(+/- 2286 )",33324,"(+/- 2115 )",39740,"(+/- 2367 )",48731,"(+/- 2961 )",38345,"(+/- 2777 )",33900,"(+/- 2141 )",41407,"(+/- 2856 )",42727,"(+/- 2896 )"
People,"Residence 1 Year Ago","Population 1 year and over",694013,"(+/- 1372 )",734370,"(+/- 3502 )",742376,"(+/- 2873 )",698035,"(+/- 3069 )",663667,"(+/- 3695 )",714668,"(+/- 1951 )",700511,"(+/- 3363 )",740973,"(+/- 5693 )",706631,"(+/- 7677 )",715992,"(+/- 6724 )",726531,"(+/- 6185 )",702762,"(+/- 6834 )",654823,"(+/- 12421 )",695731,"(+/- 12352 )"
People,"Residence 1 Year Ago","Same house",606407,"(+/- 4877 )",623152,"(+/- 9105 )",634957,"(+/- 8206 )",609452,"(+/- 5722 )",576929,"(+/- 8265 )",599616,"(+/- 7748 )",616327,"(+/- 6538 )",630476,"(+/- 8102 )",617245,"(+/- 8962 )",639080,"(+/- 8512 )",641665,"(+/- 9748 )",582378,"(+/- 10788 )",574312,"(+/- 13666 )",610105,"(+/- 13609 )"
People,"Residence 1 Year Ago","Different house in the U.S.",85560,"(+/- 4664 )",108799,"(+/- 8305 )",104885,"(+/- 8002 )",87328,"(+/- 5121 )",86013,"(+/- 7658 )",111591,"(+/- 7281 )",82107,"(+/- 6158 )",104267,"(+/- 6911 )",87200,"(+/- 6812 )",75451,"(+/- 6594 )",77734,"(+/- 6721 )",114046,"(+/- 8162 )",78662,"(+/- 6495 )",80473,"(+/- 6857 )"
People,"Residence 1 Year Ago","Same county",44791,"(+/- 3702 )",63317,"(+/- 6893 )",64734,"(+/- 6214 )",41751,"(+/- 3964 )",63808,"(+/- 6762 )",64955,"(+/- 6160 )",41305,"(+/- 4792 )",60243,"(+/- 6002 )",58340,"(+/- 6076 )",52162,"(+/- 6231 )",46800,"(+/- 5906 )",72978,"(+/- 7417 )",58088,"(+/- 6441 )",56019,"(+/- 6287 )"
People,"Residence 1 Year Ago","Different county",40769,"(+/- 3457 )",45482,"(+/- 5247 )",40151,"(+/- 4743 )",45577,"(+/- 3600 )",22205,"(+/- 3311 )",46636,"(+/- 4526 )",40802,"(+/- 4319 )",44024,"(+/- 3866 )",28860,"(+/- 3921 )",23289,"(+/- 2595 )",30934,"(+/- 3700 )",41068,"(+/- 4460 )",20574,"(+/- 3671 )",24454,"(+/- 3315 )"
People,"Residence 1 Year Ago","Same state",29327,"(+/- 2950 )",34320,"(+/- 3822 )",27731,"(+/- 3460 )",38115,"(+/- 3338 )",16033,"(+/- 2639 )",30935,"(+/- 3682 )",30904,"(+/- 3607 )",34380,"(+/- 3236 )",21629,"(+/- 3429 )",18652,"(+/- 2587 )",21460,"(+/- 3192 )",20525,"(+/- 2459 )",14446,"(+/- 2916 )",17092,"(+/- 3223 )"
People,"Residence 1 Year Ago","Different state",11442,"(+/- 2234 )",11162,"(+/- 2946 )",12420,"(+/- 3159 )",7462,"(+/- 1604 )",6172,"(+/- 1532 )",15701,"(+/- 2977 )",9898,"(+/- 2280 )",9644,"(+/- 2171 )",7231,"(+/- 1944 )",4637,"(+/- 1196 )",9474,"(+/- 2188 )",20543,"(+/- 3955 )",6128,"(+/- 2027 )",7362,"(+/- 1519 )"
People,"Residence 1 Year Ago",Abroad,2046,"(+/- 615 )",2419,"(+/- 1215 )",2534,"(+/- 1050 )",1255,"(+/- 428 )",725,"(+/- 358 )",3461,"(+/- 1194 )",2077,"(+/- 1174 )",6230,"(+/- 1962 )",2186,"(+/- 1024 )",1461,"(+/- 813 )",7132,"(+/- 2242 )",6338,"(+/- 1822 )",1849,"(+/- 826 )",5153,"(+/- 3115 )"
Workers,"Employment Status","Population 16 years and over",586603,"(+/- 1616 )",591404,"(+/- 3778 )",589259,"(+/- 3337 )",579849,"(+/- 2646 )",542945,"(+/- 2773 )",578861,"(+/- 2230 )",574503,"(+/- 3347 )",605440,"(+/- 5096 )",591277,"(+/- 6369 )",589567,"(+/- 5702 )",596744,"(+/- 6089 )",580975,"(+/- 7017 )",518711,"(+/- 8620 )",565880,"(+/- 9654 )"
Workers,"Employment Status","In labor force",323477,"(+/- 4617 )",378783,"(+/- 5198 )",390243,"(+/- 5864 )",325249,"(+/- 4655 )",315677,"(+/- 5176 )",369339,"(+/- 4516 )",340164,"(+/- 4481 )",395898,"(+/- 6026 )",390827,"(+/- 6696 )",365816,"(+/- 6461 )",396293,"(+/- 5697 )",361465,"(+/- 7094 )",287986,"(+/- 7810 )",336556,"(+/- 8880 )"
Workers,"Employment Status","Civilian labor force",322271,"(+/- 4607 )",378680,"(+/- 5193 )",390154,"(+/- 5873 )",325069,"(+/- 4658 )",315472,"(+/- 5166 )",369025,"(+/- 4510 )",339751,"(+/- 4535 )",395443,"(+/- 5997 )",390570,"(+/- 6726 )",365669,"(+/- 6468 )",396176,"(+/- 5712 )",361282,"(+/- 7069 )",287870,"(+/- 7832 )",336556,"(+/- 8880 )"
Workers,"Employment Status",Employed,306992,"(+/- 4895 )",363487,"(+/- 5566 )",371319,"(+/- 5898 )",309795,"(+/- 4782 )",292423,"(+/- 5642 )",350053,"(+/- 5062 )",323142,"(+/- 4658 )",376603,"(+/- 6664 )",371545,"(+/- 7087 )",348999,"(+/- 6483 )",384149,"(+/- 5453 )",341328,"(+/- 7273 )",259660,"(+/- 7904 )",308961,"(+/- 9026 )"
Workers,"Employment Status",Unemployed,15279,"(+/- 1399 )",15193,"(+/- 2065 )",18835,"(+/- 2141 )",15274,"(+/- 1883 )",23049,"(+/- 2803 )",18972,"(+/- 2170 )",16609,"(+/- 2742 )",18840,"(+/- 2931 )",19025,"(+/- 2096 )",16670,"(+/- 2095 )",12027,"(+/- 1592 )",19954,"(+/- 2386 )",28210,"(+/- 3454 )",27595,"(+/- 2906 )"
Workers,"Employment Status","Armed Forces",1206,"(+/- 465 )",103,"(+/- 114 )",89,"(+/- 103 )",180,"(+/- 197 )",205,"(+/- 171 )",314,"(+/- 267 )",413,"(+/- 380 )",455,"(+/- 312 )",257,"(+/- 198 )",147,"(+/- 139 )",117,"(+/- 116 )",183,"(+/- 152 )",116,"(+/- 153 )",0,"(+/- 172 )"
Workers,"Employment Status","Not in labor force",263126,"(+/- 4589 )",212621,"(+/- 4943 )",199016,"(+/- 5675 )",254600,"(+/- 4162 )",227268,"(+/- 5124 )",209522,"(+/- 4395 )",234339,"(+/- 4677 )",209542,"(+/- 5882 )",200450,"(+/- 5732 )",223751,"(+/- 6070 )",200451,"(+/- 5785 )",219510,"(+/- 6339 )",230725,"(+/- 7638 )",229324,"(+/- 6519 )"
Workers,"Employment Status","Civilian labor force",322271,"(+/- 4607 )",378680,"(+/- 5193 )",390154,"(+/- 5873 )",325069,"(+/- 4658 )",315472,"(+/- 5166 )",369025,"(+/- 4510 )",339751,"(+/- 4535 )",395443,"(+/- 5997 )",390570,"(+/- 6726 )",365669,"(+/- 6468 )",396176,"(+/- 5712 )",361282,"(+/- 7069 )",287870,"(+/- 7832 )",336556,"(+/- 8880 )"
Workers,"Employment Status","Unemployment Rate",4.7,"(+/- 0.4 )",4.0,"(+/- 0.5 )",4.8,"(+/- 0.5 )",4.7,"(+/- 0.6 )",7.3,"(+/- 0.9 )",5.1,"(+/- 0.6 )",4.9,"(+/- 0.8 )",4.8,"(+/- 0.7 )",4.9,"(+/- 0.5 )",4.6,"(+/- 0.6 )",3.0,"(+/- 0.4 )",5.5,"(+/- 0.7 )",9.8,"(+/- 1.2 )",8.2,"(+/- 0.9 )"
Workers,"Commuting to Work","Workers 16 years and over",302647,"(+/- 4900 )",358496,"(+/- 5471 )",364212,"(+/- 5742 )",303731,"(+/- 4864 )",287884,"(+/- 5572 )",342161,"(+/- 5302 )",316649,"(+/- 4905 )",368746,"(+/- 6588 )",363029,"(+/- 7413 )",340184,"(+/- 6592 )",377766,"(+/- 5352 )",335956,"(+/- 7170 )",252468,"(+/- 7421 )",301577,"(+/- 9101 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",238604,"(+/- 4391 )",297988,"(+/- 5776 )",298553,"(+/- 5998 )",248876,"(+/- 4748 )",240351,"(+/- 5624 )",279384,"(+/- 5977 )",270255,"(+/- 5507 )",302725,"(+/- 6789 )",306618,"(+/- 7380 )",289531,"(+/- 6704 )",322945,"(+/- 5607 )",262071,"(+/- 6656 )",190620,"(+/- 6218 )",235831,"(+/- 7375 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30480,"(+/- 2533 )",33665,"(+/- 4298 )",32291,"(+/- 3296 )",27929,"(+/- 2378 )",27035,"(+/- 3200 )",33117,"(+/- 3476 )",23180,"(+/- 2352 )",29921,"(+/- 2671 )",29208,"(+/- 3491 )",28963,"(+/- 2812 )",27598,"(+/- 3124 )",25986,"(+/- 2704 )",30308,"(+/- 3311 )",32471,"(+/- 3504 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1879,"(+/- 787 )",3407,"(+/- 1176 )",5088,"(+/- 1417 )",2077,"(+/- 771 )",4542,"(+/- 1229 )",3467,"(+/- 1048 )",648,"(+/- 313 )",5193,"(+/- 1481 )",4337,"(+/- 1200 )",1799,"(+/- 950 )",558,"(+/- 316 )",10978,"(+/- 1700 )",9699,"(+/- 1874 )",9247,"(+/- 1689 )"
Workers,"Commuting to Work",Walked,10866,"(+/- 1709 )",6979,"(+/- 1404 )",8484,"(+/- 1379 )",9103,"(+/- 1449 )",3562,"(+/- 980 )",8985,"(+/- 1548 )",6644,"(+/- 1095 )",9607,"(+/- 1547 )",4301,"(+/- 1165 )",4478,"(+/- 927 )",3020,"(+/- 836 )",16602,"(+/- 2459 )",7184,"(+/- 1472 )",4997,"(+/- 1591 )"
Workers,"Commuting to Work","Other means",6386,"(+/- 1173 )",3562,"(+/- 1112 )",4137,"(+/- 889 )",4060,"(+/- 958 )",3043,"(+/- 974 )",4245,"(+/- 970 )",3442,"(+/- 874 )",5034,"(+/- 1117 )",4213,"(+/- 1268 )",2704,"(+/- 667 )",2924,"(+/- 848 )",5542,"(+/- 1332 )",6376,"(+/- 1635 )",5948,"(+/- 1325 )"
Workers,"Commuting to Work","Worked at home",14432,"(+/- 1407 )",12895,"(+/- 1698 )",15659,"(+/- 2013 )",11686,"(+/- 1470 )",9351,"(+/- 1396 )",12963,"(+/- 1652 )",12480,"(+/- 1537 )",16266,"(+/- 1539 )",14352,"(+/- 1838 )",12709,"(+/- 1616 )",20721,"(+/- 1997 )",14777,"(+/- 2148 )",8281,"(+/- 1622 )",13083,"(+/- 2034 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.0,"(+/- 0.5 )",21.3,"(+/- 0.5 )",23.0,"(+/- 0.5 )",23.8,"(+/- 0.5 )",24.4,"(+/- 0.7 )",21.9,"(+/- 0.5 )",24.8,"(+/- 0.6 )",26.6,"(+/- 0.6 )",26.6,"(+/- 0.5 )",30.5,"(+/- 0.7 )",26.9,"(+/- 0.4 )",24.2,"(+/- 0.6 )",26.2,"(+/- 0.7 )",24.9,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",306992,"(+/- 4895 )",363487,"(+/- 5566 )",371319,"(+/- 5898 )",309795,"(+/- 4782 )",292423,"(+/- 5642 )",350053,"(+/- 5062 )",323142,"(+/- 4658 )",376603,"(+/- 6664 )",371545,"(+/- 7087 )",348999,"(+/- 6483 )",384149,"(+/- 5453 )",341328,"(+/- 7273 )",259660,"(+/- 7904 )",308961,"(+/- 9026 )"
Workers,Occupation,"Management, business, science, and arts occupations",96401,"(+/- 3406 )",115785,"(+/- 3836 )",136910,"(+/- 5163 )",99362,"(+/- 4657 )",90830,"(+/- 4084 )",118763,"(+/- 4919 )",113193,"(+/- 4491 )",164836,"(+/- 5688 )",142275,"(+/- 5158 )",123788,"(+/- 5397 )",191233,"(+/- 5321 )",144498,"(+/- 4926 )",65665,"(+/- 4145 )",113878,"(+/- 5679 )"
Workers,Occupation,"Service occupations",64564,"(+/- 3161 )",63670,"(+/- 2969 )",57258,"(+/- 4262 )",59752,"(+/- 2966 )",60580,"(+/- 3980 )",60046,"(+/- 3416 )",55452,"(+/- 3536 )",64743,"(+/- 3908 )",66877,"(+/- 3924 )",54525,"(+/- 3650 )",50089,"(+/- 3690 )",57826,"(+/- 4351 )",62675,"(+/- 4482 )",61151,"(+/- 5447 )"
Workers,Occupation,"Sales and office occupations",67228,"(+/- 3204 )",75217,"(+/- 4397 )",80332,"(+/- 3819 )",64902,"(+/- 3254 )",59802,"(+/- 3601 )",69745,"(+/- 4254 )",64825,"(+/- 3305 )",81263,"(+/- 3719 )",82273,"(+/- 4318 )",73073,"(+/- 4149 )",82140,"(+/- 4291 )",67127,"(+/- 3449 )",52107,"(+/- 3440 )",67146,"(+/- 5068 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33756,"(+/- 2043 )",29716,"(+/- 2939 )",32407,"(+/- 3024 )",30355,"(+/- 2201 )",26144,"(+/- 2155 )",31508,"(+/- 2897 )",28118,"(+/- 2144 )",23947,"(+/- 2031 )",21190,"(+/- 2133 )",34512,"(+/- 2470 )",23068,"(+/- 2083 )",19266,"(+/- 2542 )",20403,"(+/- 2116 )",13772,"(+/- 1968 )"
Workers,Occupation,"Production, transportation, and material moving occupations",45043,"(+/- 2497 )",79099,"(+/- 4412 )",64412,"(+/- 3821 )",55424,"(+/- 3471 )",55067,"(+/- 3298 )",69991,"(+/- 3586 )",61554,"(+/- 3236 )",41814,"(+/- 2753 )",58930,"(+/- 3903 )",63101,"(+/- 3494 )",37619,"(+/- 2663 )",52611,"(+/- 3392 )",58810,"(+/- 4308 )",53014,"(+/- 4236 )"
Workers,Industry,"Civilian employed population 16 years and over",306992,"(+/- 4895 )",363487,"(+/- 5566 )",371319,"(+/- 5898 )",309795,"(+/- 4782 )",292423,"(+/- 5642 )",350053,"(+/- 5062 )",323142,"(+/- 4658 )",376603,"(+/- 6664 )",371545,"(+/- 7087 )",348999,"(+/- 6483 )",384149,"(+/- 5453 )",341328,"(+/- 7273 )",259660,"(+/- 7904 )",308961,"(+/- 9026 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8623,"(+/- 1253 )",6179,"(+/- 1257 )",5116,"(+/- 1057 )",8367,"(+/- 1258 )",2473,"(+/- 683 )",5456,"(+/- 998 )",4247,"(+/- 875 )",1944,"(+/- 534 )",512,"(+/- 416 )",4943,"(+/- 800 )",543,"(+/- 252 )",1520,"(+/- 987 )",813,"(+/- 559 )",1337,"(+/- 919 )"
Workers,Industry,Construction,23057,"(+/- 1651 )",22142,"(+/- 2663 )",22755,"(+/- 2529 )",22088,"(+/- 2173 )",16947,"(+/- 2236 )",20545,"(+/- 2452 )",18598,"(+/- 1903 )",18034,"(+/- 1969 )",14811,"(+/- 1907 )",26711,"(+/- 2426 )",19233,"(+/- 2139 )",12362,"(+/- 1846 )",14551,"(+/- 1936 )",9823,"(+/- 1567 )"
Workers,Industry,Manufacturing,36432,"(+/- 2219 )",83761,"(+/- 3967 )",70901,"(+/- 4144 )",49816,"(+/- 2921 )",50259,"(+/- 3393 )",76361,"(+/- 3603 )",64960,"(+/- 2887 )",64040,"(+/- 3744 )",72870,"(+/- 3621 )",80705,"(+/- 3512 )",83486,"(+/- 3979 )",54811,"(+/- 3542 )",45594,"(+/- 4460 )",51252,"(+/- 3536 )"
Workers,Industry,"Wholesale trade",5546,"(+/- 899 )",11755,"(+/- 1930 )",10876,"(+/- 1691 )",6938,"(+/- 1285 )",5044,"(+/- 1115 )",7309,"(+/- 1370 )",6543,"(+/- 1307 )",8570,"(+/- 1338 )",8787,"(+/- 1725 )",6128,"(+/- 1034 )",10495,"(+/- 1453 )",5374,"(+/- 1086 )",5681,"(+/- 1302 )",6635,"(+/- 1472 )"
Workers,Industry,"Retail trade",40601,"(+/- 2585 )",39492,"(+/- 3672 )",41804,"(+/- 2929 )",36140,"(+/- 2717 )",35932,"(+/- 3016 )",35893,"(+/- 2612 )",32746,"(+/- 2537 )",38720,"(+/- 3108 )",34022,"(+/- 2672 )",40314,"(+/- 3093 )",35516,"(+/- 2987 )",34743,"(+/- 2974 )",26055,"(+/- 3080 )",28779,"(+/- 3477 )"
Workers,Industry,"Transportation and warehousing, and utilities",12918,"(+/- 1514 )",14873,"(+/- 1826 )",14729,"(+/- 1804 )",13234,"(+/- 1731 )",14099,"(+/- 1827 )",16609,"(+/- 1827 )",17881,"(+/- 1919 )",11965,"(+/- 1538 )",15625,"(+/- 2257 )",12611,"(+/- 1472 )",12584,"(+/- 1397 )",16568,"(+/- 2143 )",20775,"(+/- 2427 )",17829,"(+/- 2459 )"
Workers,Industry,Information,3367,"(+/- 520 )",4244,"(+/- 939 )",5257,"(+/- 1194 )",3061,"(+/- 587 )",3612,"(+/- 978 )",4393,"(+/- 980 )",4308,"(+/- 928 )",4528,"(+/- 925 )",5397,"(+/- 1036 )",3085,"(+/- 769 )",5841,"(+/- 958 )",5034,"(+/- 945 )",2993,"(+/- 833 )",5695,"(+/- 1296 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",13427,"(+/- 1421 )",15663,"(+/- 1892 )",22745,"(+/- 2700 )",13839,"(+/- 1542 )",12670,"(+/- 1762 )",18099,"(+/- 2091 )",13483,"(+/- 1564 )",21351,"(+/- 2076 )",25550,"(+/- 2341 )",16972,"(+/- 2193 )",28783,"(+/- 2397 )",16154,"(+/- 1707 )",11599,"(+/- 1499 )",19483,"(+/- 2214 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",22029,"(+/- 1673 )",28405,"(+/- 2614 )",35304,"(+/- 3076 )",17848,"(+/- 1907 )",21990,"(+/- 1655 )",25057,"(+/- 2168 )",25207,"(+/- 2093 )",43358,"(+/- 2895 )",44585,"(+/- 3260 )",28735,"(+/- 2599 )",53686,"(+/- 3322 )",38533,"(+/- 2898 )",28063,"(+/- 2882 )",37033,"(+/- 3484 )"
Workers,Industry,"Educational services, and health care and social assistance",71789,"(+/- 3462 )",79623,"(+/- 4081 )",85925,"(+/- 4537 )",80427,"(+/- 3617 )",73445,"(+/- 3573 )",78709,"(+/- 4055 )",79083,"(+/- 3444 )",88337,"(+/- 4450 )",78359,"(+/- 4474 )",70857,"(+/- 3857 )",77708,"(+/- 3877 )",99567,"(+/- 4700 )",55574,"(+/- 3802 )",74929,"(+/- 4812 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38429,"(+/- 2497 )",31583,"(+/- 3005 )",29326,"(+/- 3120 )",31256,"(+/- 2867 )",31014,"(+/- 3147 )",36458,"(+/- 3801 )",25596,"(+/- 2451 )",40558,"(+/- 3125 )",40233,"(+/- 3328 )",29117,"(+/- 2568 )",31057,"(+/- 2972 )",34287,"(+/- 3538 )",27959,"(+/- 2666 )",32233,"(+/- 3916 )"
Workers,Industry,"Other services, except public administration",14469,"(+/- 1441 )",17673,"(+/- 2230 )",17246,"(+/- 2327 )",14307,"(+/- 1527 )",16223,"(+/- 2300 )",16586,"(+/- 1756 )",17227,"(+/- 2099 )",18038,"(+/- 2016 )",17470,"(+/- 1846 )",15824,"(+/- 1660 )",14979,"(+/- 1818 )",13877,"(+/- 1809 )",10849,"(+/- 1645 )",13667,"(+/- 1835 )"
Workers,Industry,"Public administration",16305,"(+/- 1486 )",8094,"(+/- 1415 )",9335,"(+/- 1399 )",12474,"(+/- 1294 )",8715,"(+/- 1333 )",8578,"(+/- 1200 )",13263,"(+/- 1362 )",17160,"(+/- 1586 )",13324,"(+/- 1595 )",12997,"(+/- 1401 )",10238,"(+/- 1275 )",8498,"(+/- 1372 )",9154,"(+/- 1539 )",10266,"(+/- 1652 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",306992,"(+/- 4895 )",363487,"(+/- 5566 )",371319,"(+/- 5898 )",309795,"(+/- 4782 )",292423,"(+/- 5642 )",350053,"(+/- 5062 )",323142,"(+/- 4658 )",376603,"(+/- 6664 )",371545,"(+/- 7087 )",348999,"(+/- 6483 )",384149,"(+/- 5453 )",341328,"(+/- 7273 )",259660,"(+/- 7904 )",308961,"(+/- 9026 )"
Workers,"Class of Worker","Private wage and salary workers",241595,"(+/- 4413 )",315574,"(+/- 5801 )",321213,"(+/- 6811 )",257300,"(+/- 4298 )",249645,"(+/- 5497 )",298292,"(+/- 4842 )",266535,"(+/- 5358 )",314842,"(+/- 6873 )",324844,"(+/- 7273 )",297190,"(+/- 6615 )",338786,"(+/- 5887 )",286679,"(+/- 7258 )",223898,"(+/- 8018 )",265953,"(+/- 8933 )"
