Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE"
People,Ancestry,Welsh,2635,"(+/- 1022 )",5014,"(+/- 1433 )",3709,"(+/- 955 )",6928,"(+/- 1872 )",4048,"(+/- 977 )",4974,"(+/- 1226 )",5941,"(+/- 1637 )",4545,"(+/- 1177 )",5387,"(+/- 1479 )",3813,"(+/- 943 )",4753,"(+/- 1209 )",2441,"(+/- 708 )",2550,"(+/- 1066 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",5260,"(+/- 2619 )",3448,"(+/- 1745 )",3664,"(+/- 1735 )",4642,"(+/- 2436 )",2632,"(+/- 1341 )",991,"(+/- 793 )",5005,"(+/- 2619 )",7286,"(+/- 2520 )",3847,"(+/- 1751 )",968,"(+/- 625 )",554,"(+/- 431 )",11559,"(+/- 4476 )",2992,"(+/- 1507 )"
People,"Veteran Status","Civilian population 18 years and over",600022,"(+/- 6213 )",633766,"(+/- 8599 )",546763,"(+/- 5027 )",686426,"(+/- 6951 )",602797,"(+/- 2392 )",601696,"(+/- 6035 )",639496,"(+/- 5306 )",575570,"(+/- 4979 )",591390,"(+/- 6754 )",603070,"(+/- 4888 )",624414,"(+/- 4463 )",676426,"(+/- 5664 )",614519,"(+/- 6884 )"
People,"Veteran Status","Civilian veterans",39757,"(+/- 3365 )",57585,"(+/- 3901 )",78967,"(+/- 5018 )",34732,"(+/- 3095 )",43842,"(+/- 2564 )",44632,"(+/- 2888 )",61610,"(+/- 3721 )",70519,"(+/- 4153 )",46922,"(+/- 3159 )",50098,"(+/- 3289 )",54818,"(+/- 2987 )",38960,"(+/- 3531 )",44593,"(+/- 3202 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",744096,"(+/- 8376 )",849369,"(+/- 11501 )",701825,"(+/- 6468 )",864550,"(+/- 9485 )",752388,"(+/- 3617 )",765830,"(+/- 8808 )",796664,"(+/- 7440 )",757192,"(+/- 6296 )",781627,"(+/- 10098 )",754420,"(+/- 6275 )",759432,"(+/- 5705 )",876055,"(+/- 8302 )",780273,"(+/- 9844 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",104903,"(+/- 5094 )",97865,"(+/- 5757 )",118464,"(+/- 5495 )",68640,"(+/- 4548 )",104516,"(+/- 5051 )",111710,"(+/- 5394 )",128748,"(+/- 7264 )",114140,"(+/- 5728 )",96004,"(+/- 3660 )",107975,"(+/- 5045 )",128882,"(+/- 5598 )",66850,"(+/- 4095 )",102472,"(+/- 5339 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",160172,"(+/- 3411 )",220671,"(+/- 7237 )",164876,"(+/- 2501 )",184735,"(+/- 6159 )",158978,"(+/- 1553 )",170435,"(+/- 5131 )",166510,"(+/- 3938 )",189635,"(+/- 3406 )",199140,"(+/- 5594 )",159274,"(+/- 2889 )",143059,"(+/- 2820 )",203530,"(+/- 4557 )",172715,"(+/- 4774 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5937,"(+/- 1307 )",12004,"(+/- 2414 )",9911,"(+/- 2026 )",5469,"(+/- 1159 )",5587,"(+/- 1139 )",10044,"(+/- 1899 )",10229,"(+/- 2209 )",11532,"(+/- 2074 )",7429,"(+/- 1417 )",6204,"(+/- 1174 )",7197,"(+/- 1612 )",5077,"(+/- 1160 )",7394,"(+/- 2416 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",461969,"(+/- 5705 )",513074,"(+/- 8157 )",407184,"(+/- 5371 )",579540,"(+/- 6952 )",457457,"(+/- 3064 )",462878,"(+/- 6541 )",472240,"(+/- 5235 )",451404,"(+/- 5064 )",462683,"(+/- 6814 )",458433,"(+/- 4604 )",446498,"(+/- 4575 )",586896,"(+/- 5530 )",480690,"(+/- 7343 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54871,"(+/- 3922 )",48520,"(+/- 4182 )",60622,"(+/- 4158 )",33850,"(+/- 3822 )",51938,"(+/- 3537 )",56160,"(+/- 4570 )",65986,"(+/- 5358 )",59279,"(+/- 4025 )",45802,"(+/- 3057 )",55550,"(+/- 3463 )",61499,"(+/- 4021 )",36619,"(+/- 3703 )",50167,"(+/- 4340 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",121955,"(+/- 2683 )",115624,"(+/- 3364 )",129765,"(+/- 2322 )",100275,"(+/- 3151 )",135953,"(+/- 1355 )",132517,"(+/- 2769 )",157914,"(+/- 1900 )",116153,"(+/- 1986 )",119804,"(+/- 3240 )",136713,"(+/- 2508 )",169875,"(+/- 2621 )",85629,"(+/- 2651 )",126868,"(+/- 2695 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44095,"(+/- 2399 )",37341,"(+/- 2911 )",47931,"(+/- 2559 )",29321,"(+/- 2888 )",46991,"(+/- 2668 )",45506,"(+/- 2685 )",52533,"(+/- 3108 )",43329,"(+/- 3049 )",42773,"(+/- 2591 )",46221,"(+/- 3067 )",60186,"(+/- 3374 )",25154,"(+/- 2255 )",44911,"(+/- 2569 )"
People,"Residence 1 Year Ago","Population 1 year and over",753111,"(+/- 7568 )",849536,"(+/- 11292 )",747210,"(+/- 5166 )",863315,"(+/- 9369 )",755932,"(+/- 2978 )",764824,"(+/- 8663 )",801154,"(+/- 7132 )",788399,"(+/- 6516 )",783173,"(+/- 9671 )",755100,"(+/- 6165 )",762435,"(+/- 5517 )",869622,"(+/- 8610 )",780729,"(+/- 9596 )"
People,"Residence 1 Year Ago","Same house",639535,"(+/- 10198 )",734991,"(+/- 12905 )",621705,"(+/- 9359 )",684765,"(+/- 12907 )",664532,"(+/- 8479 )",674423,"(+/- 10839 )",678218,"(+/- 9921 )",663007,"(+/- 9678 )",682006,"(+/- 11281 )",653064,"(+/- 9406 )",664594,"(+/- 7984 )",717511,"(+/- 11634 )",645050,"(+/- 12957 )"
People,"Residence 1 Year Ago","Different house in the U.S.",108972,"(+/- 9306 )",110141,"(+/- 11049 )",119398,"(+/- 8591 )",170652,"(+/- 9375 )",89249,"(+/- 7752 )",87595,"(+/- 7591 )",119848,"(+/- 8090 )",119806,"(+/- 7447 )",97931,"(+/- 7948 )",99793,"(+/- 7938 )",96170,"(+/- 7243 )",146181,"(+/- 9034 )",131829,"(+/- 11638 )"
People,"Residence 1 Year Ago","Same county",49707,"(+/- 6699 )",52792,"(+/- 6553 )",52948,"(+/- 6630 )",96500,"(+/- 8540 )",47669,"(+/- 6731 )",46744,"(+/- 5855 )",62754,"(+/- 5797 )",55187,"(+/- 5014 )",55756,"(+/- 6417 )",51844,"(+/- 6084 )",49251,"(+/- 5395 )",88652,"(+/- 7878 )",74946,"(+/- 8378 )"
People,"Residence 1 Year Ago","Different county",59265,"(+/- 6347 )",57349,"(+/- 7801 )",66450,"(+/- 6375 )",74152,"(+/- 5816 )",41580,"(+/- 4157 )",40851,"(+/- 4821 )",57094,"(+/- 5764 )",64619,"(+/- 6042 )",42175,"(+/- 4984 )",47949,"(+/- 6133 )",46919,"(+/- 5185 )",57529,"(+/- 5035 )",56883,"(+/- 6240 )"
People,"Residence 1 Year Ago","Same state",35537,"(+/- 4336 )",35142,"(+/- 5969 )",25697,"(+/- 3847 )",43663,"(+/- 5342 )",26905,"(+/- 3501 )",27471,"(+/- 4287 )",36057,"(+/- 4423 )",31871,"(+/- 4519 )",20377,"(+/- 2998 )",31818,"(+/- 4873 )",25549,"(+/- 4041 )",22051,"(+/- 3623 )",31996,"(+/- 4132 )"
People,"Residence 1 Year Ago","Different state",23728,"(+/- 4688 )",22207,"(+/- 4433 )",40753,"(+/- 4755 )",30489,"(+/- 3624 )",14675,"(+/- 2637 )",13380,"(+/- 3457 )",21037,"(+/- 3824 )",32748,"(+/- 4577 )",21798,"(+/- 4238 )",16131,"(+/- 3108 )",21370,"(+/- 3365 )",35478,"(+/- 4522 )",24887,"(+/- 3735 )"
People,"Residence 1 Year Ago",Abroad,4604,"(+/- 1250 )",4404,"(+/- 1667 )",6107,"(+/- 2231 )",7898,"(+/- 2604 )",2151,"(+/- 780 )",2806,"(+/- 1181 )",3088,"(+/- 1371 )",5586,"(+/- 1689 )",3236,"(+/- 1387 )",2243,"(+/- 1943 )",1671,"(+/- 676 )",5930,"(+/- 1719 )",3850,"(+/- 1581 )"
Workers,"Employment Status","Population 16 years and over",618978,"(+/- 6647 )",662648,"(+/- 9298 )",607235,"(+/- 4533 )",707913,"(+/- 7254 )",620853,"(+/- 2574 )",621424,"(+/- 6121 )",663320,"(+/- 5826 )",630084,"(+/- 4962 )",618771,"(+/- 7183 )",625093,"(+/- 5252 )",641939,"(+/- 5102 )",697850,"(+/- 6313 )",636459,"(+/- 6743 )"
Workers,"Employment Status","In labor force",370471,"(+/- 6751 )",435434,"(+/- 8873 )",370206,"(+/- 7326 )",495818,"(+/- 9000 )",367516,"(+/- 5682 )",377415,"(+/- 7790 )",378225,"(+/- 8154 )",396943,"(+/- 6418 )",377279,"(+/- 7260 )",382138,"(+/- 6708 )",365583,"(+/- 6292 )",502323,"(+/- 6849 )",396702,"(+/- 7295 )"
Workers,"Employment Status","Civilian labor force",369940,"(+/- 6757 )",431041,"(+/- 9033 )",325792,"(+/- 7503 )",495471,"(+/- 9063 )",366702,"(+/- 5727 )",376988,"(+/- 7749 )",374592,"(+/- 8092 )",364647,"(+/- 6534 )",375629,"(+/- 7389 )",381700,"(+/- 6750 )",365182,"(+/- 6315 )",501894,"(+/- 6833 )",396068,"(+/- 7425 )"
Workers,"Employment Status",Employed,346793,"(+/- 6556 )",413152,"(+/- 9175 )",304008,"(+/- 8105 )",478778,"(+/- 9044 )",348038,"(+/- 6311 )",358524,"(+/- 7853 )",355069,"(+/- 7570 )",343971,"(+/- 6732 )",357856,"(+/- 7279 )",361617,"(+/- 6701 )",349056,"(+/- 6568 )",479882,"(+/- 7172 )",374094,"(+/- 7441 )"
Workers,"Employment Status",Unemployed,23147,"(+/- 2986 )",17889,"(+/- 2687 )",21784,"(+/- 3289 )",16693,"(+/- 2380 )",18664,"(+/- 2370 )",18464,"(+/- 2134 )",19523,"(+/- 2721 )",20676,"(+/- 2405 )",17773,"(+/- 2082 )",20083,"(+/- 2549 )",16126,"(+/- 2731 )",22012,"(+/- 3053 )",21974,"(+/- 3216 )"
Workers,"Employment Status","Armed Forces",531,"(+/- 426 )",4393,"(+/- 991 )",44414,"(+/- 2772 )",347,"(+/- 334 )",814,"(+/- 520 )",427,"(+/- 242 )",3633,"(+/- 852 )",32296,"(+/- 2314 )",1650,"(+/- 904 )",438,"(+/- 304 )",401,"(+/- 296 )",429,"(+/- 478 )",634,"(+/- 624 )"
Workers,"Employment Status","Not in labor force",248507,"(+/- 6833 )",227214,"(+/- 6873 )",237029,"(+/- 6387 )",212095,"(+/- 7075 )",253337,"(+/- 5035 )",244009,"(+/- 6412 )",285095,"(+/- 7572 )",233141,"(+/- 6065 )",241492,"(+/- 5560 )",242955,"(+/- 6421 )",276356,"(+/- 6183 )",195527,"(+/- 6577 )",239757,"(+/- 6385 )"
Workers,"Employment Status","Civilian labor force",369940,"(+/- 6757 )",431041,"(+/- 9033 )",325792,"(+/- 7503 )",495471,"(+/- 9063 )",366702,"(+/- 5727 )",376988,"(+/- 7749 )",374592,"(+/- 8092 )",364647,"(+/- 6534 )",375629,"(+/- 7389 )",381700,"(+/- 6750 )",365182,"(+/- 6315 )",501894,"(+/- 6833 )",396068,"(+/- 7425 )"
Workers,"Employment Status","Unemployment Rate",6.3,"(+/- 0.8 )",4.2,"(+/- 0.6 )",6.7,"(+/- 1.0 )",3.4,"(+/- 0.5 )",5.1,"(+/- 0.7 )",4.9,"(+/- 0.6 )",5.2,"(+/- 0.7 )",5.7,"(+/- 0.7 )",4.7,"(+/- 0.5 )",5.3,"(+/- 0.7 )",4.4,"(+/- 0.7 )",4.4,"(+/- 0.6 )",5.5,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",339704,"(+/- 6438 )",410314,"(+/- 8739 )",343004,"(+/- 7967 )",470720,"(+/- 8972 )",342509,"(+/- 6079 )",348858,"(+/- 7760 )",350402,"(+/- 7426 )",370053,"(+/- 6743 )",350130,"(+/- 7199 )",353864,"(+/- 6688 )",340723,"(+/- 6575 )",472253,"(+/- 7407 )",366341,"(+/- 7619 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",265844,"(+/- 7227 )",333374,"(+/- 9079 )",277633,"(+/- 7231 )",361377,"(+/- 9258 )",281864,"(+/- 6613 )",290761,"(+/- 6886 )",289635,"(+/- 7782 )",293620,"(+/- 7140 )",288474,"(+/- 7194 )",296884,"(+/- 6592 )",279194,"(+/- 7196 )",355067,"(+/- 7345 )",304775,"(+/- 9236 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",37060,"(+/- 3991 )",33546,"(+/- 3938 )",35346,"(+/- 3927 )",41467,"(+/- 5090 )",34484,"(+/- 3970 )",33343,"(+/- 3806 )",32719,"(+/- 4020 )",39157,"(+/- 5036 )",29922,"(+/- 2705 )",28616,"(+/- 2985 )",29050,"(+/- 3618 )",45362,"(+/- 5077 )",32466,"(+/- 3570 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",5493,"(+/- 1562 )",1123,"(+/- 1043 )",1511,"(+/- 770 )",11134,"(+/- 1829 )",2945,"(+/- 950 )",1452,"(+/- 631 )",1407,"(+/- 676 )",1774,"(+/- 690 )",3113,"(+/- 823 )",1604,"(+/- 887 )",610,"(+/- 443 )",13995,"(+/- 2517 )",1070,"(+/- 591 )"
Workers,"Commuting to Work",Walked,9005,"(+/- 1885 )",3137,"(+/- 936 )",10616,"(+/- 1630 )",9718,"(+/- 1835 )",5013,"(+/- 1145 )",4000,"(+/- 1159 )",4755,"(+/- 1582 )",10704,"(+/- 1691 )",4369,"(+/- 1300 )",5547,"(+/- 1503 )",4943,"(+/- 1386 )",9952,"(+/- 1909 )",5609,"(+/- 1529 )"
Workers,"Commuting to Work","Other means",7226,"(+/- 2033 )",3140,"(+/- 964 )",3650,"(+/- 1194 )",6828,"(+/- 1531 )",4112,"(+/- 1214 )",2363,"(+/- 774 )",2795,"(+/- 823 )",5128,"(+/- 1512 )",2738,"(+/- 835 )",5329,"(+/- 1307 )",5259,"(+/- 1355 )",8136,"(+/- 1687 )",3586,"(+/- 916 )"
Workers,"Commuting to Work","Worked at home",15076,"(+/- 2301 )",35994,"(+/- 3829 )",14248,"(+/- 2176 )",40196,"(+/- 3982 )",14091,"(+/- 2421 )",16939,"(+/- 2451 )",19091,"(+/- 2641 )",19670,"(+/- 2936 )",21514,"(+/- 2084 )",15884,"(+/- 1877 )",21667,"(+/- 2755 )",39741,"(+/- 4066 )",18835,"(+/- 2504 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.4,"(+/- 0.6 )",29.2,"(+/- 0.6 )",23.5,"(+/- 0.7 )",23.8,"(+/- 0.6 )",23.5,"(+/- 0.6 )",26.0,"(+/- 0.7 )",23.6,"(+/- 0.7 )",24.2,"(+/- 0.6 )",27.3,"(+/- 0.7 )",24.8,"(+/- 0.6 )",23.0,"(+/- 0.5 )",26.4,"(+/- 0.9 )",23.0,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",346793,"(+/- 6556 )",413152,"(+/- 9175 )",304008,"(+/- 8105 )",478778,"(+/- 9044 )",348038,"(+/- 6311 )",358524,"(+/- 7853 )",355069,"(+/- 7570 )",343971,"(+/- 6732 )",357856,"(+/- 7279 )",361617,"(+/- 6701 )",349056,"(+/- 6568 )",479882,"(+/- 7172 )",374094,"(+/- 7441 )"
Workers,Occupation,"Management, business, science, and arts occupations",130293,"(+/- 5976 )",185249,"(+/- 6055 )",104139,"(+/- 5758 )",257610,"(+/- 7223 )",127377,"(+/- 4711 )",117746,"(+/- 5312 )",118862,"(+/- 5877 )",125509,"(+/- 5313 )",146554,"(+/- 5063 )",115515,"(+/- 5200 )",113721,"(+/- 4983 )",193067,"(+/- 7726 )",132947,"(+/- 4291 )"
Workers,Occupation,"Service occupations",68810,"(+/- 5886 )",63426,"(+/- 5174 )",62537,"(+/- 4957 )",72008,"(+/- 6287 )",60888,"(+/- 4651 )",59958,"(+/- 4168 )",67744,"(+/- 5247 )",62413,"(+/- 3891 )",52392,"(+/- 3731 )",65634,"(+/- 4185 )",69489,"(+/- 4522 )",81689,"(+/- 5707 )",59989,"(+/- 4930 )"
Workers,Occupation,"Sales and office occupations",64931,"(+/- 4310 )",81318,"(+/- 4904 )",63826,"(+/- 4454 )",89417,"(+/- 5227 )",74209,"(+/- 4431 )",77559,"(+/- 5297 )",71647,"(+/- 5067 )",69384,"(+/- 4599 )",76942,"(+/- 4418 )",75980,"(+/- 4264 )",69575,"(+/- 3561 )",106590,"(+/- 5045 )",79038,"(+/- 5081 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",29104,"(+/- 3518 )",35979,"(+/- 3347 )",32022,"(+/- 3056 )",24047,"(+/- 3666 )",33454,"(+/- 3778 )",37074,"(+/- 3423 )",43301,"(+/- 4095 )",34451,"(+/- 3238 )",33869,"(+/- 2944 )",32567,"(+/- 2949 )",34640,"(+/- 3279 )",36009,"(+/- 3582 )",32676,"(+/- 3012 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53655,"(+/- 3859 )",47180,"(+/- 4535 )",41484,"(+/- 3970 )",35696,"(+/- 4664 )",52110,"(+/- 3616 )",66187,"(+/- 4428 )",53515,"(+/- 4452 )",52214,"(+/- 4100 )",48099,"(+/- 2946 )",71921,"(+/- 4916 )",61631,"(+/- 4208 )",62527,"(+/- 5495 )",69444,"(+/- 4829 )"
Workers,Industry,"Civilian employed population 16 years and over",346793,"(+/- 6556 )",413152,"(+/- 9175 )",304008,"(+/- 8105 )",478778,"(+/- 9044 )",348038,"(+/- 6311 )",358524,"(+/- 7853 )",355069,"(+/- 7570 )",343971,"(+/- 6732 )",357856,"(+/- 7279 )",361617,"(+/- 6701 )",349056,"(+/- 6568 )",479882,"(+/- 7172 )",374094,"(+/- 7441 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",6822,"(+/- 1820 )",5488,"(+/- 1568 )",5562,"(+/- 1305 )",1510,"(+/- 711 )",6399,"(+/- 1429 )",5034,"(+/- 1419 )",11790,"(+/- 2043 )",5095,"(+/- 1391 )",5608,"(+/- 1664 )",3688,"(+/- 853 )",5258,"(+/- 1168 )",1453,"(+/- 617 )",3642,"(+/- 1146 )"
Workers,Industry,Construction,19745,"(+/- 2553 )",32037,"(+/- 3119 )",20661,"(+/- 2345 )",22268,"(+/- 3183 )",24949,"(+/- 3177 )",27728,"(+/- 3439 )",26966,"(+/- 3473 )",22342,"(+/- 2771 )",27643,"(+/- 2480 )",25057,"(+/- 3017 )",29824,"(+/- 3217 )",34179,"(+/- 3673 )",21288,"(+/- 2579 )"
Workers,Industry,Manufacturing,40411,"(+/- 3369 )",42836,"(+/- 4407 )",28686,"(+/- 3011 )",38422,"(+/- 3943 )",47818,"(+/- 3874 )",58961,"(+/- 3910 )",36877,"(+/- 3173 )",36548,"(+/- 3368 )",42161,"(+/- 2708 )",66892,"(+/- 4816 )",56736,"(+/- 3636 )",41498,"(+/- 4319 )",58893,"(+/- 4291 )"
Workers,Industry,"Wholesale trade",6420,"(+/- 1494 )",9721,"(+/- 1811 )",6605,"(+/- 1711 )",8796,"(+/- 1465 )",8779,"(+/- 1903 )",9378,"(+/- 1514 )",7604,"(+/- 1561 )",6060,"(+/- 1511 )",8730,"(+/- 1641 )",9281,"(+/- 1720 )",7898,"(+/- 1672 )",11388,"(+/- 2078 )",12705,"(+/- 2183 )"
Workers,Industry,"Retail trade",37125,"(+/- 3522 )",44615,"(+/- 4407 )",38034,"(+/- 3278 )",42424,"(+/- 3427 )",40465,"(+/- 3454 )",39970,"(+/- 3558 )",45436,"(+/- 5083 )",43182,"(+/- 3975 )",40408,"(+/- 3687 )",42616,"(+/- 3722 )",40577,"(+/- 3952 )",48501,"(+/- 3804 )",49550,"(+/- 4699 )"
Workers,Industry,"Transportation and warehousing, and utilities",13249,"(+/- 2311 )",19813,"(+/- 2743 )",11688,"(+/- 1928 )",18205,"(+/- 3172 )",14726,"(+/- 2202 )",18816,"(+/- 2222 )",14757,"(+/- 2201 )",15815,"(+/- 2228 )",13734,"(+/- 1749 )",21897,"(+/- 2729 )",10231,"(+/- 1761 )",31543,"(+/- 3508 )",23981,"(+/- 2614 )"
Workers,Industry,Information,6409,"(+/- 1671 )",8721,"(+/- 1603 )",3871,"(+/- 1189 )",12199,"(+/- 1936 )",6410,"(+/- 1689 )",4576,"(+/- 1078 )",5619,"(+/- 1403 )",4045,"(+/- 1203 )",6256,"(+/- 1415 )",4333,"(+/- 1258 )",4512,"(+/- 1142 )",13242,"(+/- 2227 )",4171,"(+/- 926 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15993,"(+/- 2627 )",25302,"(+/- 2613 )",14276,"(+/- 2313 )",35676,"(+/- 3916 )",17074,"(+/- 2397 )",21298,"(+/- 2932 )",18465,"(+/- 2262 )",19544,"(+/- 2363 )",35574,"(+/- 2912 )",16681,"(+/- 2206 )",11915,"(+/- 1967 )",62659,"(+/- 4331 )",18439,"(+/- 1888 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",33928,"(+/- 3289 )",58992,"(+/- 3891 )",25837,"(+/- 2484 )",94702,"(+/- 4361 )",31169,"(+/- 3057 )",32217,"(+/- 3396 )",32795,"(+/- 3044 )",31177,"(+/- 2829 )",37393,"(+/- 3127 )",30145,"(+/- 2658 )",26038,"(+/- 2921 )",71680,"(+/- 5401 )",35863,"(+/- 3212 )"
Workers,Industry,"Educational services, and health care and social assistance",98296,"(+/- 5712 )",87980,"(+/- 5036 )",70349,"(+/- 4770 )",114813,"(+/- 4732 )",86585,"(+/- 4227 )",81498,"(+/- 4087 )",80358,"(+/- 4914 )",83096,"(+/- 4601 )",81671,"(+/- 4278 )",74739,"(+/- 4436 )",80581,"(+/- 4921 )",79744,"(+/- 5180 )",82741,"(+/- 5031 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",35512,"(+/- 3252 )",33975,"(+/- 3744 )",33513,"(+/- 3914 )",47032,"(+/- 4656 )",34614,"(+/- 3950 )",30253,"(+/- 3387 )",38811,"(+/- 4560 )",34889,"(+/- 3352 )",31133,"(+/- 3358 )",35643,"(+/- 3578 )",38793,"(+/- 3251 )",52145,"(+/- 5089 )",30663,"(+/- 3295 )"
Workers,Industry,"Other services, except public administration",16263,"(+/- 2455 )",21550,"(+/- 3258 )",18208,"(+/- 2925 )",21675,"(+/- 2760 )",17860,"(+/- 2203 )",16027,"(+/- 2440 )",18626,"(+/- 2994 )",20366,"(+/- 2556 )",16399,"(+/- 1786 )",19566,"(+/- 2517 )",20305,"(+/- 2649 )",21433,"(+/- 2821 )",21076,"(+/- 2768 )"
Workers,Industry,"Public administration",16620,"(+/- 2263 )",22122,"(+/- 2560 )",26718,"(+/- 3599 )",21056,"(+/- 3252 )",11190,"(+/- 2033 )",12768,"(+/- 1986 )",16965,"(+/- 2921 )",21812,"(+/- 2371 )",11146,"(+/- 1838 )",11079,"(+/- 1999 )",16388,"(+/- 2436 )",10417,"(+/- 2080 )",11082,"(+/- 1833 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",346793,"(+/- 6556 )",413152,"(+/- 9175 )",304008,"(+/- 8105 )",478778,"(+/- 9044 )",348038,"(+/- 6311 )",358524,"(+/- 7853 )",355069,"(+/- 7570 )",343971,"(+/- 6732 )",357856,"(+/- 7279 )",361617,"(+/- 6701 )",349056,"(+/- 6568 )",479882,"(+/- 7172 )",374094,"(+/- 7441 )"
Workers,"Class of Worker","Private wage and salary workers",271243,"(+/- 6248 )",333585,"(+/- 9162 )",217253,"(+/- 6870 )",378469,"(+/- 10420 )",284478,"(+/- 6668 )",291058,"(+/- 7875 )",276967,"(+/- 7077 )",268079,"(+/- 6527 )",297773,"(+/- 7162 )",300956,"(+/- 6784 )",272872,"(+/- 5763 )",419648,"(+/- 7495 )",308781,"(+/- 7772 )"
Workers,"Class of Worker","Government workers",58893,"(+/- 4476 )",59106,"(+/- 5024 )",66761,"(+/- 5126 )",75636,"(+/- 5629 )",41445,"(+/- 3419 )",50216,"(+/- 3932 )",54192,"(+/- 4431 )",58725,"(+/- 4284 )",43086,"(+/- 2952 )",39197,"(+/- 3448 )",49200,"(+/- 3629 )",41135,"(+/- 3660 )",42169,"(+/- 3196 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",16401,"(+/- 2769 )",19674,"(+/- 2679 )",19550,"(+/- 2472 )",23532,"(+/- 2677 )",21492,"(+/- 2828 )",16436,"(+/- 2182 )",23219,"(+/- 2697 )",15896,"(+/- 1752 )",16427,"(+/- 1899 )",20836,"(+/- 2632 )",26411,"(+/- 2569 )",18478,"(+/- 3004 )",22459,"(+/- 2065 )"
Workers,"Class of Worker","Unpaid family workers",256,"(+/- 213 )",787,"(+/- 438 )",444,"(+/- 295 )",1141,"(+/- 557 )",623,"(+/- 336 )",814,"(+/- 463 )",691,"(+/- 408 )",1271,"(+/- 899 )",570,"(+/- 366 )",628,"(+/- 304 )",573,"(+/- 449 )",621,"(+/- 388 )",685,"(+/- 353 )"
Housing,"Housing Occupancy","Total housing units",347743,"(+/- 4352 )",332596,"(+/- 4022 )",386670,"(+/- 3173 )",373434,"(+/- 4019 )",369586,"(+/- 1606 )",340225,"(+/- 2822 )",401064,"(+/- 2512 )",345666,"(+/- 2400 )",319889,"(+/- 3342 )",349731,"(+/- 2890 )",405135,"(+/- 2850 )",368331,"(+/- 2859 )",344892,"(+/- 3454 )"
Housing,"Housing Occupancy","Occupied housing units",294568,"(+/- 4699 )",305705,"(+/- 4702 )",293837,"(+/- 5993 )",341534,"(+/- 4672 )",307844,"(+/- 4691 )",300648,"(+/- 4461 )",319287,"(+/- 5385 )",298551,"(+/- 4011 )",285092,"(+/- 3959 )",301589,"(+/- 4071 )",314271,"(+/- 4743 )",337331,"(+/- 4216 )",311205,"(+/- 4148 )"
Housing,"Housing Occupancy","Vacant housing units",53175,"(+/- 4116 )",26891,"(+/- 3297 )",92833,"(+/- 5137 )",31900,"(+/- 3592 )",61742,"(+/- 4517 )",39577,"(+/- 4036 )",81777,"(+/- 4664 )",47115,"(+/- 3989 )",34797,"(+/- 2794 )",48142,"(+/- 4230 )",90864,"(+/- 4537 )",31000,"(+/- 3926 )",33687,"(+/- 3624 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,"(+/- 0.5 )",1.3,"(+/- 0.5 )",2.2,"(+/- 0.7 )",0.9,"(+/- 0.4 )",2.0,"(+/- 0.7 )",1.1,"(+/- 0.4 )",1.6,"(+/- 0.6 )",2.3,"(+/- 0.7 )",1.4,"(+/- 0.5 )",1.4,"(+/- 0.5 )",1.6,"(+/- 0.6 )",1.5,"(+/- 0.5 )",1.8,"(+/- 0.6 )"
