Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.3,"(+/- 0.6 )",1.6,"(+/- 0.5 )",1.7,"(+/- 0.6 )",2.0,"(+/- 0.6 )",1.9,"(+/- 0.6 )",1.9,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",8.0,"(+/- 1.8 )",7.8,"(+/- 1.1 )",8.6,"(+/- 2.0 )",10.0,"(+/- 1.5 )",7.5,"(+/- 1.5 )",10.7,"(+/- 2.3 )"
Housing,"Housing Tenure","Occupied housing units",300739,"(+/- 4306 )",296535,"(+/- 4558 )",297581,"(+/- 4065 )",286839,"(+/- 4184 )",262611,"(+/- 4678 )",292915,"(+/- 5689 )"
Housing,"Housing Tenure",Owner-occupied,211862,"(+/- 5853 )",159637,"(+/- 3856 )",203374,"(+/- 4909 )",178699,"(+/- 4805 )",170585,"(+/- 5079 )",213367,"(+/- 5542 )"
Housing,"Housing Tenure",Renter-occupied,88877,"(+/- 5159 )",136898,"(+/- 5080 )",94207,"(+/- 4971 )",108140,"(+/- 4389 )",92026,"(+/- 4406 )",79548,"(+/- 4970 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.75,"(+/- 0.06 )",2.72,"(+/- 0.06 )",2.66,"(+/- 0.05 )",2.52,"(+/- 0.05 )",2.64,"(+/- 0.07 )",2.74,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.38,"(+/- 0.09 )",2.46,"(+/- 0.09 )",2.44,"(+/- 0.09 )",2.54,"(+/- 0.09 )",2.63,"(+/- 0.10 )",2.45,"(+/- 0.12 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",300739,"(+/- 4306 )",296535,"(+/- 4558 )",297581,"(+/- 4065 )",286839,"(+/- 4184 )",262611,"(+/- 4678 )",292915,"(+/- 5689 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",49430,"(+/- 3829 )",56626,"(+/- 3752 )",54179,"(+/- 4353 )",50379,"(+/- 3712 )",41180,"(+/- 3104 )",52415,"(+/- 4568 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",45183,"(+/- 3930 )",48714,"(+/- 3150 )",49504,"(+/- 4176 )",45275,"(+/- 3539 )",41338,"(+/- 2931 )",54847,"(+/- 4546 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",56405,"(+/- 3414 )",53443,"(+/- 3012 )",52251,"(+/- 4176 )",47901,"(+/- 3877 )",44912,"(+/- 2995 )",48230,"(+/- 4641 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",71555,"(+/- 3974 )",57263,"(+/- 3439 )",64838,"(+/- 3661 )",63940,"(+/- 3633 )",57752,"(+/- 4075 )",64618,"(+/- 4367 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",37784,"(+/- 2829 )",31546,"(+/- 2676 )",32663,"(+/- 2226 )",37090,"(+/- 2497 )",34945,"(+/- 2693 )",35512,"(+/- 3195 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",40382,"(+/- 2857 )",48943,"(+/- 2583 )",44146,"(+/- 2904 )",42254,"(+/- 2907 )",42484,"(+/- 2551 )",37293,"(+/- 2968 )"
Housing,Value,"Owner-occupied units",211862,"(+/- 5853 )",159637,"(+/- 3856 )",203374,"(+/- 4909 )",178699,"(+/- 4805 )",170585,"(+/- 5079 )",213367,"(+/- 5542 )"
Housing,Value,"Less than $50,000",12825,"(+/- 2135 )",9119,"(+/- 1533 )",27469,"(+/- 2860 )",32836,"(+/- 2931 )",29603,"(+/- 2750 )",16375,"(+/- 2632 )"
Housing,Value,"$50,000 to $99,999",18354,"(+/- 2290 )",23999,"(+/- 2298 )",33935,"(+/- 3239 )",37677,"(+/- 2890 )",38959,"(+/- 3006 )",18768,"(+/- 2475 )"
Housing,Value,"$100,000 to $149,999",26888,"(+/- 2476 )",33544,"(+/- 2562 )",32634,"(+/- 2929 )",30205,"(+/- 2564 )",28046,"(+/- 2625 )",30909,"(+/- 2926 )"
Housing,Value,"$150,000 to $199,999",41500,"(+/- 3299 )",33448,"(+/- 2475 )",37802,"(+/- 2557 )",30122,"(+/- 2484 )",27252,"(+/- 2665 )",43127,"(+/- 3128 )"
Housing,Value,"$200,000 to $299,999",56042,"(+/- 3377 )",30426,"(+/- 2095 )",41860,"(+/- 3354 )",27405,"(+/- 2648 )",27043,"(+/- 2357 )",53406,"(+/- 3111 )"
Housing,Value,"$300,000 to $499,999",40544,"(+/- 2299 )",20174,"(+/- 1736 )",21524,"(+/- 2091 )",15590,"(+/- 1862 )",14068,"(+/- 1990 )",37359,"(+/- 3310 )"
Housing,Value,"$500,000 to $999,999",12891,"(+/- 1556 )",6785,"(+/- 1135 )",6136,"(+/- 1301 )",4365,"(+/- 1207 )",4409,"(+/- 1104 )",10990,"(+/- 1908 )"
Housing,Value,"$1,000,000 or more",2818,"(+/- 639 )",2142,"(+/- 478 )",2014,"(+/- 862 )",499,"(+/- 328 )",1205,"(+/- 615 )",2433,"(+/- 1067 )"
Housing,Value,"Median (dollars)",211000,"(+/- 5375 )",165800,"(+/- 3025 )",159500,"(+/- 4105 )",131100,"(+/- 5340 )",123700,"(+/- 5034 )",196600,"(+/- 5446 )"
Housing,"Mortgage Status","Owner-occupied units",211862,"(+/- 5853 )",159637,"(+/- 3856 )",203374,"(+/- 4909 )",178699,"(+/- 4805 )",170585,"(+/- 5079 )",213367,"(+/- 5542 )"
Housing,"Mortgage Status","Housing units with a mortgage",121040,"(+/- 4646 )",79459,"(+/- 4014 )",102397,"(+/- 4343 )",85759,"(+/- 4647 )",76787,"(+/- 4515 )",128291,"(+/- 5002 )"
Housing,"Mortgage Status","Housing units without a mortgage",90822,"(+/- 4206 )",80178,"(+/- 3271 )",100977,"(+/- 4215 )",92940,"(+/- 3807 )",93798,"(+/- 4643 )",85076,"(+/- 4231 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",121040,"(+/- 4646 )",79459,"(+/- 4014 )",102397,"(+/- 4343 )",85759,"(+/- 4647 )",76787,"(+/- 4515 )",128291,"(+/- 5002 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2626,"(+/- 1165 )",1638,"(+/- 685 )",2073,"(+/- 806 )",3044,"(+/- 911 )",3075,"(+/- 850 )",2467,"(+/- 695 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",22377,"(+/- 2450 )",22136,"(+/- 2383 )",32599,"(+/- 3228 )",32094,"(+/- 2947 )",28988,"(+/- 3171 )",27649,"(+/- 3194 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",40381,"(+/- 3336 )",28400,"(+/- 2762 )",34959,"(+/- 3200 )",27845,"(+/- 2590 )",25488,"(+/- 2547 )",48139,"(+/- 3189 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",28965,"(+/- 2852 )",13020,"(+/- 1902 )",20226,"(+/- 2152 )",13164,"(+/- 1836 )",12304,"(+/- 1932 )",28636,"(+/- 2995 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",13294,"(+/- 1628 )",6990,"(+/- 1092 )",7361,"(+/- 1415 )",5489,"(+/- 1222 )",3764,"(+/- 1201 )",10968,"(+/- 1982 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6031,"(+/- 1190 )",3615,"(+/- 857 )",2728,"(+/- 1044 )",1915,"(+/- 842 )",1656,"(+/- 489 )",4454,"(+/- 1224 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7366,"(+/- 1475 )",3660,"(+/- 850 )",2451,"(+/- 872 )",2208,"(+/- 940 )",1512,"(+/- 593 )",5978,"(+/- 1276 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1436,"(+/- 36 )",1273,"(+/- 35 )",1202,"(+/- 30 )",1109,"(+/- 30 )",1100,"(+/- 38 )",1349,"(+/- 33 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",90822,"(+/- 4206 )",80178,"(+/- 3271 )",100977,"(+/- 4215 )",92940,"(+/- 3807 )",93798,"(+/- 4643 )",85076,"(+/- 4231 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",19432,"(+/- 2509 )",18205,"(+/- 2073 )",30257,"(+/- 2663 )",33521,"(+/- 2984 )",31245,"(+/- 2670 )",21137,"(+/- 2837 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",24429,"(+/- 2262 )",28279,"(+/- 2644 )",34535,"(+/- 2754 )",31777,"(+/- 2633 )",34846,"(+/- 3043 )",27555,"(+/- 2453 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22386,"(+/- 2215 )",18630,"(+/- 1881 )",24106,"(+/- 2772 )",18237,"(+/- 2138 )",18067,"(+/- 2080 )",22208,"(+/- 2450 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12988,"(+/- 1581 )",7588,"(+/- 1110 )",8283,"(+/- 1563 )",5552,"(+/- 1058 )",5352,"(+/- 1071 )",7809,"(+/- 1393 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5737,"(+/- 930 )",3222,"(+/- 707 )",1689,"(+/- 657 )",2173,"(+/- 915 )",1670,"(+/- 671 )",4966,"(+/- 1163 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5850,"(+/- 1071 )",4254,"(+/- 821 )",2107,"(+/- 847 )",1680,"(+/- 614 )",2618,"(+/- 1076 )",1401,"(+/- 531 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",413,"(+/- 16 )",363,"(+/- 12 )",335,"(+/- 12 )",307,"(+/- 11 )",305,"(+/- 11 )",363,"(+/- 16 )"
Housing,"Gross Rent","Occupied units paying rent",83372,"(+/- 5224 )",127948,"(+/- 4956 )",83881,"(+/- 4557 )",94810,"(+/- 4275 )",77997,"(+/- 4012 )",73260,"(+/- 4629 )"
Housing,"Gross Rent","Less than $500",4879,"(+/- 1345 )",16979,"(+/- 2006 )",14616,"(+/- 2572 )",17162,"(+/- 2095 )",17705,"(+/- 2286 )",5681,"(+/- 1490 )"
Housing,"Gross Rent","$500 to $999",42542,"(+/- 3561 )",58727,"(+/- 3696 )",47130,"(+/- 3662 )",57133,"(+/- 3648 )",47382,"(+/- 3520 )",36518,"(+/- 3373 )"
Housing,"Gross Rent","$1,000 to $1,499",27449,"(+/- 3204 )",41404,"(+/- 2721 )",17894,"(+/- 2526 )",17127,"(+/- 2041 )",10768,"(+/- 2121 )",22691,"(+/- 3059 )"
Housing,"Gross Rent","$1,500 to $1,999",5568,"(+/- 1068 )",7843,"(+/- 1321 )",3068,"(+/- 1007 )",2620,"(+/- 867 )",1032,"(+/- 559 )",5933,"(+/- 1403 )"
Housing,"Gross Rent","$2,000 to $2,499",2096,"(+/- 862 )",2274,"(+/- 744 )",904,"(+/- 751 )",642,"(+/- 418 )",867,"(+/- 569 )",2271,"(+/- 1168 )"
Housing,"Gross Rent","$2,500 to $2,999",343,"(+/- 204 )",330,"(+/- 208 )",211,"(+/- 336 )",116,"(+/- 127 )",49,"(+/- 84 )",31,"(+/- 60 )"
Housing,"Gross Rent","$3,000 or more",495,"(+/- 266 )",391,"(+/- 275 )",58,"(+/- 94 )",10,"(+/- 20 )",194,"(+/- 259 )",135,"(+/- 170 )"
Housing,"Gross Rent","Median (dollars)",947,"(+/- 23 )",924,"(+/- 17 )",792,"(+/- 25 )",764,"(+/- 17 )",720,"(+/- 22 )",946,"(+/- 24 )"
Housing,"Gross Rent","No rent paid",5505,"(+/- 1339 )",8950,"(+/- 1238 )",10326,"(+/- 1718 )",13330,"(+/- 1824 )",14029,"(+/- 1885 )",6288,"(+/- 1522 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",300739,"(+/- 4306 )",296535,"(+/- 4558 )",297581,"(+/- 4065 )",286839,"(+/- 4184 )",262611,"(+/- 4678 )",292915,"(+/- 5689 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",18197,"(+/- 2500 )",40475,"(+/- 3394 )",23572,"(+/- 3086 )",28276,"(+/- 2759 )",32311,"(+/- 2986 )",19629,"(+/- 2873 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",12757,"(+/- 2118 )",22488,"(+/- 2588 )",17310,"(+/- 2124 )",25238,"(+/- 2422 )",15904,"(+/- 1985 )",9323,"(+/- 1868 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",34515,"(+/- 3361 )",41999,"(+/- 3432 )",37552,"(+/- 3954 )",42190,"(+/- 3264 )",38737,"(+/- 2976 )",25223,"(+/- 2900 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",26147,"(+/- 2639 )",33164,"(+/- 3503 )",34698,"(+/- 2945 )",34920,"(+/- 3369 )",30470,"(+/- 3060 )",27538,"(+/- 3353 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",40933,"(+/- 3614 )",37127,"(+/- 3470 )",37971,"(+/- 3220 )",36119,"(+/- 2948 )",34326,"(+/- 3024 )",35424,"(+/- 3596 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",48111,"(+/- 3585 )",43943,"(+/- 3154 )",48871,"(+/- 3488 )",45453,"(+/- 2938 )",39463,"(+/- 3293 )",50345,"(+/- 4207 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",40438,"(+/- 3203 )",26992,"(+/- 2726 )",34687,"(+/- 3189 )",26402,"(+/- 2330 )",27656,"(+/- 2877 )",36036,"(+/- 3730 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",42921,"(+/- 2751 )",28857,"(+/- 2724 )",36747,"(+/- 2819 )",30635,"(+/- 2871 )",27623,"(+/- 2394 )",46736,"(+/- 3821 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",17470,"(+/- 2075 )",11518,"(+/- 1644 )",14619,"(+/- 1885 )",9890,"(+/- 1680 )",8861,"(+/- 1537 )",21165,"(+/- 2441 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",19250,"(+/- 2318 )",9972,"(+/- 1290 )",11554,"(+/- 1806 )",7716,"(+/- 1394 )",7260,"(+/- 1442 )",21496,"(+/- 2666 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",58256,"(+/- 2455 )",38131,"(+/- 2161 )",48837,"(+/- 2310 )",39485,"(+/- 1858 )",40321,"(+/- 1603 )",62288,"(+/- 2004 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",81664,"(+/- 2842 )",59016,"(+/- 1676 )",67866,"(+/- 2087 )",58510,"(+/- 1909 )",58958,"(+/- 2141 )",87867,"(+/- 3531 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",799564,"(+/- 9433 )",777112,"(+/- 10742 )",776107,"(+/- 2725 )",720690,"(+/- 4305 )",698408,"(+/- 6768 )",784197,"(+/- 10293 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",734055,"(+/- 10442 )",706050,"(+/- 12246 )",717390,"(+/- 6367 )",668451,"(+/- 5883 )",638234,"(+/- 8009 )",728536,"(+/- 10954 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",507251,"(+/- 12744 )",382836,"(+/- 12779 )",469762,"(+/- 13369 )",429989,"(+/- 10651 )",373938,"(+/- 11734 )",530691,"(+/- 12841 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",314527,"(+/- 11866 )",396629,"(+/- 13317 )",340873,"(+/- 11173 )",338301,"(+/- 10114 )",351338,"(+/- 10602 )",281761,"(+/- 12220 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",65509,"(+/- 6232 )",71062,"(+/- 5732 )",58717,"(+/- 5689 )",52239,"(+/- 4804 )",60174,"(+/- 4293 )",55661,"(+/- 6231 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",195197,"(+/- 5503 )",189703,"(+/- 6591 )",204602,"(+/- 2220 )",189864,"(+/- 3221 )",187454,"(+/- 4141 )",193674,"(+/- 6667 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",7437,"(+/- 1792 )",6997,"(+/- 1800 )",5828,"(+/- 1719 )",5756,"(+/- 1600 )",6515,"(+/- 1729 )",6671,"(+/- 2065 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",9.7,"(+/- 1.2 )",18.9,"(+/- 1.7 )",13.7,"(+/- 1.4 )",16.4,"(+/- 1.7 )",17.9,"(+/- 1.6 )",6.8,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",15.3,"(+/- 2.3 )",30.5,"(+/- 3.4 )",20.6,"(+/- 2.1 )",26.6,"(+/- 3.1 )",27.8,"(+/- 2.8 )",10.2,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",14.0,"(+/- 5.4 )",33.1,"(+/- 7.7 )",20.9,"(+/- 6.5 )",30.2,"(+/- 6.8 )",28.9,"(+/- 6.9 )",11.3,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.2,"(+/- 0.9 )",6.5,"(+/- 1.4 )",7.1,"(+/- 1.2 )",6.5,"(+/- 1.4 )",7.3,"(+/- 1.2 )",2.2,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.1,"(+/- 1.6 )",8.4,"(+/- 2.7 )",8.4,"(+/- 2.1 )",8.6,"(+/- 3.1 )",10.1,"(+/- 2.5 )",2.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.6,"(+/- 3.0 )",9.1,"(+/- 6.5 )",7.6,"(+/- 6.3 )",8.6,"(+/- 5.4 )",6.0,"(+/- 4.7 )",1.8,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",26.3,"(+/- 4.6 )",38.3,"(+/- 3.8 )",35.0,"(+/- 4.2 )",38.8,"(+/- 4.3 )",39.6,"(+/- 3.7 )",22.9,"(+/- 4.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.7,"(+/- 6.4 )",51.2,"(+/- 5.3 )",45.5,"(+/- 5.3 )",48.8,"(+/- 5.3 )",50.9,"(+/- 5.6 )",30.4,"(+/- 6.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",50.4,"(+/- 18.9 )",60.0,"(+/- 11.8 )",47.9,"(+/- 14.9 )",55.7,"(+/- 11.4 )",50.5,"(+/- 12.3 )",41.6,"(+/- 16.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",13.6,"(+/- 1.3 )",24.3,"(+/- 1.6 )",17.5,"(+/- 1.2 )",22.6,"(+/- 1.6 )",23.5,"(+/- 1.4 )",11.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",18.3,"(+/- 2.6 )",37.6,"(+/- 4.1 )",23.8,"(+/- 2.4 )",32.3,"(+/- 3.4 )",32.6,"(+/- 2.8 )",13.2,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.1,"(+/- 2.6 )",37.6,"(+/- 4.1 )",23.7,"(+/- 2.4 )",32.1,"(+/- 3.4 )",32.6,"(+/- 2.8 )",13.2,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",22.1,"(+/- 4.7 )",41.7,"(+/- 5.9 )",26.3,"(+/- 4.0 )",34.0,"(+/- 4.9 )",37.6,"(+/- 4.3 )",14.9,"(+/- 4.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",16.6,"(+/- 2.8 )",36.0,"(+/- 4.3 )",22.6,"(+/- 2.7 )",31.3,"(+/- 3.8 )",30.9,"(+/- 3.2 )",12.5,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",12.1,"(+/- 1.1 )",20.3,"(+/- 1.1 )",15.5,"(+/- 1.1 )",19.5,"(+/- 1.3 )",20.4,"(+/- 1.4 )",10.7,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.5,"(+/- 1.7 )",17.8,"(+/- 1.7 )",10.9,"(+/- 1.7 )",12.3,"(+/- 1.6 )",16.4,"(+/- 1.9 )",6.6,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.0,"(+/- 1.4 )",21.6,"(+/- 2.0 )",14.9,"(+/- 1.3 )",19.5,"(+/- 2.0 )",20.3,"(+/- 1.6 )",7.7,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.5,"(+/- 2.2 )",33.0,"(+/- 2.0 )",29.2,"(+/- 2.7 )",34.9,"(+/- 1.8 )",38.1,"(+/- 2.8 )",26.9,"(+/- 2.6 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",197088,"(+/- 5472 )",196881,"(+/- 7524 )",193867,"(+/- 5639 )",176959,"(+/- 4870 )",182240,"(+/- 4744 )",202767,"(+/- 7813 )"
Education,"School Enrollment","Nursery school, preschool",14344,"(+/- 1762 )",14680,"(+/- 2107 )",12009,"(+/- 1975 )",11421,"(+/- 2056 )",11498,"(+/- 2009 )",14325,"(+/- 1912 )"
Education,"School Enrollment",Kindergarten,11007,"(+/- 1795 )",7277,"(+/- 1558 )",7925,"(+/- 1834 )",10395,"(+/- 1992 )",8738,"(+/- 1569 )",10984,"(+/- 2153 )"
Education,"School Enrollment","Elementary school (grades 1-8)",84291,"(+/- 4382 )",83574,"(+/- 4449 )",85989,"(+/- 2996 )",79658,"(+/- 3781 )",81523,"(+/- 3354 )",81892,"(+/- 4834 )"
Education,"School Enrollment","High school (grades 9-12)",40390,"(+/- 2619 )",42119,"(+/- 3239 )",44371,"(+/- 2922 )",38767,"(+/- 2791 )",41337,"(+/- 2982 )",39752,"(+/- 3519 )"
Education,"School Enrollment","College or graduate school",47056,"(+/- 3478 )",49231,"(+/- 3432 )",43573,"(+/- 3908 )",36718,"(+/- 2788 )",39144,"(+/- 3469 )",55814,"(+/- 4711 )"
Education,"Educational Attainment","Population 25 years and over",555546,"(+/- 6638 )",544711,"(+/- 7041 )",519623,"(+/- 2877 )",493036,"(+/- 3756 )",492141,"(+/- 4603 )",520676,"(+/- 7074 )"
Education,"Educational Attainment","Less than 9th grade",27199,"(+/- 3380 )",24530,"(+/- 3153 )",28741,"(+/- 3321 )",20454,"(+/- 2344 )",25951,"(+/- 2445 )",19330,"(+/- 3108 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",38504,"(+/- 3375 )",62317,"(+/- 4920 )",51986,"(+/- 4436 )",49520,"(+/- 3885 )",58958,"(+/- 4448 )",35069,"(+/- 4382 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",166071,"(+/- 8143 )",171558,"(+/- 8252 )",189173,"(+/- 6863 )",186947,"(+/- 6641 )",194107,"(+/- 5857 )",163916,"(+/- 7585 )"
Education,"Educational Attainment","Some college, no degree",116411,"(+/- 6880 )",123818,"(+/- 5080 )",103912,"(+/- 5925 )",96207,"(+/- 4979 )",100089,"(+/- 5479 )",109238,"(+/- 6273 )"
Education,"Educational Attainment","Associate's degree",36409,"(+/- 3155 )",33324,"(+/- 3233 )",30495,"(+/- 3220 )",41581,"(+/- 3459 )",28113,"(+/- 3096 )",33152,"(+/- 3495 )"
Education,"Educational Attainment","Bachelor's degree",111625,"(+/- 5765 )",80912,"(+/- 4613 )",79682,"(+/- 4368 )",64928,"(+/- 4940 )",57200,"(+/- 4157 )",102287,"(+/- 5882 )"
Education,"Educational Attainment","Graduate or professional degree",59327,"(+/- 3782 )",48252,"(+/- 3654 )",35634,"(+/- 2966 )",33399,"(+/- 3358 )",27723,"(+/- 2625 )",57684,"(+/- 4053 )"
Education,"Educational Attainment","Percent high school graduate or higher",88.2,"(+/- 0.8 )",84.1,"(+/- 1.1 )",84.5,"(+/- 1.2 )",85.8,"(+/- 1.0 )",82.7,"(+/- 1.0 )",89.6,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",30.8,"(+/- 1.2 )",23.7,"(+/- 1.0 )",22.2,"(+/- 1.0 )",19.9,"(+/- 1.2 )",17.3,"(+/- 1.0 )",30.7,"(+/- 1.2 )"
