Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,Industry,"Transportation and warehousing, and utilities",21661,"(+/- 2981 )",16806,"(+/- 2120 )",15582,"(+/- 2194 )",21088,"(+/- 2080 )",15481,"(+/- 2259 )",28930,"(+/- 2905 )",22764,"(+/- 2282 )"
Workers,Industry,Information,18933,"(+/- 2260 )",10889,"(+/- 1530 )",5412,"(+/- 1396 )",10899,"(+/- 1351 )",10959,"(+/- 1919 )",15242,"(+/- 1837 )",9860,"(+/- 1515 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",39128,"(+/- 3606 )",24665,"(+/- 2637 )",19143,"(+/- 2500 )",30186,"(+/- 2674 )",28353,"(+/- 2877 )",40074,"(+/- 3084 )",27744,"(+/- 2766 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",90434,"(+/- 5630 )",72694,"(+/- 3652 )",31955,"(+/- 3345 )",52258,"(+/- 3686 )",50351,"(+/- 3970 )",61909,"(+/- 3820 )",60022,"(+/- 4111 )"
Workers,Industry,"Educational services, and health care and social assistance",99099,"(+/- 4386 )",101917,"(+/- 4772 )",80312,"(+/- 4148 )",82644,"(+/- 4183 )",85510,"(+/- 4620 )",92556,"(+/- 4957 )",84545,"(+/- 4777 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",48041,"(+/- 4125 )",54672,"(+/- 5106 )",44011,"(+/- 3784 )",35954,"(+/- 3139 )",40884,"(+/- 3627 )",44443,"(+/- 4455 )",43850,"(+/- 4551 )"
Workers,Industry,"Other services, except public administration",25136,"(+/- 3117 )",19690,"(+/- 2360 )",16066,"(+/- 1845 )",21441,"(+/- 2723 )",19995,"(+/- 2393 )",19578,"(+/- 2375 )",21385,"(+/- 2741 )"
Workers,Industry,"Public administration",18063,"(+/- 2198 )",16854,"(+/- 2124 )",20084,"(+/- 2410 )",20794,"(+/- 2081 )",22188,"(+/- 2673 )",21126,"(+/- 2558 )",22892,"(+/- 2640 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",491524,"(+/- 6800 )",445273,"(+/- 7137 )",353826,"(+/- 8000 )",424150,"(+/- 7121 )",377872,"(+/- 6737 )",452223,"(+/- 9267 )",437926,"(+/- 7287 )"
Workers,"Class of Worker","Private wage and salary workers",410382,"(+/- 7323 )",353753,"(+/- 6823 )",263699,"(+/- 7918 )",339379,"(+/- 7239 )",298817,"(+/- 5965 )",374586,"(+/- 8592 )",363343,"(+/- 7680 )"
Workers,"Class of Worker","Government workers",54621,"(+/- 3617 )",62200,"(+/- 3332 )",57939,"(+/- 4677 )",56376,"(+/- 3645 )",56965,"(+/- 4044 )",53043,"(+/- 3674 )",55301,"(+/- 3560 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25625,"(+/- 3115 )",27890,"(+/- 2363 )",30798,"(+/- 2817 )",27312,"(+/- 2271 )",21253,"(+/- 2515 )",23444,"(+/- 2426 )",18849,"(+/- 2617 )"
Workers,"Class of Worker","Unpaid family workers",896,"(+/- 537 )",1430,"(+/- 686 )",1390,"(+/- 528 )",1083,"(+/- 502 )",837,"(+/- 436 )",1150,"(+/- 455 )",433,"(+/- 249 )"
Housing,"Housing Occupancy","Total housing units",383206,"(+/- 2443 )",384260,"(+/- 2998 )",375217,"(+/- 2492 )",326860,"(+/- 3146 )",331065,"(+/- 2150 )",312057,"(+/- 3206 )",311463,"(+/- 2765 )"
Housing,"Housing Occupancy","Occupied housing units",360309,"(+/- 3897 )",318851,"(+/- 3881 )",291169,"(+/- 4173 )",305869,"(+/- 4052 )",302267,"(+/- 3670 )",298909,"(+/- 3287 )",299383,"(+/- 3250 )"
Housing,"Housing Occupancy","Vacant housing units",22897,"(+/- 2870 )",65409,"(+/- 3171 )",84048,"(+/- 4346 )",20991,"(+/- 2557 )",28798,"(+/- 3286 )",13148,"(+/- 1900 )",12080,"(+/- 2033 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,"(+/- 0.4 )",0.6,"(+/- 0.4 )",2.4,"(+/- 0.7 )",0.7,"(+/- 0.3 )",1.1,"(+/- 0.4 )",0.8,"(+/- 0.4 )",0.8,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.2,"(+/- 1.2 )",4.3,"(+/- 1.1 )",8.9,"(+/- 1.9 )",4.9,"(+/- 1.3 )",4.0,"(+/- 1.4 )",4.7,"(+/- 1.4 )",5.3,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",360309,"(+/- 3897 )",318851,"(+/- 3881 )",291169,"(+/- 4173 )",305869,"(+/- 4052 )",302267,"(+/- 3670 )",298909,"(+/- 3287 )",299383,"(+/- 3250 )"
Housing,"Housing Tenure",Owner-occupied,186497,"(+/- 4853 )",211808,"(+/- 3960 )",202147,"(+/- 4858 )",225127,"(+/- 3589 )",202405,"(+/- 4372 )",198382,"(+/- 4209 )",191615,"(+/- 4932 )"
Housing,"Housing Tenure",Renter-occupied,173812,"(+/- 4645 )",107043,"(+/- 3702 )",89022,"(+/- 3694 )",80742,"(+/- 3793 )",99862,"(+/- 4305 )",100527,"(+/- 4292 )",107768,"(+/- 4742 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.53,"(+/- 0.04 )",2.56,"(+/- 0.04 )",2.58,"(+/- 0.04 )",2.73,"(+/- 0.04 )",2.68,"(+/- 0.04 )",2.89,"(+/- 0.04 )",2.70,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.03,"(+/- 0.05 )",2.31,"(+/- 0.06 )",2.42,"(+/- 0.09 )",2.52,"(+/- 0.10 )",2.42,"(+/- 0.07 )",2.55,"(+/- 0.07 )",2.54,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",360309,"(+/- 3897 )",318851,"(+/- 3881 )",291169,"(+/- 4173 )",305869,"(+/- 4052 )",302267,"(+/- 3670 )",298909,"(+/- 3287 )",299383,"(+/- 3250 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",99735,"(+/- 4501 )",75517,"(+/- 4139 )",55072,"(+/- 3926 )",64748,"(+/- 4084 )",74373,"(+/- 4085 )",64724,"(+/- 3978 )",64821,"(+/- 3688 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",70034,"(+/- 4178 )",60207,"(+/- 3494 )",51801,"(+/- 3573 )",55629,"(+/- 2986 )",59993,"(+/- 3376 )",53670,"(+/- 3587 )",57504,"(+/- 3887 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",74847,"(+/- 4045 )",60121,"(+/- 3413 )",57114,"(+/- 3534 )",65114,"(+/- 3708 )",56626,"(+/- 3675 )",64052,"(+/- 3829 )",61073,"(+/- 3281 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",61889,"(+/- 3882 )",64579,"(+/- 3345 )",67030,"(+/- 3143 )",66181,"(+/- 2740 )",57098,"(+/- 3047 )",66320,"(+/- 3901 )",56672,"(+/- 3065 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",27505,"(+/- 2275 )",36874,"(+/- 2824 )",31508,"(+/- 2574 )",30682,"(+/- 2279 )",30512,"(+/- 2360 )",31048,"(+/- 2327 )",29378,"(+/- 2398 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",26299,"(+/- 2065 )",21553,"(+/- 1708 )",28644,"(+/- 2172 )",23515,"(+/- 2124 )",23665,"(+/- 2144 )",19095,"(+/- 1721 )",29935,"(+/- 2060 )"
Housing,Value,"Owner-occupied units",186497,"(+/- 4853 )",211808,"(+/- 3960 )",202147,"(+/- 4858 )",225127,"(+/- 3589 )",202405,"(+/- 4372 )",198382,"(+/- 4209 )",191615,"(+/- 4932 )"
Housing,Value,"Less than $50,000",2285,"(+/- 833 )",7401,"(+/- 1426 )",12226,"(+/- 1750 )",10552,"(+/- 1379 )",7655,"(+/- 1480 )",3518,"(+/- 835 )",5417,"(+/- 1151 )"
Housing,Value,"$50,000 to $99,999",1723,"(+/- 746 )",2444,"(+/- 857 )",16557,"(+/- 1889 )",10409,"(+/- 1418 )",4338,"(+/- 1024 )",2796,"(+/- 763 )",2645,"(+/- 1121 )"
Housing,Value,"$100,000 to $149,999",3239,"(+/- 812 )",1638,"(+/- 606 )",18971,"(+/- 1983 )",10666,"(+/- 1416 )",11127,"(+/- 1776 )",3631,"(+/- 747 )",2040,"(+/- 682 )"
Housing,Value,"$150,000 to $199,999",7014,"(+/- 1315 )",4159,"(+/- 1054 )",29880,"(+/- 2479 )",12428,"(+/- 1583 )",22793,"(+/- 2217 )",5785,"(+/- 1197 )",6164,"(+/- 1059 )"
Housing,Value,"$200,000 to $299,999",26612,"(+/- 2411 )",18446,"(+/- 2018 )",44015,"(+/- 2658 )",37607,"(+/- 2601 )",63173,"(+/- 3032 )",29056,"(+/- 2458 )",32875,"(+/- 2666 )"
Housing,Value,"$300,000 to $499,999",74492,"(+/- 3558 )",84243,"(+/- 2762 )",46743,"(+/- 3304 )",81700,"(+/- 3405 )",67363,"(+/- 3540 )",96836,"(+/- 3373 )",100526,"(+/- 3793 )"
Housing,Value,"$500,000 to $999,999",59264,"(+/- 2837 )",75505,"(+/- 3226 )",25859,"(+/- 2535 )",55490,"(+/- 2645 )",22880,"(+/- 1793 )",51148,"(+/- 2503 )",38823,"(+/- 2583 )"
Housing,Value,"$1,000,000 or more",11868,"(+/- 1533 )",17972,"(+/- 2026 )",7896,"(+/- 1154 )",6275,"(+/- 1061 )",3076,"(+/- 814 )",5612,"(+/- 837 )",3125,"(+/- 659 )"
Housing,Value,"Median (dollars)",436000,"(+/- 7807 )",469100,"(+/- 6548 )",245200,"(+/- 5513 )",369400,"(+/- 6072 )",288000,"(+/- 4223 )",409300,"(+/- 5750 )",380100,"(+/- 5151 )"
Housing,"Mortgage Status","Owner-occupied units",186497,"(+/- 4853 )",211808,"(+/- 3960 )",202147,"(+/- 4858 )",225127,"(+/- 3589 )",202405,"(+/- 4372 )",198382,"(+/- 4209 )",191615,"(+/- 4932 )"
Housing,"Mortgage Status","Housing units with a mortgage",135288,"(+/- 4321 )",144283,"(+/- 4124 )",122308,"(+/- 4571 )",161001,"(+/- 3317 )",141724,"(+/- 3897 )",152693,"(+/- 3354 )",137059,"(+/- 5001 )"
Housing,"Mortgage Status","Housing units without a mortgage",51209,"(+/- 2731 )",67525,"(+/- 2997 )",79839,"(+/- 3807 )",64126,"(+/- 2499 )",60681,"(+/- 3070 )",45689,"(+/- 2481 )",54556,"(+/- 2542 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",135288,"(+/- 4321 )",144283,"(+/- 4124 )",122308,"(+/- 4571 )",161001,"(+/- 3317 )",141724,"(+/- 3897 )",152693,"(+/- 3354 )",137059,"(+/- 5001 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",418,"(+/- 329 )",1153,"(+/- 578 )",1497,"(+/- 511 )",1519,"(+/- 523 )",2087,"(+/- 852 )",708,"(+/- 307 )",1225,"(+/- 481 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",9870,"(+/- 1473 )",8129,"(+/- 1403 )",25578,"(+/- 2855 )",16503,"(+/- 1733 )",19155,"(+/- 2076 )",10193,"(+/- 1487 )",13044,"(+/- 1541 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",32059,"(+/- 2292 )",25956,"(+/- 2565 )",44014,"(+/- 3063 )",35950,"(+/- 2620 )",46699,"(+/- 3283 )",31228,"(+/- 2395 )",33444,"(+/- 2781 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",32598,"(+/- 2743 )",41264,"(+/- 2823 )",26737,"(+/- 2259 )",40730,"(+/- 2908 )",40089,"(+/- 2788 )",44040,"(+/- 2707 )",41804,"(+/- 2875 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",24821,"(+/- 2538 )",27831,"(+/- 2305 )",12456,"(+/- 1599 )",29217,"(+/- 2453 )",18169,"(+/- 2110 )",31105,"(+/- 2305 )",26996,"(+/- 2389 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",16023,"(+/- 1699 )",17407,"(+/- 1821 )",6318,"(+/- 1165 )",17962,"(+/- 1643 )",8774,"(+/- 1457 )",18425,"(+/- 1715 )",11927,"(+/- 1826 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",19499,"(+/- 2261 )",22543,"(+/- 2211 )",5708,"(+/- 1110 )",19120,"(+/- 1698 )",6751,"(+/- 1097 )",16994,"(+/- 1666 )",8619,"(+/- 1246 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1873,"(+/- 53 )",1949,"(+/- 31 )",1383,"(+/- 26 )",1823,"(+/- 31 )",1531,"(+/- 35 )",1891,"(+/- 26 )",1739,"(+/- 30 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",51209,"(+/- 2731 )",67525,"(+/- 2997 )",79839,"(+/- 3807 )",64126,"(+/- 2499 )",60681,"(+/- 3070 )",45689,"(+/- 2481 )",54556,"(+/- 2542 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3702,"(+/- 1104 )",4130,"(+/- 1114 )",15424,"(+/- 1961 )",7302,"(+/- 1110 )",7971,"(+/- 1548 )",3109,"(+/- 695 )",2438,"(+/- 641 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",11256,"(+/- 1348 )",12354,"(+/- 1491 )",26588,"(+/- 2051 )",18361,"(+/- 1653 )",19976,"(+/- 2106 )",7160,"(+/- 988 )",11967,"(+/- 1274 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18938,"(+/- 1934 )",23988,"(+/- 2092 )",24025,"(+/- 2095 )",20397,"(+/- 1777 )",19825,"(+/- 1990 )",18476,"(+/- 1569 )",23350,"(+/- 1782 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8721,"(+/- 1484 )",13906,"(+/- 1691 )",8209,"(+/- 1410 )",11519,"(+/- 1818 )",8970,"(+/- 1419 )",9757,"(+/- 1254 )",8818,"(+/- 1459 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3745,"(+/- 903 )",6899,"(+/- 1206 )",2813,"(+/- 745 )",3632,"(+/- 742 )",2066,"(+/- 636 )",4151,"(+/- 764 )",4671,"(+/- 985 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4847,"(+/- 984 )",6248,"(+/- 1244 )",2780,"(+/- 849 )",2915,"(+/- 684 )",1873,"(+/- 745 )",3036,"(+/- 611 )",3312,"(+/- 909 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",487,"(+/- 14 )",545,"(+/- 14 )",389,"(+/- 10 )",453,"(+/- 15 )",420,"(+/- 16 )",541,"(+/- 11 )",494,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",170913,"(+/- 4597 )",103786,"(+/- 3751 )",84170,"(+/- 3575 )",76215,"(+/- 3767 )",96335,"(+/- 4408 )",99005,"(+/- 4232 )",105308,"(+/- 4587 )"
Housing,"Gross Rent","Less than $500",14380,"(+/- 2181 )",3155,"(+/- 757 )",11970,"(+/- 1736 )",7678,"(+/- 1445 )",5151,"(+/- 1455 )",2993,"(+/- 1081 )",4349,"(+/- 1026 )"
Housing,"Gross Rent","$500 to $999",25659,"(+/- 2735 )",18028,"(+/- 1996 )",38556,"(+/- 3477 )",21889,"(+/- 2173 )",31735,"(+/- 2637 )",14329,"(+/- 1937 )",16235,"(+/- 2482 )"
Housing,"Gross Rent","$1,000 to $1,499",65946,"(+/- 4158 )",36279,"(+/- 3172 )",21805,"(+/- 1971 )",23330,"(+/- 2718 )",33023,"(+/- 2984 )",40124,"(+/- 2889 )",42631,"(+/- 3268 )"
Housing,"Gross Rent","$1,500 to $1,999",40107,"(+/- 3147 )",29628,"(+/- 3088 )",7375,"(+/- 1307 )",14423,"(+/- 1935 )",21374,"(+/- 2397 )",25246,"(+/- 2751 )",27595,"(+/- 3160 )"
Housing,"Gross Rent","$2,000 to $2,499",17123,"(+/- 2155 )",10384,"(+/- 1832 )",3097,"(+/- 960 )",5648,"(+/- 1345 )",3716,"(+/- 916 )",12841,"(+/- 1869 )",11541,"(+/- 1902 )"
Housing,"Gross Rent","$2,500 to $2,999",5395,"(+/- 1308 )",4312,"(+/- 1191 )",981,"(+/- 634 )",1815,"(+/- 733 )",969,"(+/- 737 )",2366,"(+/- 838 )",1585,"(+/- 743 )"
Housing,"Gross Rent","$3,000 or more",2303,"(+/- 696 )",2000,"(+/- 747 )",386,"(+/- 254 )",1432,"(+/- 761 )",367,"(+/- 240 )",1106,"(+/- 356 )",1372,"(+/- 519 )"
Housing,"Gross Rent","Median (dollars)",1337,"(+/- 22 )",1425,"(+/- 35 )",876,"(+/- 27 )",1203,"(+/- 46 )",1149,"(+/- 31 )",1412,"(+/- 26 )",1389,"(+/- 28 )"
Housing,"Gross Rent","No rent paid",2899,"(+/- 1014 )",3257,"(+/- 826 )",4852,"(+/- 917 )",4527,"(+/- 824 )",3527,"(+/- 1022 )",1522,"(+/- 522 )",2460,"(+/- 875 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",360309,"(+/- 3897 )",318851,"(+/- 3881 )",291169,"(+/- 4173 )",305869,"(+/- 4052 )",302267,"(+/- 3670 )",298909,"(+/- 3287 )",299383,"(+/- 3250 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",20855,"(+/- 2725 )",16106,"(+/- 2437 )",19471,"(+/- 2522 )",11978,"(+/- 1546 )",14309,"(+/- 2172 )",10482,"(+/- 1645 )",12385,"(+/- 1913 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",13169,"(+/- 1916 )",7738,"(+/- 1594 )",15623,"(+/- 2248 )",10247,"(+/- 1482 )",10239,"(+/- 1366 )",6251,"(+/- 1482 )",7659,"(+/- 1656 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",25469,"(+/- 2595 )",19208,"(+/- 2726 )",28528,"(+/- 2356 )",19802,"(+/- 2066 )",26963,"(+/- 2611 )",17468,"(+/- 1802 )",18613,"(+/- 2064 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",28622,"(+/- 3071 )",20326,"(+/- 2340 )",26841,"(+/- 2443 )",21588,"(+/- 2122 )",24552,"(+/- 2372 )",19276,"(+/- 2445 )",20878,"(+/- 2558 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",39603,"(+/- 2898 )",31655,"(+/- 3227 )",42018,"(+/- 3305 )",32468,"(+/- 2525 )",36818,"(+/- 3516 )",33604,"(+/- 3140 )",37467,"(+/- 2852 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",61486,"(+/- 4444 )",53179,"(+/- 3374 )",54149,"(+/- 3569 )",50515,"(+/- 3100 )",57516,"(+/- 3261 )",47661,"(+/- 3131 )",56690,"(+/- 3245 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",42581,"(+/- 2857 )",40722,"(+/- 2895 )",41268,"(+/- 2773 )",42686,"(+/- 3003 )",44163,"(+/- 3420 )",44072,"(+/- 3019 )",41597,"(+/- 2869 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",59819,"(+/- 3794 )",59316,"(+/- 3569 )",37701,"(+/- 2896 )",55965,"(+/- 3039 )",50126,"(+/- 3159 )",59584,"(+/- 3685 )",58740,"(+/- 2879 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",31450,"(+/- 3048 )",31493,"(+/- 2993 )",14713,"(+/- 1838 )",29537,"(+/- 2189 )",19057,"(+/- 2081 )",27620,"(+/- 2350 )",25631,"(+/- 2343 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",37255,"(+/- 3124 )",39108,"(+/- 2299 )",10857,"(+/- 1585 )",31083,"(+/- 2501 )",18524,"(+/- 1997 )",32891,"(+/- 2584 )",19723,"(+/- 1900 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",71198,"(+/- 2199 )",81753,"(+/- 1901 )",55215,"(+/- 1756 )",77737,"(+/- 2331 )",66062,"(+/- 1634 )",82450,"(+/- 2548 )",73244,"(+/- 1757 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",102297,"(+/- 3251 )",109749,"(+/- 2484 )",73799,"(+/- 2650 )",101094,"(+/- 2332 )",85106,"(+/- 2590 )",107250,"(+/- 3491 )",91516,"(+/- 2015 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",834440,"(+/- 5366 )",806793,"(+/- 6082 )",744771,"(+/- 4637 )",823936,"(+/- 6344 )",771597,"(+/- 3282 )",828497,"(+/- 7954 )",794071,"(+/- 7967 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",762831,"(+/- 6393 )",760225,"(+/- 7438 )",674915,"(+/- 7116 )",769015,"(+/- 7804 )",708968,"(+/- 6263 )",766725,"(+/- 10560 )",739782,"(+/- 10192 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",566701,"(+/- 10063 )",629000,"(+/- 7978 )",455601,"(+/- 10954 )",605309,"(+/- 10121 )",545942,"(+/- 10879 )",601891,"(+/- 11683 )",559826,"(+/- 13666 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",266032,"(+/- 8884 )",216328,"(+/- 8488 )",317090,"(+/- 8959 )",256307,"(+/- 7893 )",270980,"(+/- 10209 )",243182,"(+/- 10374 )",261775,"(+/- 11819 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",71609,"(+/- 5252 )",46568,"(+/- 5781 )",69856,"(+/- 5812 )",54921,"(+/- 5862 )",62629,"(+/- 6214 )",61772,"(+/- 6348 )",54289,"(+/- 6256 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172202,"(+/- 2811 )",172871,"(+/- 3677 )",174886,"(+/- 3986 )",219370,"(+/- 3982 )",198011,"(+/- 2171 )",217451,"(+/- 4384 )",190267,"(+/- 4603 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6967,"(+/- 1928 )",7339,"(+/- 2093 )",9197,"(+/- 1893 )",9757,"(+/- 2257 )",11093,"(+/- 2647 )",10219,"(+/- 2486 )",7660,"(+/- 1866 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.4,"(+/- 1.2 )",4.2,"(+/- 0.8 )",9.7,"(+/- 1.2 )",5.7,"(+/- 0.8 )",6.8,"(+/- 1.0 )",4.9,"(+/- 0.8 )",5.4,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.3,"(+/- 2.0 )",5.7,"(+/- 1.3 )",16.2,"(+/- 2.4 )",8.3,"(+/- 1.3 )",11.3,"(+/- 2.0 )",7.1,"(+/- 1.4 )",8.7,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.6,"(+/- 4.1 )",4.3,"(+/- 2.5 )",16.5,"(+/- 6.1 )",6.7,"(+/- 3.2 )",6.8,"(+/- 2.9 )",6.0,"(+/- 2.9 )",2.9,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.2,"(+/- 0.9 )",2.8,"(+/- 0.7 )",4.4,"(+/- 0.9 )",3.3,"(+/- 0.7 )",3.3,"(+/- 0.9 )",2.6,"(+/- 0.6 )",2.5,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.2,"(+/- 1.8 )",3.0,"(+/- 1.1 )",5.4,"(+/- 1.6 )",4.2,"(+/- 1.1 )",4.5,"(+/- 1.7 )",3.6,"(+/- 1.1 )",4.4,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.8,"(+/- 1.6 )",1.5,"(+/- 1.5 )",7.1,"(+/- 5.2 )",2.6,"(+/- 2.5 )",4.5,"(+/- 3.3 )",2.5,"(+/- 2.1 )",2.4,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",25.2,"(+/- 5.1 )",11.2,"(+/- 3.6 )",33.3,"(+/- 5.4 )",18.2,"(+/- 3.3 )",23.9,"(+/- 4.9 )",14.1,"(+/- 3.7 )",15.4,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.3,"(+/- 7.6 )",14.8,"(+/- 5.3 )",44.8,"(+/- 7.0 )",23.5,"(+/- 5.1 )",34.6,"(+/- 6.9 )",17.9,"(+/- 5.1 )",20.2,"(+/- 5.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",50.8,"(+/- 17.5 )",14.3,"(+/- 14.8 )",44.9,"(+/- 18.3 )",27.2,"(+/- 17.9 )",23.2,"(+/- 14.8 )",34.6,"(+/- 18.1 )",5.9,"(+/- 6.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.8,"(+/- 1.0 )",9.4,"(+/- 0.8 )",13.6,"(+/- 1.1 )",8.6,"(+/- 0.8 )",10.0,"(+/- 1.0 )",6.8,"(+/- 0.8 )",8.6,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.0,"(+/- 2.5 )",6.8,"(+/- 1.5 )",17.8,"(+/- 2.5 )",10.7,"(+/- 1.6 )",13.8,"(+/- 2.6 )",8.8,"(+/- 1.7 )",11.3,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",14.5,"(+/- 2.6 )",6.3,"(+/- 1.5 )",17.5,"(+/- 2.5 )",10.0,"(+/- 1.7 )",13.6,"(+/- 2.6 )",8.5,"(+/- 1.7 )",10.6,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.1,"(+/- 4.1 )",5.0,"(+/- 1.8 )",18.6,"(+/- 3.6 )",10.4,"(+/- 2.6 )",13.8,"(+/- 4.1 )",10.3,"(+/- 3.0 )",9.4,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.3,"(+/- 2.9 )",6.7,"(+/- 1.8 )",17.2,"(+/- 2.6 )",9.9,"(+/- 1.7 )",13.5,"(+/- 2.7 )",7.8,"(+/- 1.6 )",11.1,"(+/- 2.3 )"
