Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",100257,"(+/- 4854 )",96666,"(+/- 5150 )",91773,"(+/- 4624 )",73107,"(+/- 4842 )",58829,"(+/- 3726 )",74829,"(+/- 4712 )",56249,"(+/- 3716 )",63754,"(+/- 4711 )",72981,"(+/- 5300 )",83232,"(+/- 5501 )",64654,"(+/- 3621 )",65115,"(+/- 4888 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163066,"(+/- 2506 )",143856,"(+/- 2390 )",153967,"(+/- 3794 )",178214,"(+/- 5275 )",157962,"(+/- 5042 )",155504,"(+/- 5348 )",162647,"(+/- 5009 )",165167,"(+/- 6960 )",169365,"(+/- 5522 )",174869,"(+/- 6247 )",157945,"(+/- 5483 )",165472,"(+/- 6319 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7654,"(+/- 1627 )",6202,"(+/- 1822 )",5992,"(+/- 1269 )",3784,"(+/- 940 )",3344,"(+/- 1036 )",6611,"(+/- 1688 )",3574,"(+/- 1116 )",4872,"(+/- 1157 )",4868,"(+/- 1339 )",7764,"(+/- 1602 )",5068,"(+/- 1145 )",4330,"(+/- 1219 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",451240,"(+/- 5110 )",408873,"(+/- 6482 )",431252,"(+/- 6870 )",420922,"(+/- 6725 )",438179,"(+/- 7650 )",465187,"(+/- 8357 )",441882,"(+/- 8277 )",513480,"(+/- 9103 )",483246,"(+/- 8467 )",478212,"(+/- 9500 )",452639,"(+/- 8425 )",470070,"(+/- 8229 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53348,"(+/- 3949 )",48270,"(+/- 4501 )",41669,"(+/- 3549 )",28563,"(+/- 3275 )",23489,"(+/- 2529 )",36298,"(+/- 3171 )",22197,"(+/- 2573 )",34493,"(+/- 3533 )",30877,"(+/- 3605 )",42978,"(+/- 4035 )",26862,"(+/- 2158 )",28303,"(+/- 3616 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",110253,"(+/- 2225 )",132544,"(+/- 2640 )",139291,"(+/- 3344 )",144199,"(+/- 4352 )",126789,"(+/- 4092 )",102827,"(+/- 4271 )",117862,"(+/- 3916 )",80393,"(+/- 3895 )",110043,"(+/- 3932 )",96412,"(+/- 3953 )",126644,"(+/- 3468 )",113515,"(+/- 5024 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39255,"(+/- 2250 )",42194,"(+/- 2469 )",44112,"(+/- 2506 )",40760,"(+/- 2923 )",31996,"(+/- 2466 )",31920,"(+/- 2421 )",30478,"(+/- 2576 )",24389,"(+/- 2666 )",37236,"(+/- 3434 )",32490,"(+/- 3332 )",32724,"(+/- 2440 )",32482,"(+/- 2944 )"
People,"Residence 1 Year Ago","Population 1 year and over",722967,"(+/- 6319 )",697129,"(+/- 6390 )",736246,"(+/- 5291 )",741136,"(+/- 7078 )",725234,"(+/- 10558 )",723783,"(+/- 8546 )",724407,"(+/- 10586 )",753472,"(+/- 12096 )",754723,"(+/- 10998 )",750606,"(+/- 12270 )",736962,"(+/- 10456 )",749139,"(+/- 7919 )"
People,"Residence 1 Year Ago","Same house",629162,"(+/- 9304 )",619536,"(+/- 8766 )",660461,"(+/- 7521 )",669235,"(+/- 9223 )",665631,"(+/- 11891 )",640955,"(+/- 10576 )",662084,"(+/- 11303 )",657455,"(+/- 14595 )",677788,"(+/- 12888 )",661143,"(+/- 13426 )",661934,"(+/- 13352 )",665525,"(+/- 11997 )"
People,"Residence 1 Year Ago","Different house in the U.S.",88742,"(+/- 8051 )",75077,"(+/- 7373 )",72895,"(+/- 7105 )",69260,"(+/- 7458 )",56882,"(+/- 7448 )",76214,"(+/- 6807 )",57956,"(+/- 6183 )",86288,"(+/- 9172 )",69235,"(+/- 7249 )",82158,"(+/- 8388 )",69583,"(+/- 7497 )",78176,"(+/- 8741 )"
People,"Residence 1 Year Ago","Same county",52448,"(+/- 6106 )",41076,"(+/- 6285 )",38959,"(+/- 5099 )",37350,"(+/- 6016 )",33612,"(+/- 6065 )",45346,"(+/- 6062 )",24308,"(+/- 4200 )",52692,"(+/- 6676 )",47644,"(+/- 6434 )",46450,"(+/- 7273 )",29935,"(+/- 4665 )",36150,"(+/- 6058 )"
People,"Residence 1 Year Ago","Different county",36294,"(+/- 5100 )",34001,"(+/- 4309 )",33936,"(+/- 4516 )",31910,"(+/- 4690 )",23270,"(+/- 4658 )",30868,"(+/- 4552 )",33648,"(+/- 4976 )",33596,"(+/- 4972 )",21591,"(+/- 3554 )",35708,"(+/- 5607 )",39648,"(+/- 5546 )",42026,"(+/- 5180 )"
People,"Residence 1 Year Ago","Same state",22958,"(+/- 4191 )",19789,"(+/- 3252 )",22003,"(+/- 3752 )",19042,"(+/- 3529 )",11713,"(+/- 3328 )",19853,"(+/- 3821 )",21541,"(+/- 3798 )",14490,"(+/- 2740 )",13915,"(+/- 2693 )",15022,"(+/- 3999 )",28627,"(+/- 4895 )",27697,"(+/- 4558 )"
People,"Residence 1 Year Ago","Different state",13336,"(+/- 3085 )",14212,"(+/- 2579 )",11933,"(+/- 2390 )",12868,"(+/- 3229 )",11557,"(+/- 3292 )",11015,"(+/- 2623 )",12107,"(+/- 3027 )",19106,"(+/- 3282 )",7676,"(+/- 2425 )",20686,"(+/- 4139 )",11021,"(+/- 2308 )",14329,"(+/- 2932 )"
People,"Residence 1 Year Ago",Abroad,5063,"(+/- 2681 )",2516,"(+/- 1309 )",2890,"(+/- 1167 )",2641,"(+/- 1108 )",2721,"(+/- 1099 )",6614,"(+/- 2160 )",4367,"(+/- 1473 )",9729,"(+/- 2534 )",7700,"(+/- 2722 )",7305,"(+/- 2300 )",5445,"(+/- 1628 )",5438,"(+/- 1689 )"
Workers,"Employment Status","Population 16 years and over",586684,"(+/- 5634 )",576832,"(+/- 5700 )",606516,"(+/- 4826 )",591526,"(+/- 6868 )",592725,"(+/- 8662 )",593572,"(+/- 7484 )",589238,"(+/- 8379 )",615941,"(+/- 9399 )",615385,"(+/- 9741 )",601379,"(+/- 10105 )",605332,"(+/- 9182 )",608439,"(+/- 8206 )"
Workers,"Employment Status","In labor force",383994,"(+/- 6492 )",352069,"(+/- 8115 )",386811,"(+/- 7784 )",372345,"(+/- 7693 )",400028,"(+/- 8182 )",380718,"(+/- 8602 )",398504,"(+/- 8779 )",431434,"(+/- 9459 )",401312,"(+/- 9409 )",401281,"(+/- 8861 )",410998,"(+/- 8506 )",409715,"(+/- 8166 )"
Workers,"Employment Status","Civilian labor force",383274,"(+/- 6444 )",350465,"(+/- 8188 )",380752,"(+/- 7700 )",371654,"(+/- 7813 )",399975,"(+/- 8188 )",380568,"(+/- 8602 )",398236,"(+/- 8756 )",430875,"(+/- 9416 )",400894,"(+/- 9326 )",401011,"(+/- 8822 )",410882,"(+/- 8495 )",409620,"(+/- 8201 )"
Workers,"Employment Status",Employed,360493,"(+/- 6538 )",326174,"(+/- 7804 )",364452,"(+/- 7695 )",356604,"(+/- 7602 )",383502,"(+/- 8161 )",362544,"(+/- 8468 )",382795,"(+/- 8616 )",415610,"(+/- 9369 )",384265,"(+/- 9323 )",370262,"(+/- 9338 )",393530,"(+/- 8352 )",387592,"(+/- 8294 )"
Workers,"Employment Status",Unemployed,22781,"(+/- 2884 )",24291,"(+/- 3454 )",16300,"(+/- 2190 )",15050,"(+/- 1902 )",16473,"(+/- 2377 )",18024,"(+/- 2412 )",15441,"(+/- 2494 )",15265,"(+/- 2328 )",16629,"(+/- 2530 )",30749,"(+/- 2975 )",17352,"(+/- 1965 )",22028,"(+/- 3096 )"
Workers,"Employment Status","Armed Forces",720,"(+/- 450 )",1604,"(+/- 648 )",6059,"(+/- 1140 )",691,"(+/- 506 )",53,"(+/- 88 )",150,"(+/- 161 )",268,"(+/- 321 )",559,"(+/- 425 )",418,"(+/- 431 )",270,"(+/- 301 )",116,"(+/- 136 )",95,"(+/- 117 )"
Workers,"Employment Status","Not in labor force",202690,"(+/- 6138 )",224763,"(+/- 7637 )",219705,"(+/- 8507 )",219181,"(+/- 6289 )",192697,"(+/- 6644 )",212854,"(+/- 5718 )",190734,"(+/- 6013 )",184507,"(+/- 6629 )",214073,"(+/- 7524 )",200098,"(+/- 7118 )",194334,"(+/- 5667 )",198724,"(+/- 6972 )"
Workers,"Employment Status","Civilian labor force",383274,"(+/- 6444 )",350465,"(+/- 8188 )",380752,"(+/- 7700 )",371654,"(+/- 7813 )",399975,"(+/- 8188 )",380568,"(+/- 8602 )",398236,"(+/- 8756 )",430875,"(+/- 9416 )",400894,"(+/- 9326 )",401011,"(+/- 8822 )",410882,"(+/- 8495 )",409620,"(+/- 8201 )"
Workers,"Employment Status","Unemployment Rate",5.9,"(+/- 0.7 )",6.9,"(+/- 0.9 )",4.3,"(+/- 0.6 )",4.0,"(+/- 0.5 )",4.1,"(+/- 0.6 )",4.7,"(+/- 0.6 )",3.9,"(+/- 0.6 )",3.5,"(+/- 0.5 )",4.1,"(+/- 0.6 )",7.7,"(+/- 0.8 )",4.2,"(+/- 0.5 )",5.4,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",354670,"(+/- 6486 )",318758,"(+/- 7355 )",363702,"(+/- 8010 )",349528,"(+/- 7842 )",374125,"(+/- 8311 )",354054,"(+/- 8289 )",374365,"(+/- 8699 )",407602,"(+/- 9131 )",376490,"(+/- 9622 )",361221,"(+/- 9594 )",384915,"(+/- 8201 )",378097,"(+/- 8418 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",278634,"(+/- 6904 )",253532,"(+/- 6255 )",302225,"(+/- 7823 )",269843,"(+/- 7422 )",280792,"(+/- 8582 )",248040,"(+/- 7551 )",289529,"(+/- 8529 )",170071,"(+/- 7201 )",249140,"(+/- 8078 )",208584,"(+/- 9351 )",302118,"(+/- 8123 )",263269,"(+/- 8583 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27315,"(+/- 3393 )",32069,"(+/- 3162 )",25445,"(+/- 2948 )",28389,"(+/- 4138 )",24651,"(+/- 3205 )",36377,"(+/- 3771 )",26613,"(+/- 3242 )",32421,"(+/- 2792 )",41332,"(+/- 4109 )",26103,"(+/- 3113 )",20110,"(+/- 2930 )",39390,"(+/- 4505 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",21345,"(+/- 2965 )",9643,"(+/- 1775 )",9900,"(+/- 1725 )",19181,"(+/- 2236 )",37213,"(+/- 3248 )",40324,"(+/- 3157 )",25363,"(+/- 2702 )",140364,"(+/- 6533 )",55795,"(+/- 4329 )",93839,"(+/- 5432 )",26302,"(+/- 2464 )",35367,"(+/- 3616 )"
Workers,"Commuting to Work",Walked,5967,"(+/- 1279 )",7499,"(+/- 1800 )",2893,"(+/- 878 )",5913,"(+/- 2310 )",6549,"(+/- 1369 )",6789,"(+/- 1397 )",4701,"(+/- 1444 )",28862,"(+/- 2947 )",14155,"(+/- 2417 )",13507,"(+/- 2503 )",6018,"(+/- 1324 )",9813,"(+/- 1838 )"
Workers,"Commuting to Work","Other means",7313,"(+/- 1709 )",4253,"(+/- 1119 )",5691,"(+/- 1791 )",4954,"(+/- 1262 )",4020,"(+/- 1196 )",8649,"(+/- 1500 )",3691,"(+/- 1308 )",23041,"(+/- 3883 )",5979,"(+/- 1390 )",7986,"(+/- 1834 )",3813,"(+/- 965 )",9673,"(+/- 3309 )"
Workers,"Commuting to Work","Worked at home",14096,"(+/- 1714 )",11762,"(+/- 1738 )",17548,"(+/- 2414 )",21248,"(+/- 2517 )",20900,"(+/- 2478 )",13875,"(+/- 1776 )",24468,"(+/- 2616 )",12843,"(+/- 2209 )",10089,"(+/- 1868 )",11202,"(+/- 1857 )",26554,"(+/- 2475 )",20585,"(+/- 2944 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",28.9,"(+/- 0.6 )",26.1,"(+/- 0.8 )",30.9,"(+/- 0.7 )",33.3,"(+/- 0.9 )",34.7,"(+/- 0.9 )",35.2,"(+/- 1.0 )",33.6,"(+/- 0.8 )",34.5,"(+/- 0.8 )",31.0,"(+/- 0.8 )",34.8,"(+/- 0.8 )",32.0,"(+/- 0.6 )",33.4,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",360493,"(+/- 6538 )",326174,"(+/- 7804 )",364452,"(+/- 7695 )",356604,"(+/- 7602 )",383502,"(+/- 8161 )",362544,"(+/- 8468 )",382795,"(+/- 8616 )",415610,"(+/- 9369 )",384265,"(+/- 9323 )",370262,"(+/- 9338 )",393530,"(+/- 8352 )",387592,"(+/- 8294 )"
Workers,Occupation,"Management, business, science, and arts occupations",143247,"(+/- 5726 )",112738,"(+/- 5288 )",151435,"(+/- 4418 )",160001,"(+/- 6923 )",188031,"(+/- 6981 )",152112,"(+/- 5634 )",205206,"(+/- 6977 )",150960,"(+/- 6196 )",143578,"(+/- 6223 )",134938,"(+/- 6880 )",222456,"(+/- 6778 )",182554,"(+/- 7157 )"
Workers,Occupation,"Service occupations",60154,"(+/- 3983 )",72331,"(+/- 4976 )",58342,"(+/- 4092 )",57493,"(+/- 4577 )",46980,"(+/- 3954 )",52918,"(+/- 3799 )",49193,"(+/- 4192 )",73673,"(+/- 5244 )",64198,"(+/- 4368 )",76260,"(+/- 5452 )",44533,"(+/- 3933 )",54759,"(+/- 4441 )"
Workers,Occupation,"Sales and office occupations",86655,"(+/- 4137 )",69071,"(+/- 4486 )",91315,"(+/- 4442 )",84966,"(+/- 4161 )",93556,"(+/- 4718 )",79187,"(+/- 4705 )",81404,"(+/- 4783 )",79927,"(+/- 5108 )",79796,"(+/- 4405 )",76819,"(+/- 5976 )",82753,"(+/- 4531 )",83600,"(+/- 5453 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",25097,"(+/- 2779 )",31520,"(+/- 3011 )",28499,"(+/- 2465 )",24410,"(+/- 2857 )",25679,"(+/- 2561 )",26272,"(+/- 3193 )",23730,"(+/- 2777 )",41923,"(+/- 4825 )",29100,"(+/- 3286 )",23958,"(+/- 3069 )",18998,"(+/- 2219 )",24601,"(+/- 3955 )"
Workers,Occupation,"Production, transportation, and material moving occupations",45340,"(+/- 3407 )",40514,"(+/- 3856 )",34861,"(+/- 2926 )",29734,"(+/- 3400 )",29256,"(+/- 3134 )",52055,"(+/- 3688 )",23262,"(+/- 2628 )",69127,"(+/- 5948 )",67593,"(+/- 4126 )",58287,"(+/- 4928 )",24790,"(+/- 2456 )",42078,"(+/- 4170 )"
Workers,Industry,"Civilian employed population 16 years and over",360493,"(+/- 6538 )",326174,"(+/- 7804 )",364452,"(+/- 7695 )",356604,"(+/- 7602 )",383502,"(+/- 8161 )",362544,"(+/- 8468 )",382795,"(+/- 8616 )",415610,"(+/- 9369 )",384265,"(+/- 9323 )",370262,"(+/- 9338 )",393530,"(+/- 8352 )",387592,"(+/- 8294 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1809,"(+/- 945 )",3234,"(+/- 943 )",941,"(+/- 464 )",621,"(+/- 405 )",1307,"(+/- 549 )",1105,"(+/- 570 )",1796,"(+/- 699 )",944,"(+/- 621 )",451,"(+/- 317 )",624,"(+/- 475 )",694,"(+/- 426 )",1250,"(+/- 639 )"
Workers,Industry,Construction,19776,"(+/- 2366 )",23602,"(+/- 3029 )",24726,"(+/- 2686 )",21981,"(+/- 2849 )",21571,"(+/- 2402 )",21931,"(+/- 3066 )",20349,"(+/- 2563 )",37093,"(+/- 4713 )",24014,"(+/- 3017 )",16903,"(+/- 2742 )",19180,"(+/- 2201 )",20907,"(+/- 4002 )"
Workers,Industry,Manufacturing,25268,"(+/- 2347 )",22920,"(+/- 2850 )",24223,"(+/- 2499 )",20152,"(+/- 2293 )",31171,"(+/- 2781 )",25758,"(+/- 2831 )",41101,"(+/- 3185 )",31432,"(+/- 3629 )",44594,"(+/- 4121 )",21626,"(+/- 2655 )",35336,"(+/- 2725 )",35825,"(+/- 3476 )"
Workers,Industry,"Wholesale trade",12943,"(+/- 2132 )",9941,"(+/- 1748 )",11413,"(+/- 1796 )",11925,"(+/- 1904 )",13467,"(+/- 1763 )",12398,"(+/- 2048 )",13748,"(+/- 2017 )",14772,"(+/- 2381 )",17770,"(+/- 2431 )",8814,"(+/- 1948 )",12262,"(+/- 1813 )",12325,"(+/- 2509 )"
Workers,Industry,"Retail trade",44666,"(+/- 3394 )",40181,"(+/- 3685 )",46791,"(+/- 3621 )",38987,"(+/- 3691 )",46862,"(+/- 4076 )",41684,"(+/- 3603 )",38860,"(+/- 3393 )",42045,"(+/- 4293 )",40564,"(+/- 3745 )",39910,"(+/- 4445 )",34529,"(+/- 3533 )",38810,"(+/- 3662 )"
Workers,Industry,"Transportation and warehousing, and utilities",22507,"(+/- 2481 )",18479,"(+/- 2520 )",20407,"(+/- 2370 )",18139,"(+/- 2287 )",17135,"(+/- 2764 )",30189,"(+/- 2705 )",12925,"(+/- 2287 )",33695,"(+/- 3593 )",25597,"(+/- 3013 )",39614,"(+/- 4483 )",17221,"(+/- 2079 )",21906,"(+/- 3050 )"
Workers,Industry,Information,7476,"(+/- 1380 )",3205,"(+/- 965 )",7168,"(+/- 1375 )",9218,"(+/- 1540 )",10642,"(+/- 1732 )",9417,"(+/- 1542 )",13855,"(+/- 2107 )",12487,"(+/- 1828 )",8400,"(+/- 1634 )",10227,"(+/- 1900 )",13612,"(+/- 1964 )",9683,"(+/- 1532 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",25796,"(+/- 2717 )",16972,"(+/- 2227 )",25817,"(+/- 2714 )",32517,"(+/- 2896 )",35689,"(+/- 3517 )",31341,"(+/- 2850 )",39499,"(+/- 3223 )",40495,"(+/- 3056 )",28009,"(+/- 2679 )",25544,"(+/- 2711 )",39774,"(+/- 3199 )",32994,"(+/- 3198 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",40554,"(+/- 3493 )",27887,"(+/- 2829 )",38618,"(+/- 3022 )",45785,"(+/- 3880 )",52375,"(+/- 4236 )",58389,"(+/- 3451 )",57229,"(+/- 4197 )",63412,"(+/- 4506 )",42578,"(+/- 3573 )",48220,"(+/- 4299 )",67503,"(+/- 4301 )",63279,"(+/- 4551 )"
Workers,Industry,"Educational services, and health care and social assistance",97443,"(+/- 4682 )",80344,"(+/- 4968 )",91814,"(+/- 4233 )",96724,"(+/- 5146 )",98500,"(+/- 5161 )",75588,"(+/- 3800 )",87223,"(+/- 4993 )",69717,"(+/- 5221 )",90167,"(+/- 4727 )",96070,"(+/- 5583 )",99009,"(+/- 5207 )",91871,"(+/- 4765 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",29295,"(+/- 2563 )",47101,"(+/- 4032 )",29490,"(+/- 2647 )",29375,"(+/- 3464 )",24497,"(+/- 3176 )",25513,"(+/- 2635 )",27044,"(+/- 3083 )",36842,"(+/- 4089 )",28297,"(+/- 3259 )",29241,"(+/- 3887 )",25911,"(+/- 2854 )",24475,"(+/- 3354 )"
Workers,Industry,"Other services, except public administration",14696,"(+/- 1893 )",13156,"(+/- 1901 )",18232,"(+/- 2475 )",14188,"(+/- 2133 )",17904,"(+/- 2383 )",15863,"(+/- 2463 )",15530,"(+/- 2061 )",21593,"(+/- 2670 )",23147,"(+/- 2604 )",17072,"(+/- 2948 )",14712,"(+/- 2178 )",15454,"(+/- 2254 )"
Workers,Industry,"Public administration",18264,"(+/- 2088 )",19152,"(+/- 2068 )",24812,"(+/- 2572 )",16992,"(+/- 2244 )",12382,"(+/- 1775 )",13368,"(+/- 1629 )",13636,"(+/- 2222 )",11083,"(+/- 2364 )",10677,"(+/- 1769 )",16397,"(+/- 2395 )",13787,"(+/- 1649 )",18813,"(+/- 2438 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",360493,"(+/- 6538 )",326174,"(+/- 7804 )",364452,"(+/- 7695 )",356604,"(+/- 7602 )",383502,"(+/- 8161 )",362544,"(+/- 8468 )",382795,"(+/- 8616 )",415610,"(+/- 9369 )",384265,"(+/- 9323 )",370262,"(+/- 9338 )",393530,"(+/- 8352 )",387592,"(+/- 8294 )"
Workers,"Class of Worker","Private wage and salary workers",295864,"(+/- 6028 )",257404,"(+/- 7550 )",279881,"(+/- 7771 )",285228,"(+/- 7125 )",317706,"(+/- 7909 )",304985,"(+/- 7827 )",314550,"(+/- 8171 )",362403,"(+/- 9308 )",327473,"(+/- 9419 )",305186,"(+/- 8817 )",319333,"(+/- 7476 )",317794,"(+/- 8012 )"
Workers,"Class of Worker","Government workers",52682,"(+/- 3518 )",53654,"(+/- 3930 )",65247,"(+/- 4350 )",52709,"(+/- 4363 )",45927,"(+/- 3306 )",42181,"(+/- 3222 )",50210,"(+/- 4043 )",34728,"(+/- 3679 )",39026,"(+/- 3215 )",49395,"(+/- 4186 )",50700,"(+/- 3849 )",54007,"(+/- 4391 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",11724,"(+/- 1461 )",15006,"(+/- 2217 )",18487,"(+/- 2474 )",18100,"(+/- 2563 )",19386,"(+/- 2169 )",14966,"(+/- 2030 )",17673,"(+/- 1998 )",17997,"(+/- 2239 )",17186,"(+/- 2774 )",15403,"(+/- 3003 )",22753,"(+/- 2677 )",15326,"(+/- 2255 )"
Workers,"Class of Worker","Unpaid family workers",223,"(+/- 209 )",110,"(+/- 112 )",837,"(+/- 415 )",567,"(+/- 230 )",483,"(+/- 314 )",412,"(+/- 269 )",362,"(+/- 254 )",482,"(+/- 301 )",580,"(+/- 372 )",278,"(+/- 363 )",744,"(+/- 318 )",465,"(+/- 287 )"
Housing,"Housing Occupancy","Total housing units",296136,"(+/- 2572 )",389640,"(+/- 3105 )",319321,"(+/- 3678 )",305011,"(+/- 4468 )",281340,"(+/- 4132 )",269877,"(+/- 4139 )",279396,"(+/- 3816 )",309333,"(+/- 4641 )",291610,"(+/- 4187 )",306523,"(+/- 4770 )",286145,"(+/- 3763 )",293866,"(+/- 5691 )"
Housing,"Housing Occupancy","Occupied housing units",268996,"(+/- 3749 )",261689,"(+/- 4699 )",282262,"(+/- 4186 )",278958,"(+/- 4302 )",263762,"(+/- 4091 )",248676,"(+/- 4354 )",262845,"(+/- 4142 )",287023,"(+/- 4904 )",273966,"(+/- 4032 )",275644,"(+/- 5203 )",272269,"(+/- 4225 )",273477,"(+/- 4930 )"
Housing,"Housing Occupancy","Vacant housing units",27140,"(+/- 3066 )",127951,"(+/- 4412 )",37059,"(+/- 2801 )",26053,"(+/- 2854 )",17578,"(+/- 2477 )",21201,"(+/- 2893 )",16551,"(+/- 2273 )",22310,"(+/- 2276 )",17644,"(+/- 2649 )",30879,"(+/- 2733 )",13876,"(+/- 1993 )",20389,"(+/- 3543 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.1,"(+/- 0.4 )",2.8,"(+/- 0.8 )",1.9,"(+/- 0.6 )",0.7,"(+/- 0.4 )",1.6,"(+/- 0.5 )",0.9,"(+/- 0.6 )",1.8,"(+/- 0.5 )",2.8,"(+/- 1.0 )",2.0,"(+/- 0.8 )",2.5,"(+/- 0.8 )",1.0,"(+/- 0.4 )",1.4,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.3,"(+/- 1.6 )",12.0,"(+/- 2.0 )",6.3,"(+/- 2.1 )",4.0,"(+/- 1.4 )",3.8,"(+/- 1.4 )",3.7,"(+/- 1.2 )",3.4,"(+/- 1.4 )",3.3,"(+/- 0.6 )",3.4,"(+/- 1.0 )",4.3,"(+/- 0.8 )",3.0,"(+/- 1.3 )",2.7,"(+/- 0.9 )"
Housing,"Housing Tenure","Occupied housing units",268996,"(+/- 3749 )",261689,"(+/- 4699 )",282262,"(+/- 4186 )",278958,"(+/- 4302 )",263762,"(+/- 4091 )",248676,"(+/- 4354 )",262845,"(+/- 4142 )",287023,"(+/- 4904 )",273966,"(+/- 4032 )",275644,"(+/- 5203 )",272269,"(+/- 4225 )",273477,"(+/- 4930 )"
Housing,"Housing Tenure",Owner-occupied,184676,"(+/- 3668 )",192799,"(+/- 3718 )",224031,"(+/- 3972 )",211716,"(+/- 4644 )",200732,"(+/- 4713 )",153590,"(+/- 4170 )",202678,"(+/- 3791 )",85353,"(+/- 4065 )",130644,"(+/- 4821 )",106700,"(+/- 4688 )",207204,"(+/- 4775 )",178825,"(+/- 4257 )"
Housing,"Housing Tenure",Renter-occupied,84320,"(+/- 3650 )",68890,"(+/- 3758 )",58231,"(+/- 3593 )",67242,"(+/- 4311 )",63030,"(+/- 3522 )",95086,"(+/- 4219 )",60167,"(+/- 3156 )",201670,"(+/- 5531 )",143322,"(+/- 5175 )",168944,"(+/- 5240 )",65065,"(+/- 3768 )",94652,"(+/- 3979 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.82,"(+/- 0.05 )",2.64,"(+/- 0.05 )",2.62,"(+/- 0.04 )",2.73,"(+/- 0.05 )",2.89,"(+/- 0.05 )",2.91,"(+/- 0.06 )",2.87,"(+/- 0.05 )",2.84,"(+/- 0.09 )",2.94,"(+/- 0.06 )",3.10,"(+/- 0.10 )",2.84,"(+/- 0.05 )",2.76,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.37,"(+/- 0.09 )",2.48,"(+/- 0.12 )",2.41,"(+/- 0.10 )",2.44,"(+/- 0.11 )",2.18,"(+/- 0.07 )",2.67,"(+/- 0.09 )",2.30,"(+/- 0.09 )",2.55,"(+/- 0.06 )",2.63,"(+/- 0.07 )",2.41,"(+/- 0.06 )",2.14,"(+/- 0.08 )",2.56,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",268996,"(+/- 3749 )",261689,"(+/- 4699 )",282262,"(+/- 4186 )",278958,"(+/- 4302 )",263762,"(+/- 4091 )",248676,"(+/- 4354 )",262845,"(+/- 4142 )",287023,"(+/- 4904 )",273966,"(+/- 4032 )",275644,"(+/- 5203 )",272269,"(+/- 4225 )",273477,"(+/- 4930 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",44411,"(+/- 3634 )",33840,"(+/- 2875 )",37214,"(+/- 2927 )",37035,"(+/- 3246 )",28595,"(+/- 2597 )",39128,"(+/- 3452 )",29703,"(+/- 2971 )",63318,"(+/- 4316 )",49892,"(+/- 3884 )",52411,"(+/- 3790 )",38813,"(+/- 2789 )",39787,"(+/- 2989 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",37404,"(+/- 3522 )",33929,"(+/- 3680 )",38995,"(+/- 2764 )",39154,"(+/- 3438 )",32482,"(+/- 2643 )",41559,"(+/- 3261 )",34352,"(+/- 2942 )",54144,"(+/- 4112 )",40390,"(+/- 3731 )",46616,"(+/- 3519 )",33844,"(+/- 2868 )",41671,"(+/- 3233 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",40154,"(+/- 3158 )",42241,"(+/- 3024 )",47604,"(+/- 3044 )",51761,"(+/- 3614 )",45353,"(+/- 3520 )",43205,"(+/- 3061 )",45953,"(+/- 2958 )",65720,"(+/- 4414 )",52852,"(+/- 3906 )",58160,"(+/- 3640 )",42751,"(+/- 3361 )",46323,"(+/- 3435 )"
