Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.6,"(+/- 0.8 )",2.2,"(+/- 0.5 )",4.5,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.5,"(+/- 1.6 )",3.1,"(+/- 0.9 )",5.8,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",0.5,"(+/- 0.6 )",1.4,"(+/- 1.8 )",7.5,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",20.6,"(+/- 4.2 )",22.4,"(+/- 4.3 )",30.9,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",27.7,"(+/- 5.5 )",29.4,"(+/- 6.2 )",36.6,"(+/- 4.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",39.0,"(+/- 14.7 )",19.3,"(+/- 11.3 )",52.9,"(+/- 14.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.8,"(+/- 0.9 )",10.2,"(+/- 1.0 )",12.1,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.9,"(+/- 1.9 )",11.6,"(+/- 1.9 )",15.6,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.4,"(+/- 1.9 )",10.9,"(+/- 1.9 )",15.3,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",14.1,"(+/- 3.1 )",11.8,"(+/- 3.0 )",22.4,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.5,"(+/- 2.0 )",10.6,"(+/- 2.1 )",12.7,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.5,"(+/- 0.8 )",9.7,"(+/- 0.8 )",11.0,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.2,"(+/- 1.2 )",7.0,"(+/- 1.4 )",9.2,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.1,"(+/- 1.1 )",6.8,"(+/- 1.0 )",9.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.2,"(+/- 1.7 )",22.7,"(+/- 1.9 )",22.8,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",180773,"(+/- 4669 )",184472,"(+/- 3816 )",140729,"(+/- 3595 )"
Education,"School Enrollment","Nursery school, preschool",13532,"(+/- 1562 )",12302,"(+/- 1488 )",11148,"(+/- 1280 )"
Education,"School Enrollment",Kindergarten,9548,"(+/- 1353 )",10142,"(+/- 1581 )",7839,"(+/- 1113 )"
Education,"School Enrollment","Elementary school (grades 1-8)",68554,"(+/- 2819 )",74099,"(+/- 1986 )",61097,"(+/- 2094 )"
Education,"School Enrollment","High school (grades 9-12)",33792,"(+/- 2024 )",39565,"(+/- 1772 )",32981,"(+/- 2016 )"
Education,"School Enrollment","College or graduate school",55347,"(+/- 3377 )",48364,"(+/- 3013 )",27664,"(+/- 1883 )"
Education,"Educational Attainment","Population 25 years and over",419722,"(+/- 3008 )",440288,"(+/- 2179 )",406430,"(+/- 2553 )"
Education,"Educational Attainment","Less than 9th grade",13497,"(+/- 1906 )",17500,"(+/- 1835 )",16663,"(+/- 2154 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",17157,"(+/- 2058 )",20781,"(+/- 2051 )",22748,"(+/- 2110 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",109542,"(+/- 4608 )",90188,"(+/- 4088 )",126670,"(+/- 3911 )"
Education,"Educational Attainment","Some college, no degree",89609,"(+/- 3852 )",94646,"(+/- 3996 )",99063,"(+/- 4086 )"
Education,"Educational Attainment","Associate's degree",51833,"(+/- 3569 )",37528,"(+/- 2313 )",48285,"(+/- 2787 )"
Education,"Educational Attainment","Bachelor's degree",90429,"(+/- 4280 )",115350,"(+/- 3905 )",63896,"(+/- 2940 )"
Education,"Educational Attainment","Graduate or professional degree",47655,"(+/- 3165 )",64295,"(+/- 3751 )",29105,"(+/- 2143 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.7,"(+/- 0.6 )",91.3,"(+/- 0.6 )",90.3,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",32.9,"(+/- 1.2 )",40.8,"(+/- 1.1 )",22.9,"(+/- 1.0 )"
