Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.5 )",1.6,"(+/- 0.6 )",1.4,"(+/- 0.5 )",1.4,"(+/- 0.5 )",1.7,"(+/- 0.5 )",0.9,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.0,"(+/- 1.5 )",6.4,"(+/- 1.5 )",8.3,"(+/- 1.7 )",4.0,"(+/- 1.2 )",7.7,"(+/- 2.0 )",4.4,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",282020,"(+/- 4132 )",290818,"(+/- 3988 )",302502,"(+/- 3564 )",284807,"(+/- 3795 )",266607,"(+/- 4555 )",305959,"(+/- 4117 )"
Housing,"Housing Tenure",Owner-occupied,196616,"(+/- 4300 )",203927,"(+/- 4174 )",183606,"(+/- 4291 )",205943,"(+/- 4177 )",188841,"(+/- 5718 )",188796,"(+/- 4554 )"
Housing,"Housing Tenure",Renter-occupied,85404,"(+/- 3554 )",86891,"(+/- 3719 )",118896,"(+/- 4585 )",78864,"(+/- 4123 )",77766,"(+/- 4688 )",117163,"(+/- 3954 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.49,"(+/- 0.04 )",2.62,"(+/- 0.04 )",2.49,"(+/- 0.04 )",2.68,"(+/- 0.04 )",2.53,"(+/- 0.05 )",2.53,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.37,"(+/- 0.08 )",2.45,"(+/- 0.08 )",2.32,"(+/- 0.06 )",2.35,"(+/- 0.08 )",2.49,"(+/- 0.10 )",2.36,"(+/- 0.07 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",282020,"(+/- 4132 )",290818,"(+/- 3988 )",302502,"(+/- 3564 )",284807,"(+/- 3795 )",266607,"(+/- 4555 )",305959,"(+/- 4117 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",47765,"(+/- 3597 )",54491,"(+/- 3321 )",63562,"(+/- 3854 )",51150,"(+/- 3392 )",37850,"(+/- 3333 )",71447,"(+/- 4261 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",40181,"(+/- 3393 )",49260,"(+/- 3306 )",52552,"(+/- 3554 )",44825,"(+/- 3516 )",30720,"(+/- 3354 )",51433,"(+/- 3293 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",48996,"(+/- 3310 )",49736,"(+/- 3035 )",51828,"(+/- 3006 )",51347,"(+/- 3362 )",45588,"(+/- 3126 )",55078,"(+/- 3398 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",59532,"(+/- 3193 )",65952,"(+/- 3424 )",59112,"(+/- 3497 )",66777,"(+/- 3610 )",60903,"(+/- 3598 )",64243,"(+/- 2873 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",40410,"(+/- 2553 )",36382,"(+/- 3004 )",35503,"(+/- 2552 )",37334,"(+/- 2712 )",39502,"(+/- 2799 )",31627,"(+/- 2394 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",45136,"(+/- 2744 )",34997,"(+/- 3088 )",39945,"(+/- 2537 )",33374,"(+/- 2168 )",52044,"(+/- 2730 )",32131,"(+/- 2230 )"
Housing,Value,"Owner-occupied units",196616,"(+/- 4300 )",203927,"(+/- 4174 )",183606,"(+/- 4291 )",205943,"(+/- 4177 )",188841,"(+/- 5718 )",188796,"(+/- 4554 )"
Housing,Value,"Less than $50,000",31231,"(+/- 2284 )",20217,"(+/- 2007 )",7104,"(+/- 1348 )",14512,"(+/- 1695 )",52209,"(+/- 3118 )",12493,"(+/- 1779 )"
Housing,Value,"$50,000 to $99,999",53127,"(+/- 2946 )",36731,"(+/- 2524 )",21194,"(+/- 2002 )",30386,"(+/- 2169 )",55234,"(+/- 3892 )",28607,"(+/- 2250 )"
Housing,Value,"$100,000 to $149,999",38482,"(+/- 3179 )",41587,"(+/- 2872 )",39667,"(+/- 2801 )",37305,"(+/- 2430 )",32609,"(+/- 3057 )",39559,"(+/- 3179 )"
Housing,Value,"$150,000 to $199,999",30315,"(+/- 2825 )",40136,"(+/- 2908 )",37402,"(+/- 2286 )",38649,"(+/- 2887 )",23436,"(+/- 2056 )",36761,"(+/- 2471 )"
Housing,Value,"$200,000 to $299,999",26524,"(+/- 2531 )",38559,"(+/- 2405 )",39504,"(+/- 2616 )",41529,"(+/- 2593 )",16950,"(+/- 2048 )",36380,"(+/- 2596 )"
Housing,Value,"$300,000 to $499,999",11421,"(+/- 1717 )",20584,"(+/- 2430 )",27971,"(+/- 2040 )",30436,"(+/- 2225 )",5509,"(+/- 1395 )",25218,"(+/- 1891 )"
Housing,Value,"$500,000 to $999,999",4025,"(+/- 1060 )",4956,"(+/- 997 )",9087,"(+/- 1298 )",11153,"(+/- 1454 )",1794,"(+/- 659 )",7984,"(+/- 1149 )"
Housing,Value,"$1,000,000 or more",1491,"(+/- 573 )",1157,"(+/- 602 )",1677,"(+/- 420 )",1973,"(+/- 724 )",1100,"(+/- 557 )",1794,"(+/- 499 )"
Housing,Value,"Median (dollars)",115300,"(+/- 3423 )",153600,"(+/- 3420 )",176500,"(+/- 4188 )",174000,"(+/- 3179 )",86400,"(+/- 2341 )",165500,"(+/- 3389 )"
Housing,"Mortgage Status","Owner-occupied units",196616,"(+/- 4300 )",203927,"(+/- 4174 )",183606,"(+/- 4291 )",205943,"(+/- 4177 )",188841,"(+/- 5718 )",188796,"(+/- 4554 )"
Housing,"Mortgage Status","Housing units with a mortgage",96118,"(+/- 4317 )",119787,"(+/- 3520 )",118263,"(+/- 4637 )",131485,"(+/- 3426 )",76636,"(+/- 4041 )",119231,"(+/- 3878 )"
Housing,"Mortgage Status","Housing units without a mortgage",100498,"(+/- 3469 )",84140,"(+/- 3263 )",65343,"(+/- 3029 )",74458,"(+/- 3104 )",112205,"(+/- 4297 )",69565,"(+/- 3437 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",96118,"(+/- 4317 )",119787,"(+/- 3520 )",118263,"(+/- 4637 )",131485,"(+/- 3426 )",76636,"(+/- 4041 )",119231,"(+/- 3878 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4586,"(+/- 1038 )",3776,"(+/- 1052 )",2032,"(+/- 670 )",2560,"(+/- 772 )",5407,"(+/- 1146 )",3442,"(+/- 1074 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",41228,"(+/- 3226 )",43415,"(+/- 2937 )",29655,"(+/- 2500 )",32838,"(+/- 2291 )",38123,"(+/- 2611 )",35154,"(+/- 2784 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",31361,"(+/- 2647 )",43811,"(+/- 3204 )",45187,"(+/- 2903 )",48738,"(+/- 2922 )",23460,"(+/- 2779 )",44589,"(+/- 2697 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",11534,"(+/- 1584 )",18198,"(+/- 1881 )",20795,"(+/- 1618 )",25245,"(+/- 2247 )",7029,"(+/- 1222 )",19663,"(+/- 2021 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",4146,"(+/- 1196 )",6022,"(+/- 1301 )",10681,"(+/- 1207 )",11791,"(+/- 1522 )",1137,"(+/- 422 )",9134,"(+/- 1252 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1687,"(+/- 721 )",2953,"(+/- 819 )",4122,"(+/- 987 )",4937,"(+/- 1151 )",468,"(+/- 310 )",3811,"(+/- 789 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1576,"(+/- 604 )",1612,"(+/- 518 )",5791,"(+/- 1233 )",5376,"(+/- 1162 )",1012,"(+/- 441 )",3438,"(+/- 786 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1029,"(+/- 31 )",1125,"(+/- 25 )",1275,"(+/- 26 )",1302,"(+/- 25 )",937,"(+/- 23 )",1213,"(+/- 24 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",100498,"(+/- 3469 )",84140,"(+/- 3263 )",65343,"(+/- 3029 )",74458,"(+/- 3104 )",112205,"(+/- 4297 )",69565,"(+/- 3437 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",26799,"(+/- 2223 )",16083,"(+/- 1816 )",3824,"(+/- 803 )",10289,"(+/- 1698 )",36891,"(+/- 2545 )",10988,"(+/- 1608 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",36777,"(+/- 2641 )",30720,"(+/- 2073 )",17084,"(+/- 1946 )",21191,"(+/- 2038 )",42792,"(+/- 2446 )",23729,"(+/- 1863 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",27651,"(+/- 2188 )",25228,"(+/- 1993 )",25944,"(+/- 1910 )",24948,"(+/- 2228 )",24520,"(+/- 2584 )",21979,"(+/- 1968 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5888,"(+/- 976 )",7893,"(+/- 1453 )",11134,"(+/- 1468 )",10645,"(+/- 1326 )",5822,"(+/- 1315 )",8222,"(+/- 1263 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1828,"(+/- 608 )",2367,"(+/- 755 )",3521,"(+/- 585 )",4388,"(+/- 973 )",1350,"(+/- 594 )",2890,"(+/- 677 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1555,"(+/- 654 )",1849,"(+/- 664 )",3836,"(+/- 753 )",2997,"(+/- 755 )",830,"(+/- 461 )",1757,"(+/- 580 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",348,"(+/- 8 )",378,"(+/- 9 )",481,"(+/- 10 )",441,"(+/- 14 )",311,"(+/- 8 )",400,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",77023,"(+/- 3636 )",79078,"(+/- 3622 )",114542,"(+/- 4535 )",74410,"(+/- 4007 )",57838,"(+/- 4071 )",109906,"(+/- 3699 )"
Housing,"Gross Rent","Less than $500",21619,"(+/- 2266 )",13231,"(+/- 1861 )",13445,"(+/- 1940 )",7683,"(+/- 1090 )",17654,"(+/- 2062 )",10822,"(+/- 1839 )"
Housing,"Gross Rent","$500 to $999",43525,"(+/- 3065 )",50313,"(+/- 3475 )",59753,"(+/- 3591 )",44886,"(+/- 3311 )",36204,"(+/- 3622 )",67041,"(+/- 3324 )"
Housing,"Gross Rent","$1,000 to $1,499",10894,"(+/- 1570 )",12787,"(+/- 1937 )",32715,"(+/- 3062 )",18105,"(+/- 2435 )",3568,"(+/- 1037 )",26690,"(+/- 2320 )"
Housing,"Gross Rent","$1,500 to $1,999",883,"(+/- 566 )",2099,"(+/- 837 )",6461,"(+/- 1467 )",2468,"(+/- 831 )",292,"(+/- 231 )",3733,"(+/- 1112 )"
Housing,"Gross Rent","$2,000 to $2,499",50,"(+/- 86 )",414,"(+/- 274 )",981,"(+/- 506 )",463,"(+/- 448 )",0,"(+/- 197 )",1378,"(+/- 565 )"
Housing,"Gross Rent","$2,500 to $2,999",52,"(+/- 90 )",164,"(+/- 175 )",410,"(+/- 449 )",147,"(+/- 171 )",120,"(+/- 201 )",242,"(+/- 193 )"
Housing,"Gross Rent","$3,000 or more",0,"(+/- 197 )",70,"(+/- 88 )",777,"(+/- 403 )",658,"(+/- 416 )",0,"(+/- 197 )",0,"(+/- 197 )"
Housing,"Gross Rent","Median (dollars)",680,"(+/- 21 )",764,"(+/- 18 )",871,"(+/- 21 )",831,"(+/- 26 )",614,"(+/- 27 )",830,"(+/- 13 )"
Housing,"Gross Rent","No rent paid",8381,"(+/- 1351 )",7813,"(+/- 1639 )",4354,"(+/- 1230 )",4454,"(+/- 1085 )",19928,"(+/- 2125 )",7257,"(+/- 1197 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",282020,"(+/- 4132 )",290818,"(+/- 3988 )",302502,"(+/- 3564 )",284807,"(+/- 3795 )",266607,"(+/- 4555 )",305959,"(+/- 4117 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",25877,"(+/- 2422 )",20798,"(+/- 2420 )",21449,"(+/- 2554 )",17253,"(+/- 2237 )",39313,"(+/- 2910 )",20940,"(+/- 2195 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",19856,"(+/- 1968 )",15500,"(+/- 1863 )",16928,"(+/- 2316 )",10242,"(+/- 1407 )",20609,"(+/- 2219 )",13603,"(+/- 1853 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",34984,"(+/- 3040 )",32041,"(+/- 3220 )",30002,"(+/- 2694 )",23923,"(+/- 3066 )",39149,"(+/- 3306 )",28864,"(+/- 2718 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",32985,"(+/- 2882 )",32172,"(+/- 2554 )",28866,"(+/- 2572 )",25733,"(+/- 2621 )",32973,"(+/- 2809 )",35178,"(+/- 2822 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",42281,"(+/- 2952 )",42308,"(+/- 3370 )",41146,"(+/- 2827 )",33740,"(+/- 3216 )",37301,"(+/- 2895 )",46123,"(+/- 3069 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",50957,"(+/- 3838 )",53843,"(+/- 3132 )",55324,"(+/- 3919 )",52470,"(+/- 4067 )",43410,"(+/- 3225 )",54089,"(+/- 3042 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",29701,"(+/- 2563 )",37207,"(+/- 2465 )",35999,"(+/- 2788 )",38045,"(+/- 2702 )",24466,"(+/- 2445 )",39191,"(+/- 3061 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",31353,"(+/- 2750 )",37239,"(+/- 2902 )",39359,"(+/- 2915 )",48085,"(+/- 2570 )",20487,"(+/- 2289 )",40068,"(+/- 2925 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",6488,"(+/- 1337 )",10964,"(+/- 1493 )",16639,"(+/- 1913 )",16654,"(+/- 1907 )",4835,"(+/- 963 )",14491,"(+/- 1849 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",7538,"(+/- 1329 )",8746,"(+/- 1208 )",16790,"(+/- 2052 )",18662,"(+/- 2070 )",4064,"(+/- 881 )",13412,"(+/- 1507 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",44309,"(+/- 1559 )",50792,"(+/- 1287 )",54956,"(+/- 1975 )",63562,"(+/- 1932 )",35409,"(+/- 1394 )",52598,"(+/- 1685 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",63099,"(+/- 2706 )",68862,"(+/- 2470 )",77573,"(+/- 2575 )",83636,"(+/- 2037 )",49534,"(+/- 1638 )",73530,"(+/- 2155 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",698926,"(+/- 4543 )",756703,"(+/- 5188 )",740993,"(+/- 4090 )",742249,"(+/- 4855 )",679316,"(+/- 5256 )",770017,"(+/- 6208 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",658919,"(+/- 6144 )",714127,"(+/- 6451 )",700075,"(+/- 6127 )",705448,"(+/- 6812 )",641694,"(+/- 6865 )",720300,"(+/- 7384 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",430245,"(+/- 9087 )",501443,"(+/- 11204 )",502793,"(+/- 10874 )",533394,"(+/- 10791 )",326770,"(+/- 11378 )",522901,"(+/- 10675 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",330240,"(+/- 8915 )",322332,"(+/- 10604 )",297238,"(+/- 9378 )",263504,"(+/- 9261 )",403123,"(+/- 10012 )",292587,"(+/- 8755 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",40007,"(+/- 4070 )",42576,"(+/- 5081 )",40918,"(+/- 4497 )",36801,"(+/- 4189 )",37622,"(+/- 4104 )",49717,"(+/- 4994 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172147,"(+/- 3386 )",190495,"(+/- 3530 )",174499,"(+/- 2319 )",187290,"(+/- 2979 )",161177,"(+/- 2870 )",180486,"(+/- 3517 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6764,"(+/- 1783 )",9804,"(+/- 2742 )",5476,"(+/- 1675 )",4977,"(+/- 1685 )",6985,"(+/- 2002 )",6018,"(+/- 1592 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",12.8,"(+/- 1.4 )",12.0,"(+/- 1.1 )",11.9,"(+/- 1.6 )",8.2,"(+/- 0.9 )",20.7,"(+/- 1.5 )",10.4,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",20.7,"(+/- 2.4 )",18.8,"(+/- 2.1 )",19.7,"(+/- 3.1 )",12.7,"(+/- 1.9 )",31.4,"(+/- 2.6 )",17.0,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.7,"(+/- 4.1 )",25.3,"(+/- 7.0 )",19.2,"(+/- 5.3 )",13.9,"(+/- 4.1 )",32.4,"(+/- 6.8 )",18.6,"(+/- 5.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",7.6,"(+/- 1.0 )",5.9,"(+/- 1.0 )",4.0,"(+/- 1.0 )",3.9,"(+/- 0.8 )",13.8,"(+/- 1.7 )",4.2,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",11.0,"(+/- 1.7 )",8.0,"(+/- 1.9 )",5.3,"(+/- 1.9 )",5.4,"(+/- 1.4 )",20.3,"(+/- 3.0 )",5.5,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.2,"(+/- 3.4 )",6.3,"(+/- 3.5 )",3.9,"(+/- 2.6 )",8.1,"(+/- 4.3 )",15.7,"(+/- 5.8 )",3.9,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",36.5,"(+/- 5.1 )",33.7,"(+/- 4.0 )",34.0,"(+/- 5.0 )",27.3,"(+/- 4.5 )",46.7,"(+/- 4.0 )",27.8,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",50.0,"(+/- 6.5 )",44.0,"(+/- 5.2 )",45.3,"(+/- 7.2 )",36.7,"(+/- 6.4 )",61.3,"(+/- 5.6 )",37.5,"(+/- 5.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",50.1,"(+/- 14.7 )",68.3,"(+/- 14.6 )",51.1,"(+/- 11.7 )",41.4,"(+/- 16.6 )",74.7,"(+/- 10.2 )",49.9,"(+/- 12.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",17.8,"(+/- 1.3 )",15.7,"(+/- 1.1 )",15.8,"(+/- 1.6 )",11.8,"(+/- 1.1 )",26.5,"(+/- 1.4 )",14.8,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",25.2,"(+/- 2.9 )",20.5,"(+/- 2.5 )",25.0,"(+/- 3.7 )",15.5,"(+/- 2.4 )",34.6,"(+/- 3.0 )",19.1,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",25.1,"(+/- 2.9 )",19.9,"(+/- 2.5 )",24.8,"(+/- 3.7 )",15.1,"(+/- 2.4 )",34.2,"(+/- 3.0 )",18.8,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",23.9,"(+/- 4.1 )",24.9,"(+/- 3.9 )",24.7,"(+/- 4.4 )",16.7,"(+/- 3.3 )",35.5,"(+/- 4.7 )",23.2,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",25.5,"(+/- 3.2 )",18.2,"(+/- 2.6 )",24.8,"(+/- 4.1 )",14.5,"(+/- 2.6 )",33.7,"(+/- 3.6 )",17.1,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",15.6,"(+/- 1.0 )",14.2,"(+/- 1.0 )",13.2,"(+/- 1.3 )",10.6,"(+/- 0.8 )",24.2,"(+/- 1.3 )",13.6,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",12.0,"(+/- 1.4 )",10.0,"(+/- 1.9 )",8.1,"(+/- 1.4 )",8.1,"(+/- 1.5 )",15.1,"(+/- 2.1 )",7.7,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",14.5,"(+/- 1.5 )",12.3,"(+/- 1.2 )",13.8,"(+/- 1.8 )",9.1,"(+/- 1.1 )",22.5,"(+/- 1.6 )",10.8,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",32.9,"(+/- 2.1 )",30.2,"(+/- 2.8 )",22.1,"(+/- 2.2 )",24.2,"(+/- 2.0 )",45.8,"(+/- 2.4 )",28.6,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",160170,"(+/- 4007 )",187858,"(+/- 5004 )",172637,"(+/- 4975 )",177462,"(+/- 4595 )",150656,"(+/- 4314 )",200584,"(+/- 4224 )"
Education,"School Enrollment","Nursery school, preschool",9946,"(+/- 1378 )",12371,"(+/- 1922 )",10362,"(+/- 1893 )",11307,"(+/- 1548 )",8312,"(+/- 1333 )",12868,"(+/- 1656 )"
Education,"School Enrollment",Kindergarten,8795,"(+/- 1514 )",8689,"(+/- 1757 )",8021,"(+/- 1358 )",9307,"(+/- 1495 )",8831,"(+/- 1858 )",8157,"(+/- 1363 )"
Education,"School Enrollment","Elementary school (grades 1-8)",72173,"(+/- 2631 )",82170,"(+/- 3128 )",74076,"(+/- 2461 )",80459,"(+/- 2893 )",68087,"(+/- 2306 )",77125,"(+/- 2979 )"
Education,"School Enrollment","High school (grades 9-12)",36720,"(+/- 2117 )",40714,"(+/- 2316 )",35884,"(+/- 2278 )",39375,"(+/- 2021 )",33839,"(+/- 1969 )",34861,"(+/- 1592 )"
Education,"School Enrollment","College or graduate school",32536,"(+/- 3033 )",43914,"(+/- 3524 )",44294,"(+/- 4102 )",37014,"(+/- 3415 )",31587,"(+/- 2717 )",67573,"(+/- 3370 )"
Education,"Educational Attainment","Population 25 years and over",489762,"(+/- 3911 )",516740,"(+/- 3693 )",518347,"(+/- 2211 )",514606,"(+/- 4019 )",481463,"(+/- 3633 )",518496,"(+/- 4065 )"
Education,"Educational Attainment","Less than 9th grade",26111,"(+/- 2351 )",24860,"(+/- 2194 )",16345,"(+/- 2411 )",18372,"(+/- 2666 )",50544,"(+/- 4015 )",23904,"(+/- 3061 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",41460,"(+/- 3912 )",40967,"(+/- 3756 )",35235,"(+/- 3360 )",31365,"(+/- 2743 )",55776,"(+/- 3811 )",36125,"(+/- 3675 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",187744,"(+/- 5890 )",181821,"(+/- 5882 )",134939,"(+/- 5998 )",156581,"(+/- 5695 )",187434,"(+/- 6195 )",142392,"(+/- 5646 )"
Education,"Educational Attainment","Some college, no degree",104396,"(+/- 4535 )",112077,"(+/- 4627 )",112130,"(+/- 4773 )",111153,"(+/- 5279 )",87408,"(+/- 5256 )",104526,"(+/- 5481 )"
Education,"Educational Attainment","Associate's degree",41534,"(+/- 3027 )",50265,"(+/- 4078 )",45455,"(+/- 3882 )",44410,"(+/- 2749 )",35062,"(+/- 2996 )",45238,"(+/- 3454 )"
Education,"Educational Attainment","Bachelor's degree",53017,"(+/- 3951 )",63088,"(+/- 4036 )",103489,"(+/- 5284 )",92505,"(+/- 4804 )",34635,"(+/- 3139 )",95356,"(+/- 4498 )"
Education,"Educational Attainment","Graduate or professional degree",35500,"(+/- 2650 )",43662,"(+/- 2932 )",70754,"(+/- 3980 )",60220,"(+/- 3461 )",30604,"(+/- 2820 )",70955,"(+/- 4681 )"
Education,"Educational Attainment","Percent high school graduate or higher",86.2,"(+/- 0.9 )",87.3,"(+/- 0.8 )",90.0,"(+/- 0.8 )",90.3,"(+/- 0.8 )",77.9,"(+/- 1.1 )",88.4,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",18.1,"(+/- 1.0 )",20.7,"(+/- 0.9 )",33.6,"(+/- 1.3 )",29.7,"(+/- 1.0 )",13.6,"(+/- 0.9 )",32.1,"(+/- 1.2 )"
