Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 to $1,499",26113,(+/- 2520 ),29160,(+/- 2395 ),19204,(+/- 2323 ),8139,(+/- 1328 ),24001,(+/- 2223 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,500 to $1,999",37976,(+/- 3065 ),42898,(+/- 2791 ),33137,(+/- 2435 ),15331,(+/- 1888 ),31473,(+/- 3175 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,000 to $2,499",25374,(+/- 2678 ),25193,(+/- 2812 ),28322,(+/- 2651 ),18530,(+/- 2321 ),21867,(+/- 1987 )
Housing,Selected Monthly Owner Costs(SMOC),"$2,500 to $2,999",13078,(+/- 1709 ),13909,(+/- 1579 ),15182,(+/- 1916 ),18005,(+/- 2064 ),17491,(+/- 1784 )
Housing,Selected Monthly Owner Costs(SMOC),"$3,000 or more",13206,(+/- 1593 ),14085,(+/- 1663 ),16106,(+/- 2177 ),57005,(+/- 2581 ),20656,(+/- 1991 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1877,(+/- 32 ),1836,(+/- 30 ),2028,(+/- 48 ),2929,(+/- 64 ),2000,(+/- 52 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,61261,(+/- 2763 ),62502,(+/- 3174 ),57690,(+/- 3037 ),53740,(+/- 2495 ),62122,(+/- 3094 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,436,(+/- 317 ),786,(+/- 408 ),503,(+/- 321 ),292,(+/- 225 ),772,(+/- 351 )
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,1438,(+/- 537 ),2040,(+/- 705 ),918,(+/- 355 ),598,(+/- 304 ),907,(+/- 339 )
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,8344,(+/- 1314 ),10705,(+/- 1433 ),4808,(+/- 1173 ),2778,(+/- 737 ),8149,(+/- 1127 )
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,16956,(+/- 1551 ),22562,(+/- 1999 ),13106,(+/- 1684 ),5900,(+/- 1158 ),16535,(+/- 1922 )
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,14791,(+/- 1456 ),12653,(+/- 1603 ),14710,(+/- 1703 ),7992,(+/- 1083 ),15161,(+/- 1842 )
Housing,Selected Monthly Owner Costs(SMOC),"$1,000 or more",19296,(+/- 1987 ),13756,(+/- 1469 ),23645,(+/- 2387 ),36180,(+/- 2193 ),20598,(+/- 1722 )
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),845,(+/- 22 ),751,(+/- 17 ),922,(+/- 28 ),1201,(+/- 29 ),860,(+/- 22 )
Housing,Gross Rent,Occupied units paying rent,94742,(+/- 3367 ),75010,(+/- 3401 ),103462,(+/- 4083 ),93518,(+/- 3541 ),86815,(+/- 4757 )
Housing,Gross Rent,Less than $500,11113,(+/- 1610 ),6434,(+/- 1265 ),10590,(+/- 1909 ),9607,(+/- 1554 ),10865,(+/- 1674 )
Housing,Gross Rent,$500 to $999,27293,(+/- 2510 ),22319,(+/- 2514 ),22118,(+/- 2792 ),11941,(+/- 1758 ),25428,(+/- 2716 )
Housing,Gross Rent,"$1,000 to $1,499",39911,(+/- 3011 ),31042,(+/- 2983 ),43771,(+/- 3198 ),27662,(+/- 2575 ),33356,(+/- 2733 )
Housing,Gross Rent,"$1,500 to $1,999",12551,(+/- 1764 ),11469,(+/- 1814 ),19356,(+/- 2315 ),18351,(+/- 2286 ),12770,(+/- 1738 )
Housing,Gross Rent,"$2,000 to $2,499",2381,(+/- 891 ),2401,(+/- 780 ),5185,(+/- 1174 ),13385,(+/- 2135 ),3245,(+/- 921 )
Housing,Gross Rent,"$2,500 to $2,999",521,(+/- 279 ),947,(+/- 531 ),1042,(+/- 550 ),6172,(+/- 1329 ),635,(+/- 364 )
Housing,Gross Rent,"$3,000 or more",972,(+/- 552 ),398,(+/- 245 ),1400,(+/- 759 ),6400,(+/- 1061 ),516,(+/- 419 )
Housing,Gross Rent,Median (dollars),1098,(+/- 26 ),1113,(+/- 27 ),1205,(+/- 29 ),1456,(+/- 47 ),1084,(+/- 26 )
Housing,Gross Rent,No rent paid,2442,(+/- 692 ),3264,(+/- 889 ),4234,(+/- 1031 ),2940,(+/- 671 ),4893,(+/- 1066 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),Total households,279563,(+/- 4414 ),273946,(+/- 3657 ),281432,(+/- 3760 ),269293,(+/- 3511 ),273857,(+/- 5045 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"Less than $10,000",16550,(+/- 1853 ),11824,(+/- 1644 ),15960,(+/- 2262 ),16393,(+/- 2103 ),12465,(+/- 1521 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$10,000 to $14,999",11127,(+/- 1720 ),9718,(+/- 1497 ),13524,(+/- 1766 ),8246,(+/- 1507 ),11047,(+/- 1816 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$15,000 to $24,999",21980,(+/- 2376 ),18850,(+/- 2195 ),20047,(+/- 2130 ),15234,(+/- 2093 ),23403,(+/- 2777 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$25,000 to $34,999",21322,(+/- 2678 ),16664,(+/- 2077 ),21336,(+/- 2478 ),15596,(+/- 2074 ),24039,(+/- 2509 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$35,000 to $49,999",27260,(+/- 2365 ),27661,(+/- 2362 ),29415,(+/- 2600 ),22642,(+/- 2188 ),31667,(+/- 2805 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$50,000 to $74,999",43185,(+/- 2905 ),47107,(+/- 3232 ),48362,(+/- 3012 ),34326,(+/- 3636 ),40938,(+/- 2747 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$75,000 to $99,999",34730,(+/- 2844 ),37750,(+/- 2818 ),37401,(+/- 3432 ),27158,(+/- 2699 ),31634,(+/- 2582 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$100,000 to $149,999",50906,(+/- 2949 ),52441,(+/- 3382 ),43733,(+/- 2914 ),39115,(+/- 3197 ),46078,(+/- 3111 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$150,000 to $199,000",26513,(+/- 2202 ),25110,(+/- 2477 ),25639,(+/- 2269 ),27942,(+/- 2485 ),23022,(+/- 1812 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),"$200,000 or more",25990,(+/- 2231 ),26821,(+/- 2293 ),26015,(+/- 2238 ),62641,(+/- 2653 ),29564,(+/- 2087 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),Median household income (dollars),73884,(+/- 2577 ),77908,(+/- 3423 ),70498,(+/- 2280 ),93999,(+/- 4221 ),70742,(+/- 2150 )
Socioeconomic,Income and Benefits (In 2018 inflation-adjusted dollars),Mean household income (dollars),97296,(+/- 2400 ),99978,(+/- 2509 ),95711,(+/- 3049 ),161672,(+/- 5194 ),103425,(+/- 3439 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,708754,(+/- 6816 ),678779,(+/- 5357 ),705263,(+/- 7775 ),733746,(+/- 5253 ),697300,(+/- 9258 )
Socioeconomic,Health Insurance Coverage,With health insurance coverage,679665,(+/- 7517 ),654759,(+/- 6003 ),668747,(+/- 7990 ),677626,(+/- 7770 ),656122,(+/- 9879 )
Socioeconomic,Health Insurance Coverage,With private health insurance,502953,(+/- 9155 ),513131,(+/- 9886 ),483874,(+/- 11281 ),532889,(+/- 10528 ),469324,(+/- 11124 )
Socioeconomic,Health Insurance Coverage,With public coverage,269572,(+/- 8632 ),235675,(+/- 8374 ),269435,(+/- 9854 ),220297,(+/- 8549 ),266423,(+/- 10365 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,29089,(+/- 4136 ),24020,(+/- 3244 ),36516,(+/- 4769 ),56120,(+/- 5342 ),41178,(+/- 4959 )
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 19 years,161327,(+/- 4073 ),140427,(+/- 3345 ),146980,(+/- 5243 ),180938,(+/- 3869 ),159309,(+/- 6557 )
Socioeconomic,Health Insurance Coverage,No health insurance coverage,2154,(+/- 854 ),2956,(+/- 1176 ),2017,(+/- 1336 ),8592,(+/- 2530 ),4653,(+/- 1752 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All families,7.7,(+/- 1.2 ),5.5,(+/- 1.0 ),8.5,(+/- 1.2 ),7,(+/- 0.8 ),6.7,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,12.3,(+/- 2.1 ),9,(+/- 2.2 ),14.5,(+/- 2.4 ),10.5,(+/- 1.5 ),11.5,(+/- 2.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,7.2,(+/- 3.4 ),9.2,(+/- 5.7 ),11,(+/- 5.6 ),8.5,(+/- 3.5 ),4.9,(+/- 2.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,2.9,(+/- 0.8 ),2.4,(+/- 0.6 ),3.1,(+/- 1.0 ),3.6,(+/- 0.9 ),2.4,(+/- 0.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,4.7,(+/- 1.5 ),3.3,(+/- 1.4 ),4.7,(+/- 1.9 ),4.9,(+/- 1.5 ),2.8,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,1.1,(+/- 1.2 ),4.9,(+/- 4.4 ),7.7,(+/- 6.6 ),3.8,(+/- 2.9 ),1.1,(+/- 1.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,"Families with female householder, no husband present",21.4,(+/- 3.8 ),18.4,(+/- 4.6 ),23,(+/- 4.0 ),21.8,(+/- 3.6 ),20.7,(+/- 3.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,29.7,(+/- 5.3 ),22.6,(+/- 6.6 ),31.6,(+/- 5.9 ),30.8,(+/- 5.6 ),29.6,(+/- 5.4 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,26,(+/- 13.2 ),11,(+/- 12.3 ),19.6,(+/- 14.8 ),43.3,(+/- 17.3 ),14.7,(+/- 9.7 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,All people,11.4,(+/- 1.1 ),8.8,(+/- 0.9 ),11.5,(+/- 1.1 ),10.5,(+/- 1.0 ),9.8,(+/- 1.0 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,16.9,(+/- 2.8 ),10.2,(+/- 2.4 ),17.8,(+/- 2.8 ),12.4,(+/- 1.9 ),12.9,(+/- 2.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,16.8,(+/- 2.8 ),10.1,(+/- 2.4 ),17.4,(+/- 2.8 ),12,(+/- 1.9 ),12.4,(+/- 2.6 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,18,(+/- 4.2 ),10.6,(+/- 4.7 ),20.1,(+/- 5.0 ),12.9,(+/- 3.1 ),13.2,(+/- 4.2 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,16.4,(+/- 2.9 ),9.9,(+/- 2.5 ),16.4,(+/- 2.7 ),11.7,(+/- 2.0 ),12.1,(+/- 2.5 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,9.9,(+/- 0.9 ),8.5,(+/- 0.8 ),9.9,(+/- 0.9 ),10,(+/- 0.9 ),8.9,(+/- 0.8 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.7,(+/- 1.2 ),6.3,(+/- 1.1 ),8.4,(+/- 1.7 ),9.4,(+/- 1.5 ),7,(+/- 1.3 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,People in families,8.8,(+/- 1.2 ),5.6,(+/- 1.0 ),8.8,(+/- 1.2 ),7.6,(+/- 1.0 ),6.8,(+/- 1.1 )
Socioeconomic,Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,22.3,(+/- 2.1 ),20.9,(+/- 2.0 ),20.8,(+/- 2.0 ),24.5,(+/- 3.1 ),21.9,(+/- 1.8 )
Education,School Enrollment,Population 3 years and over enrolled in school,173668,(+/- 5523 ),170565,(+/- 5353 ),176739,(+/- 5979 ),197955,(+/- 4492 ),168494,(+/- 6927 )
Education,School Enrollment,"Nursery school, preschool",10022,(+/- 1642 ),10061,(+/- 1547 ),10528,(+/- 1806 ),14031,(+/- 1592 ),8619,(+/- 1185 )
Education,School Enrollment,Kindergarten,8299,(+/- 1717 ),6706,(+/- 1482 ),6955,(+/- 1344 ),8841,(+/- 1387 ),8341,(+/- 1443 )
Education,School Enrollment,Elementary school (grades 1-8),68131,(+/- 3219 ),57866,(+/- 2873 ),59650,(+/- 3753 ),78576,(+/- 2734 ),70764,(+/- 4547 )
Education,School Enrollment,High school (grades 9-12),40670,(+/- 2664 ),34883,(+/- 2097 ),36667,(+/- 2339 ),46104,(+/- 2711 ),37661,(+/- 2619 )
Education,School Enrollment,College or graduate school,46546,(+/- 3619 ),61049,(+/- 4110 ),62939,(+/- 4264 ),50403,(+/- 3519 ),43109,(+/- 4432 )
Education,Educational Attainment,Population 25 years and over,501456,(+/- 5969 ),495348,(+/- 4664 ),502396,(+/- 6259 ),504198,(+/- 4147 ),489998,(+/- 7773 )
Education,Educational Attainment,Less than 9th grade,19221,(+/- 2610 ),10437,(+/- 1656 ),18767,(+/- 3261 ),26628,(+/- 2965 ),22666,(+/- 2978 )
Education,Educational Attainment,"9th to 12th grade, no diploma",29251,(+/- 3137 ),24708,(+/- 2476 ),24538,(+/- 3080 ),22009,(+/- 2582 ),28029,(+/- 3410 )
Education,Educational Attainment,High school graduate (includes equivalency),141447,(+/- 5897 ),141763,(+/- 5948 ),153879,(+/- 7332 ),96661,(+/- 5127 ),136217,(+/- 5754 )
Education,Educational Attainment,"Some college, no degree",83087,(+/- 4820 ),93542,(+/- 4844 ),83590,(+/- 4745 ),70209,(+/- 3675 ),83546,(+/- 4351 )
Education,Educational Attainment,Associate's degree,42902,(+/- 3273 ),45005,(+/- 3386 ),37875,(+/- 3418 ),30955,(+/- 3036 ),39234,(+/- 3326 )
Education,Educational Attainment,Bachelor's degree,103361,(+/- 4630 ),102818,(+/- 6038 ),94023,(+/- 4664 ),140386,(+/- 4931 ),103440,(+/- 5274 )
Education,Educational Attainment,Graduate or professional degree,82187,(+/- 4824 ),77075,(+/- 4199 ),89724,(+/- 4605 ),117350,(+/- 5043 ),76866,(+/- 4548 )
Education,Educational Attainment,Percent high school graduate or higher,90.3,(+/- 0.8 ),92.9,(+/- 0.6 ),91.4,(+/- 0.7 ),90.4,(+/- 0.8 ),89.7,(+/- 0.9 )
Education,Educational Attainment,Percent bachelor's degree or higher,37,(+/- 1.2 ),36.3,(+/- 1.3 ),36.6,(+/- 1.2 ),51.1,(+/- 1.1 ),36.8,(+/- 1.2 )
