Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",35548,"(+/- 2898 )",38299,"(+/- 2579 )",36458,"(+/- 2357 )",40029,"(+/- 2867 )",50173,"(+/- 3395 )",46114,"(+/- 3241 )",44003,"(+/- 2696 )",25971,"(+/- 2183 )",57640,"(+/- 2975 )",29921,"(+/- 2608 )",23899,"(+/- 2085 )"
People,"Residence 1 Year Ago","Population 1 year and over",805038,"(+/- 12154 )",734244,"(+/- 7211 )",736155,"(+/- 9652 )",739486,"(+/- 13425 )",732363,"(+/- 7331 )",748014,"(+/- 4628 )",801975,"(+/- 12027 )",785915,"(+/- 12673 )",698445,"(+/- 4776 )",853108,"(+/- 10920 )",789597,"(+/- 18116 )"
People,"Residence 1 Year Ago","Same house",695377,"(+/- 13226 )",595134,"(+/- 10666 )",611548,"(+/- 11767 )",612233,"(+/- 13293 )",631353,"(+/- 10189 )",626161,"(+/- 8924 )",695124,"(+/- 13398 )",648049,"(+/- 14393 )",604372,"(+/- 8304 )",754294,"(+/- 13131 )",669122,"(+/- 17523 )"
People,"Residence 1 Year Ago","Different house in the U.S.",105677,"(+/- 8719 )",130415,"(+/- 9259 )",119968,"(+/- 6845 )",123711,"(+/- 7868 )",96824,"(+/- 6714 )",119175,"(+/- 8322 )",104110,"(+/- 8588 )",126856,"(+/- 8706 )",91903,"(+/- 7010 )",93008,"(+/- 9669 )",109831,"(+/- 9169 )"
People,"Residence 1 Year Ago","Same county",36157,"(+/- 6449 )",63017,"(+/- 6779 )",45247,"(+/- 5478 )",57157,"(+/- 6351 )",40692,"(+/- 4668 )",47006,"(+/- 5963 )",45747,"(+/- 6948 )",49183,"(+/- 6026 )",45168,"(+/- 5255 )",41576,"(+/- 7326 )",57880,"(+/- 6880 )"
People,"Residence 1 Year Ago","Different county",69520,"(+/- 7169 )",67398,"(+/- 5587 )",74721,"(+/- 5709 )",66554,"(+/- 5672 )",56132,"(+/- 5618 )",72169,"(+/- 6679 )",58363,"(+/- 7098 )",77673,"(+/- 6186 )",46735,"(+/- 4829 )",51432,"(+/- 6041 )",51951,"(+/- 5428 )"
People,"Residence 1 Year Ago","Same state",43679,"(+/- 6336 )",27026,"(+/- 3848 )",45309,"(+/- 4871 )",45828,"(+/- 4906 )",40374,"(+/- 5140 )",50325,"(+/- 6275 )",43310,"(+/- 6267 )",34708,"(+/- 4360 )",31687,"(+/- 3992 )",30926,"(+/- 4789 )",25473,"(+/- 3862 )"
People,"Residence 1 Year Ago","Different state",25841,"(+/- 4268 )",40372,"(+/- 4656 )",29412,"(+/- 3963 )",20726,"(+/- 3543 )",15758,"(+/- 2690 )",21844,"(+/- 4015 )",15053,"(+/- 3619 )",42965,"(+/- 4228 )",15048,"(+/- 2379 )",20506,"(+/- 3126 )",26478,"(+/- 3990 )"
People,"Residence 1 Year Ago",Abroad,3984,"(+/- 1655 )",8695,"(+/- 2132 )",4639,"(+/- 1355 )",3542,"(+/- 1604 )",4186,"(+/- 1906 )",2678,"(+/- 1247 )",2741,"(+/- 1270 )",11010,"(+/- 2436 )",2170,"(+/- 1406 )",5806,"(+/- 1982 )",10644,"(+/- 2727 )"
Workers,"Employment Status","Population 16 years and over",640155,"(+/- 8829 )",602744,"(+/- 5674 )",593335,"(+/- 7309 )",613806,"(+/- 9961 )",611000,"(+/- 6460 )",619580,"(+/- 4557 )",645221,"(+/- 9129 )",644593,"(+/- 8683 )",592860,"(+/- 4729 )",663703,"(+/- 8800 )",630916,"(+/- 12818 )"
Workers,"Employment Status","In labor force",434585,"(+/- 9544 )",409257,"(+/- 7264 )",389903,"(+/- 7427 )",387203,"(+/- 7477 )",353903,"(+/- 7467 )",370376,"(+/- 5492 )",426782,"(+/- 9137 )",486803,"(+/- 8428 )",292198,"(+/- 7221 )",475226,"(+/- 7470 )",455888,"(+/- 11306 )"
Workers,"Employment Status","Civilian labor force",422449,"(+/- 9398 )",359065,"(+/- 6987 )",366661,"(+/- 7831 )",378726,"(+/- 7644 )",353196,"(+/- 7539 )",369938,"(+/- 5427 )",425496,"(+/- 9302 )",474247,"(+/- 8528 )",291989,"(+/- 7198 )",472543,"(+/- 7578 )",449826,"(+/- 10959 )"
Workers,"Employment Status",Employed,407016,"(+/- 9498 )",342527,"(+/- 6883 )",345853,"(+/- 7680 )",361017,"(+/- 8249 )",337931,"(+/- 8132 )",351925,"(+/- 5908 )",407212,"(+/- 9056 )",461091,"(+/- 8183 )",277766,"(+/- 7236 )",457913,"(+/- 7552 )",430664,"(+/- 10809 )"
Workers,"Employment Status",Unemployed,15433,"(+/- 2012 )",16538,"(+/- 2496 )",20808,"(+/- 2538 )",17709,"(+/- 2216 )",15265,"(+/- 2310 )",18013,"(+/- 2349 )",18284,"(+/- 2718 )",13156,"(+/- 2079 )",14223,"(+/- 2370 )",14630,"(+/- 1715 )",19162,"(+/- 2710 )"
Workers,"Employment Status","Armed Forces",12136,"(+/- 2060 )",50192,"(+/- 3832 )",23242,"(+/- 3386 )",8477,"(+/- 1722 )",707,"(+/- 417 )",438,"(+/- 308 )",1286,"(+/- 724 )",12556,"(+/- 2214 )",209,"(+/- 179 )",2683,"(+/- 745 )",6062,"(+/- 1143 )"
Workers,"Employment Status","Not in labor force",205570,"(+/- 5881 )",193487,"(+/- 6174 )",203432,"(+/- 6731 )",226603,"(+/- 6660 )",257097,"(+/- 5874 )",249204,"(+/- 5722 )",218439,"(+/- 7445 )",157790,"(+/- 6307 )",300662,"(+/- 7620 )",188477,"(+/- 6483 )",175028,"(+/- 6426 )"
Workers,"Employment Status","Civilian labor force",422449,"(+/- 9398 )",359065,"(+/- 6987 )",366661,"(+/- 7831 )",378726,"(+/- 7644 )",353196,"(+/- 7539 )",369938,"(+/- 5427 )",425496,"(+/- 9302 )",474247,"(+/- 8528 )",291989,"(+/- 7198 )",472543,"(+/- 7578 )",449826,"(+/- 10959 )"
Workers,"Employment Status","Unemployment Rate",3.7,"(+/- 0.5 )",4.6,"(+/- 0.7 )",5.7,"(+/- 0.7 )",4.7,"(+/- 0.6 )",4.3,"(+/- 0.7 )",4.9,"(+/- 0.6 )",4.3,"(+/- 0.6 )",2.8,"(+/- 0.4 )",4.9,"(+/- 0.8 )",3.1,"(+/- 0.4 )",4.3,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",411886,"(+/- 9690 )",386023,"(+/- 7688 )",362310,"(+/- 7522 )",362216,"(+/- 8194 )",332219,"(+/- 7875 )",345315,"(+/- 6076 )",400434,"(+/- 9135 )",467535,"(+/- 8079 )",272474,"(+/- 7208 )",452086,"(+/- 7434 )",428517,"(+/- 11265 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",318350,"(+/- 8875 )",307357,"(+/- 7677 )",293933,"(+/- 7674 )",291020,"(+/- 7602 )",260506,"(+/- 8235 )",280120,"(+/- 6747 )",328089,"(+/- 9157 )",274768,"(+/- 7645 )",226002,"(+/- 6654 )",345743,"(+/- 7067 )",309682,"(+/- 9314 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",46237,"(+/- 4628 )",34690,"(+/- 3869 )",32150,"(+/- 4047 )",29357,"(+/- 3595 )",26464,"(+/- 3496 )",31168,"(+/- 3256 )",38142,"(+/- 3778 )",41408,"(+/- 4228 )",25325,"(+/- 2621 )",39416,"(+/- 4025 )",40368,"(+/- 3858 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",11489,"(+/- 1894 )",3650,"(+/- 954 )",8575,"(+/- 2165 )",9729,"(+/- 2109 )",6678,"(+/- 1657 )",5035,"(+/- 1346 )",2564,"(+/- 1149 )",90975,"(+/- 5244 )",2223,"(+/- 896 )",15942,"(+/- 1909 )",34252,"(+/- 3710 )"
Workers,"Commuting to Work",Walked,5765,"(+/- 1423 )",14814,"(+/- 2339 )",8058,"(+/- 1630 )",8387,"(+/- 1711 )",8821,"(+/- 1474 )",8260,"(+/- 1525 )",2394,"(+/- 1023 )",16313,"(+/- 2339 )",6069,"(+/- 1293 )",6936,"(+/- 1725 )",8057,"(+/- 1492 )"
Workers,"Commuting to Work","Other means",6265,"(+/- 1442 )",7432,"(+/- 1541 )",6074,"(+/- 1238 )",10635,"(+/- 2324 )",6869,"(+/- 1670 )",4108,"(+/- 1047 )",4152,"(+/- 1239 )",11759,"(+/- 1921 )",3664,"(+/- 1333 )",6513,"(+/- 1827 )",11485,"(+/- 2322 )"
Workers,"Commuting to Work","Worked at home",23780,"(+/- 2459 )",18080,"(+/- 2299 )",13520,"(+/- 2397 )",13088,"(+/- 1857 )",22881,"(+/- 2535 )",16624,"(+/- 1987 )",25093,"(+/- 2501 )",32312,"(+/- 3460 )",9191,"(+/- 1759 )",37536,"(+/- 3127 )",24673,"(+/- 2303 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",35.4,"(+/- 0.9 )",23.7,"(+/- 0.7 )",24.4,"(+/- 0.5 )",25.4,"(+/- 0.6 )",26.3,"(+/- 0.6 )",24.6,"(+/- 0.7 )",28.1,"(+/- 0.7 )",31.8,"(+/- 0.6 )",23.4,"(+/- 0.7 )",34.3,"(+/- 0.6 )",33.7,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",407016,"(+/- 9498 )",342527,"(+/- 6883 )",345853,"(+/- 7680 )",361017,"(+/- 8249 )",337931,"(+/- 8132 )",351925,"(+/- 5908 )",407212,"(+/- 9056 )",461091,"(+/- 8183 )",277766,"(+/- 7236 )",457913,"(+/- 7552 )",430664,"(+/- 10809 )"
Workers,Occupation,"Management, business, science, and arts occupations",176469,"(+/- 5460 )",142736,"(+/- 5249 )",121738,"(+/- 5075 )",134787,"(+/- 5377 )",124457,"(+/- 5715 )",126931,"(+/- 4466 )",179258,"(+/- 6778 )",272437,"(+/- 6858 )",97349,"(+/- 5009 )",258800,"(+/- 7155 )",232126,"(+/- 6306 )"
Workers,Occupation,"Service occupations",65707,"(+/- 4798 )",54718,"(+/- 4971 )",66980,"(+/- 4774 )",69387,"(+/- 4638 )",60083,"(+/- 3815 )",68188,"(+/- 4615 )",62522,"(+/- 4630 )",61097,"(+/- 5136 )",49022,"(+/- 4108 )",59109,"(+/- 4944 )",68456,"(+/- 5025 )"
Workers,Occupation,"Sales and office occupations",88280,"(+/- 4575 )",73070,"(+/- 4009 )",69678,"(+/- 4414 )",76514,"(+/- 4687 )",67931,"(+/- 4426 )",75007,"(+/- 3787 )",88830,"(+/- 6234 )",70751,"(+/- 4124 )",55349,"(+/- 3618 )",80257,"(+/- 4131 )",78255,"(+/- 4771 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",39774,"(+/- 3660 )",35439,"(+/- 3029 )",34682,"(+/- 2959 )",27453,"(+/- 2960 )",32184,"(+/- 2758 )",32339,"(+/- 3443 )",32340,"(+/- 3356 )",29339,"(+/- 3870 )",28444,"(+/- 2008 )",29569,"(+/- 2702 )",23249,"(+/- 2878 )"
Workers,Occupation,"Production, transportation, and material moving occupations",36786,"(+/- 3594 )",36564,"(+/- 3599 )",52775,"(+/- 4715 )",52876,"(+/- 4353 )",53276,"(+/- 3976 )",49460,"(+/- 3482 )",44262,"(+/- 3537 )",27467,"(+/- 3674 )",47602,"(+/- 4003 )",30178,"(+/- 3024 )",28578,"(+/- 3165 )"
Workers,Industry,"Civilian employed population 16 years and over",407016,"(+/- 9498 )",342527,"(+/- 6883 )",345853,"(+/- 7680 )",361017,"(+/- 8249 )",337931,"(+/- 8132 )",351925,"(+/- 5908 )",407212,"(+/- 9056 )",461091,"(+/- 8183 )",277766,"(+/- 7236 )",457913,"(+/- 7552 )",430664,"(+/- 10809 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3421,"(+/- 1081 )",2995,"(+/- 1169 )",884,"(+/- 401 )",1759,"(+/- 828 )",7589,"(+/- 1625 )",6412,"(+/- 1393 )",4392,"(+/- 2127 )",1046,"(+/- 513 )",7467,"(+/- 1512 )",2733,"(+/- 1096 )",310,"(+/- 219 )"
Workers,Industry,Construction,39328,"(+/- 3889 )",23939,"(+/- 2618 )",22464,"(+/- 2615 )",22527,"(+/- 2861 )",25015,"(+/- 2906 )",22996,"(+/- 2530 )",30282,"(+/- 3280 )",28804,"(+/- 3605 )",17583,"(+/- 2245 )",28920,"(+/- 3070 )",24304,"(+/- 2363 )"
Workers,Industry,Manufacturing,18248,"(+/- 2114 )",25691,"(+/- 3050 )",40293,"(+/- 4350 )",32807,"(+/- 3318 )",34136,"(+/- 2958 )",37263,"(+/- 3138 )",24928,"(+/- 2833 )",10390,"(+/- 1480 )",39393,"(+/- 3131 )",21092,"(+/- 2330 )",10375,"(+/- 1884 )"
Workers,Industry,"Wholesale trade",8632,"(+/- 1493 )",6194,"(+/- 1333 )",6453,"(+/- 1291 )",6727,"(+/- 1261 )",5557,"(+/- 1312 )",8822,"(+/- 1548 )",10086,"(+/- 1581 )",3554,"(+/- 1091 )",4950,"(+/- 1169 )",5419,"(+/- 1271 )",4462,"(+/- 1235 )"
Workers,Industry,"Retail trade",47225,"(+/- 4854 )",38800,"(+/- 3310 )",36695,"(+/- 3668 )",39592,"(+/- 3962 )",38395,"(+/- 3417 )",40567,"(+/- 3288 )",43598,"(+/- 3901 )",30385,"(+/- 3006 )",30395,"(+/- 2906 )",40972,"(+/- 3786 )",37358,"(+/- 3905 )"
Workers,Industry,"Transportation and warehousing, and utilities",18777,"(+/- 2472 )",13785,"(+/- 2492 )",16170,"(+/- 2072 )",21927,"(+/- 2379 )",17626,"(+/- 2182 )",15248,"(+/- 2082 )",25338,"(+/- 2837 )",17705,"(+/- 2706 )",12363,"(+/- 2142 )",17415,"(+/- 2296 )",18098,"(+/- 2580 )"
Workers,Industry,Information,7285,"(+/- 1474 )",5218,"(+/- 1206 )",5105,"(+/- 1340 )",5527,"(+/- 1463 )",4134,"(+/- 1205 )",5895,"(+/- 1100 )",7039,"(+/- 1286 )",11899,"(+/- 1559 )",3613,"(+/- 1273 )",11169,"(+/- 1654 )",9409,"(+/- 1382 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24649,"(+/- 2870 )",22134,"(+/- 2058 )",14227,"(+/- 2048 )",26112,"(+/- 2564 )",14117,"(+/- 2013 )",17484,"(+/- 2197 )",39452,"(+/- 2980 )",28926,"(+/- 2551 )",9841,"(+/- 1637 )",28228,"(+/- 3120 )",27893,"(+/- 2718 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",57139,"(+/- 4504 )",43941,"(+/- 3493 )",38444,"(+/- 3282 )",41510,"(+/- 3700 )",33089,"(+/- 2806 )",27334,"(+/- 2885 )",50236,"(+/- 3859 )",113955,"(+/- 4858 )",21735,"(+/- 2528 )",124296,"(+/- 5838 )",101970,"(+/- 5155 )"
Workers,Industry,"Educational services, and health care and social assistance",82931,"(+/- 5016 )",75629,"(+/- 4200 )",82536,"(+/- 4594 )",80984,"(+/- 4765 )",93644,"(+/- 4715 )",95917,"(+/- 4333 )",90519,"(+/- 4598 )",74726,"(+/- 4187 )",79656,"(+/- 4428 )",84273,"(+/- 4958 )",83093,"(+/- 4289 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",35162,"(+/- 3458 )",36424,"(+/- 3646 )",33449,"(+/- 3730 )",34249,"(+/- 3728 )",27503,"(+/- 2752 )",38575,"(+/- 2876 )",33627,"(+/- 3751 )",36520,"(+/- 4124 )",23073,"(+/- 2335 )",34147,"(+/- 3390 )",39487,"(+/- 3492 )"
Workers,Industry,"Other services, except public administration",20001,"(+/- 2766 )",14154,"(+/- 1988 )",16575,"(+/- 2240 )",15535,"(+/- 1995 )",18601,"(+/- 2152 )",19204,"(+/- 2410 )",20713,"(+/- 2660 )",34068,"(+/- 3103 )",13417,"(+/- 1832 )",20472,"(+/- 2433 )",27220,"(+/- 2845 )"
Workers,Industry,"Public administration",44218,"(+/- 2675 )",33623,"(+/- 3684 )",32558,"(+/- 3512 )",31761,"(+/- 2611 )",18525,"(+/- 2259 )",16208,"(+/- 2179 )",27002,"(+/- 2789 )",69113,"(+/- 3933 )",14280,"(+/- 2641 )",38777,"(+/- 3157 )",46685,"(+/- 3196 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",407016,"(+/- 9498 )",342527,"(+/- 6883 )",345853,"(+/- 7680 )",361017,"(+/- 8249 )",337931,"(+/- 8132 )",351925,"(+/- 5908 )",407212,"(+/- 9056 )",461091,"(+/- 8183 )",277766,"(+/- 7236 )",457913,"(+/- 7552 )",430664,"(+/- 10809 )"
Workers,"Class of Worker","Private wage and salary workers",295705,"(+/- 9478 )",251438,"(+/- 7333 )",256148,"(+/- 7702 )",274344,"(+/- 7852 )",251088,"(+/- 7179 )",276132,"(+/- 6214 )",315412,"(+/- 8681 )",329358,"(+/- 8235 )",206797,"(+/- 6204 )",356608,"(+/- 8684 )",318995,"(+/- 9633 )"
Workers,"Class of Worker","Government workers",91078,"(+/- 4376 )",74227,"(+/- 4222 )",77001,"(+/- 4170 )",72365,"(+/- 4026 )",62533,"(+/- 4353 )",56037,"(+/- 3538 )",65592,"(+/- 4565 )",107050,"(+/- 4699 )",56407,"(+/- 4626 )",78635,"(+/- 5184 )",89208,"(+/- 4695 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19809,"(+/- 2576 )",16305,"(+/- 2153 )",12199,"(+/- 1889 )",13933,"(+/- 1966 )",23379,"(+/- 2504 )",19377,"(+/- 2888 )",25503,"(+/- 3175 )",23489,"(+/- 2914 )",14287,"(+/- 1820 )",21511,"(+/- 2344 )",21881,"(+/- 2333 )"
Workers,"Class of Worker","Unpaid family workers",424,"(+/- 263 )",557,"(+/- 350 )",505,"(+/- 318 )",375,"(+/- 236 )",931,"(+/- 431 )",379,"(+/- 252 )",705,"(+/- 397 )",1194,"(+/- 672 )",275,"(+/- 201 )",1159,"(+/- 658 )",580,"(+/- 352 )"
Housing,"Housing Occupancy","Total housing units",316325,"(+/- 3598 )",312712,"(+/- 2658 )",320042,"(+/- 3894 )",313086,"(+/- 4593 )",355663,"(+/- 3138 )",332873,"(+/- 1919 )",317596,"(+/- 4321 )",343653,"(+/- 3877 )",347365,"(+/- 2361 )",297507,"(+/- 3331 )",282163,"(+/- 4510 )"
Housing,"Housing Occupancy","Occupied housing units",282681,"(+/- 4594 )",279178,"(+/- 3971 )",290156,"(+/- 4458 )",283821,"(+/- 5751 )",290897,"(+/- 4627 )",290904,"(+/- 4546 )",296940,"(+/- 4562 )",324141,"(+/- 4380 )",283318,"(+/- 4659 )",285017,"(+/- 3675 )",268471,"(+/- 4985 )"
Housing,"Housing Occupancy","Vacant housing units",33644,"(+/- 3107 )",33534,"(+/- 3051 )",29886,"(+/- 3357 )",29265,"(+/- 3288 )",64766,"(+/- 3782 )",41969,"(+/- 4270 )",20656,"(+/- 2416 )",19512,"(+/- 3148 )",64047,"(+/- 4381 )",12490,"(+/- 2191 )",13692,"(+/- 2656 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,"(+/- 0.5 )",1.3,"(+/- 0.4 )",3.6,"(+/- 0.8 )",2.3,"(+/- 0.7 )",1.9,"(+/- 0.6 )",1.7,"(+/- 0.7 )",0.6,"(+/- 0.3 )",0.8,"(+/- 0.4 )",1.3,"(+/- 0.4 )",0.8,"(+/- 0.4 )",0.7,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.7,"(+/- 1.8 )",6.1,"(+/- 1.3 )",6.0,"(+/- 1.4 )",4.0,"(+/- 1.2 )",3.9,"(+/- 1.2 )",5.4,"(+/- 1.5 )",4.6,"(+/- 1.3 )",4.0,"(+/- 1.0 )",8.0,"(+/- 1.8 )",2.9,"(+/- 1.3 )",6.0,"(+/- 1.7 )"
Housing,"Housing Tenure","Occupied housing units",282681,"(+/- 4594 )",279178,"(+/- 3971 )",290156,"(+/- 4458 )",283821,"(+/- 5751 )",290897,"(+/- 4627 )",290904,"(+/- 4546 )",296940,"(+/- 4562 )",324141,"(+/- 4380 )",283318,"(+/- 4659 )",285017,"(+/- 3675 )",268471,"(+/- 4985 )"
Housing,"Housing Tenure",Owner-occupied,215669,"(+/- 4369 )",173846,"(+/- 3778 )",153184,"(+/- 4569 )",171602,"(+/- 5109 )",203318,"(+/- 4935 )",190016,"(+/- 4555 )",216694,"(+/- 4538 )",169249,"(+/- 3880 )",199796,"(+/- 4265 )",218063,"(+/- 4144 )",181768,"(+/- 4133 )"
Housing,"Housing Tenure",Renter-occupied,67012,"(+/- 4199 )",105332,"(+/- 4402 )",136972,"(+/- 5084 )",112219,"(+/- 3848 )",87579,"(+/- 3546 )",100888,"(+/- 4493 )",80246,"(+/- 4284 )",154892,"(+/- 4935 )",83522,"(+/- 3734 )",66954,"(+/- 4040 )",86703,"(+/- 4019 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.85,"(+/- 0.05 )",2.57,"(+/- 0.04 )",2.57,"(+/- 0.05 )",2.54,"(+/- 0.06 )",2.45,"(+/- 0.04 )",2.52,"(+/- 0.05 )",2.77,"(+/- 0.04 )",2.55,"(+/- 0.05 )",2.39,"(+/- 0.04 )",3.09,"(+/- 0.04 )",2.99,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.75,"(+/- 0.11 )",2.47,"(+/- 0.07 )",2.36,"(+/- 0.06 )",2.50,"(+/- 0.07 )",2.38,"(+/- 0.09 )",2.39,"(+/- 0.08 )",2.49,"(+/- 0.08 )",2.31,"(+/- 0.06 )",2.32,"(+/- 0.08 )",2.72,"(+/- 0.11 )",2.86,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",282681,"(+/- 4594 )",279178,"(+/- 3971 )",290156,"(+/- 4458 )",283821,"(+/- 5751 )",290897,"(+/- 4627 )",290904,"(+/- 4546 )",296940,"(+/- 4562 )",324141,"(+/- 4380 )",283318,"(+/- 4659 )",285017,"(+/- 3675 )",268471,"(+/- 4985 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",46521,"(+/- 3871 )",62883,"(+/- 4072 )",70363,"(+/- 4211 )",58704,"(+/- 3302 )",47041,"(+/- 3497 )",54831,"(+/- 3532 )",50091,"(+/- 3543 )",85589,"(+/- 4219 )",42235,"(+/- 3241 )",47889,"(+/- 3100 )",55982,"(+/- 3172 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",43655,"(+/- 3078 )",46871,"(+/- 3260 )",49646,"(+/- 3788 )",47106,"(+/- 3589 )",40622,"(+/- 3204 )",42749,"(+/- 2749 )",45618,"(+/- 3802 )",63380,"(+/- 3492 )",37784,"(+/- 3059 )",48832,"(+/- 3558 )",46528,"(+/- 3151 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",54674,"(+/- 3449 )",47772,"(+/- 3859 )",55313,"(+/- 3920 )",46730,"(+/- 3442 )",42508,"(+/- 3409 )",49594,"(+/- 3086 )",52310,"(+/- 3240 )",56578,"(+/- 3695 )",41079,"(+/- 3322 )",56946,"(+/- 3103 )",45904,"(+/- 3110 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",73201,"(+/- 4228 )",53616,"(+/- 3200 )",53511,"(+/- 3117 )",57333,"(+/- 3462 )",65795,"(+/- 3860 )",62572,"(+/- 3482 )",75101,"(+/- 3853 )",62106,"(+/- 3386 )",59969,"(+/- 3633 )",76715,"(+/- 3435 )",62257,"(+/- 2970 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",34261,"(+/- 2780 )",33579,"(+/- 2475 )",27059,"(+/- 2254 )",34297,"(+/- 2852 )",40656,"(+/- 2558 )",39130,"(+/- 3188 )",39972,"(+/- 3094 )",29214,"(+/- 2124 )",40877,"(+/- 3000 )",33301,"(+/- 2161 )",33304,"(+/- 2309 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",30369,"(+/- 2259 )",34457,"(+/- 2102 )",34264,"(+/- 2846 )",39651,"(+/- 2464 )",54275,"(+/- 3378 )",42028,"(+/- 2470 )",33848,"(+/- 2482 )",27274,"(+/- 1872 )",61374,"(+/- 2950 )",21334,"(+/- 1904 )",24496,"(+/- 1825 )"
Housing,Value,"Owner-occupied units",215669,"(+/- 4369 )",173846,"(+/- 3778 )",153184,"(+/- 4569 )",171602,"(+/- 5109 )",203318,"(+/- 4935 )",190016,"(+/- 4555 )",216694,"(+/- 4538 )",169249,"(+/- 3880 )",199796,"(+/- 4265 )",218063,"(+/- 4144 )",181768,"(+/- 4133 )"
Housing,Value,"Less than $50,000",6078,"(+/- 1236 )",4730,"(+/- 991 )",5901,"(+/- 1188 )",5056,"(+/- 1109 )",16993,"(+/- 2008 )",9301,"(+/- 1655 )",5008,"(+/- 975 )",1841,"(+/- 547 )",31536,"(+/- 2464 )",2958,"(+/- 809 )",2752,"(+/- 817 )"
Housing,Value,"$50,000 to $99,999",5379,"(+/- 1366 )",5722,"(+/- 1251 )",8396,"(+/- 1526 )",14467,"(+/- 1614 )",29692,"(+/- 2536 )",15428,"(+/- 1728 )",4973,"(+/- 973 )",841,"(+/- 615 )",50418,"(+/- 3290 )",929,"(+/- 360 )",728,"(+/- 376 )"
Housing,Value,"$100,000 to $149,999",9159,"(+/- 1469 )",11425,"(+/- 1775 )",22466,"(+/- 2318 )",24403,"(+/- 2516 )",29790,"(+/- 2323 )",33152,"(+/- 2881 )",14274,"(+/- 2069 )",2193,"(+/- 908 )",35075,"(+/- 2962 )",3130,"(+/- 795 )",1390,"(+/- 601 )"
Housing,Value,"$150,000 to $199,999",21965,"(+/- 2335 )",22406,"(+/- 1838 )",35653,"(+/- 3075 )",30289,"(+/- 2404 )",33021,"(+/- 2867 )",39680,"(+/- 2783 )",31163,"(+/- 2751 )",6981,"(+/- 1295 )",33551,"(+/- 2264 )",6971,"(+/- 1367 )",4314,"(+/- 1082 )"
Housing,Value,"$200,000 to $299,999",52780,"(+/- 2869 )",54243,"(+/- 2604 )",50174,"(+/- 3412 )",42736,"(+/- 3140 )",33824,"(+/- 2353 )",50055,"(+/- 3290 )",72034,"(+/- 3500 )",13631,"(+/- 1810 )",26261,"(+/- 2163 )",23829,"(+/- 2330 )",22388,"(+/- 2360 )"
Housing,Value,"$300,000 to $499,999",85818,"(+/- 3703 )",51813,"(+/- 2833 )",24533,"(+/- 2069 )",40827,"(+/- 2677 )",34461,"(+/- 2628 )",32908,"(+/- 1980 )",67058,"(+/- 3585 )",45964,"(+/- 2687 )",16781,"(+/- 2074 )",69799,"(+/- 3296 )",66007,"(+/- 3037 )"
Housing,Value,"$500,000 to $999,999",31541,"(+/- 2291 )",19976,"(+/- 1871 )",5120,"(+/- 757 )",11935,"(+/- 1726 )",20593,"(+/- 1645 )",7898,"(+/- 1494 )",20105,"(+/- 1777 )",77970,"(+/- 3152 )",5330,"(+/- 1365 )",93329,"(+/- 3801 )",77079,"(+/- 2641 )"
Housing,Value,"$1,000,000 or more",2949,"(+/- 865 )",3531,"(+/- 801 )",941,"(+/- 396 )",1889,"(+/- 621 )",4944,"(+/- 1165 )",1594,"(+/- 556 )",2079,"(+/- 577 )",19828,"(+/- 1570 )",844,"(+/- 422 )",17118,"(+/- 1823 )",7110,"(+/- 1056 )"
