Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
Housing,"Housing Tenure",Renter-occupied,96541,"(+/- 4049 )",105892,"(+/- 4355 )",101492,"(+/- 4109 )",76090,"(+/- 3401 )",105432,"(+/- 4438 )",142471,"(+/- 5636 )",93039,"(+/- 4008 )",83936,"(+/- 3973 )",98908,"(+/- 3464 )",94701,"(+/- 4575 )",98965,"(+/- 4146 )",212953,"(+/- 5437 )",160744,"(+/- 4171 )",99813,"(+/- 4276 )",88774,"(+/- 2845 )",111831,"(+/- 4368 )",123206,"(+/- 4886 )",107747,"(+/- 4477 )",98117,"(+/- 4384 )",104461,"(+/- 3757 )",95898,"(+/- 3909 )",100646,"(+/- 4738 )",97482,"(+/- 5091 )",113651,"(+/- 3846 )",67513,"(+/- 3754 )",89389,"(+/- 3591 )",115145,"(+/- 4280 )",195011,"(+/- 5898 )",118512,"(+/- 3587 )",136074,"(+/- 5699 )",99150,"(+/- 4048 )",79690,"(+/- 3516 )",142173,"(+/- 4955 )",207354,"(+/- 4840 )",85766,"(+/- 3270 )",87732,"(+/- 4051 )",176159,"(+/- 6079 )",79266,"(+/- 3883 )",76280,"(+/- 3687 )",122171,"(+/- 3992 )",74934,"(+/- 4030 )",59909,"(+/- 3893 )",147269,"(+/- 4926 )",100101,"(+/- 4393 )",102740,"(+/- 4345 )",107729,"(+/- 3941 )",133062,"(+/- 5026 )",117536,"(+/- 4093 )",98310,"(+/- 4941 )",90426,"(+/- 4420 )",109005,"(+/- 5047 )",134302,"(+/- 6267 )",140960,"(+/- 5117 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.45,"(+/- 0.05 )",2.52,"(+/- 0.04 )",2.95,"(+/- 0.06 )",2.63,"(+/- 0.04 )",2.77,"(+/- 0.05 )",2.90,"(+/- 0.08 )",2.83,"(+/- 0.05 )",2.95,"(+/- 0.09 )",3.12,"(+/- 0.06 )",3.13,"(+/- 0.07 )",2.82,"(+/- 0.05 )",2.61,"(+/- 0.06 )",2.74,"(+/- 0.07 )",3.06,"(+/- 0.06 )",3.12,"(+/- 0.06 )",3.37,"(+/- 0.08 )",3.04,"(+/- 0.06 )",2.80,"(+/- 0.05 )",3.25,"(+/- 0.08 )",3.00,"(+/- 0.07 )",3.50,"(+/- 0.12 )",3.09,"(+/- 0.08 )",2.93,"(+/- 0.07 )",2.69,"(+/- 0.06 )",3.18,"(+/- 0.06 )",3.05,"(+/- 0.08 )",2.99,"(+/- 0.07 )",2.70,"(+/- 0.08 )",3.74,"(+/- 0.12 )",2.88,"(+/- 0.06 )",3.33,"(+/- 0.08 )",3.63,"(+/- 0.07 )",2.59,"(+/- 0.06 )",3.21,"(+/- 0.12 )",3.82,"(+/- 0.10 )",2.54,"(+/- 0.07 )",2.88,"(+/- 0.09 )",3.54,"(+/- 0.09 )",3.25,"(+/- 0.07 )",4.04,"(+/- 0.12 )",4.15,"(+/- 0.10 )",3.62,"(+/- 0.08 )",3.09,"(+/- 0.08 )",4.05,"(+/- 0.12 )",2.80,"(+/- 0.05 )",3.79,"(+/- 0.12 )",2.93,"(+/- 0.08 )",2.73,"(+/- 0.07 )",2.80,"(+/- 0.06 )",2.97,"(+/- 0.07 )",3.74,"(+/- 0.11 )",2.67,"(+/- 0.06 )",3.01,"(+/- 0.09 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.46,"(+/- 0.06 )",2.39,"(+/- 0.06 )",2.84,"(+/- 0.08 )",2.55,"(+/- 0.09 )",2.66,"(+/- 0.08 )",2.68,"(+/- 0.06 )",2.66,"(+/- 0.08 )",3.12,"(+/- 0.13 )",3.23,"(+/- 0.09 )",3.14,"(+/- 0.08 )",2.77,"(+/- 0.07 )",2.11,"(+/- 0.05 )",2.45,"(+/- 0.06 )",2.83,"(+/- 0.07 )",3.05,"(+/- 0.09 )",3.43,"(+/- 0.09 )",2.82,"(+/- 0.09 )",2.57,"(+/- 0.07 )",3.15,"(+/- 0.11 )",3.32,"(+/- 0.09 )",3.59,"(+/- 0.09 )",3.09,"(+/- 0.10 )",2.97,"(+/- 0.12 )",2.79,"(+/- 0.08 )",3.15,"(+/- 0.14 )",3.23,"(+/- 0.11 )",2.76,"(+/- 0.07 )",2.16,"(+/- 0.05 )",3.13,"(+/- 0.08 )",2.60,"(+/- 0.08 )",3.21,"(+/- 0.12 )",3.57,"(+/- 0.13 )",2.13,"(+/- 0.05 )",2.65,"(+/- 0.07 )",3.65,"(+/- 0.12 )",2.59,"(+/- 0.11 )",2.48,"(+/- 0.07 )",3.33,"(+/- 0.10 )",3.19,"(+/- 0.12 )",3.82,"(+/- 0.09 )",3.83,"(+/- 0.13 )",3.78,"(+/- 0.17 )",2.98,"(+/- 0.08 )",3.49,"(+/- 0.11 )",2.78,"(+/- 0.10 )",3.71,"(+/- 0.10 )",2.71,"(+/- 0.07 )",2.61,"(+/- 0.08 )",2.79,"(+/- 0.09 )",3.12,"(+/- 0.12 )",3.37,"(+/- 0.11 )",2.42,"(+/- 0.07 )",2.70,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",279836,"(+/- 4158 )",284468,"(+/- 3205 )",250729,"(+/- 3958 )",283468,"(+/- 4721 )",263687,"(+/- 4569 )",275253,"(+/- 4813 )",267550,"(+/- 4502 )",232969,"(+/- 4936 )",239810,"(+/- 4055 )",240621,"(+/- 2912 )",269243,"(+/- 3395 )",327144,"(+/- 4531 )",288611,"(+/- 3778 )",251995,"(+/- 4472 )",251826,"(+/- 3968 )",214157,"(+/- 4494 )",260959,"(+/- 4993 )",270798,"(+/- 4847 )",233952,"(+/- 3668 )",225394,"(+/- 3220 )",190073,"(+/- 4477 )",247092,"(+/- 5001 )",247855,"(+/- 5019 )",256673,"(+/- 3440 )",222661,"(+/- 4732 )",229606,"(+/- 2824 )",239888,"(+/- 4561 )",297507,"(+/- 6059 )",207024,"(+/- 4243 )",275934,"(+/- 7090 )",222791,"(+/- 5581 )",195295,"(+/- 4365 )",288478,"(+/- 5198 )",260836,"(+/- 5331 )",201610,"(+/- 3996 )",289261,"(+/- 4821 )",274939,"(+/- 6719 )",204009,"(+/- 4323 )",222659,"(+/- 4072 )",183200,"(+/- 4056 )",188128,"(+/- 4398 )",223844,"(+/- 4597 )",245576,"(+/- 4584 )",190906,"(+/- 4793 )",281020,"(+/- 4563 )",191713,"(+/- 3850 )",249015,"(+/- 4678 )",266926,"(+/- 4598 )",254413,"(+/- 5597 )",245440,"(+/- 4899 )",201521,"(+/- 5507 )",289177,"(+/- 5908 )",274582,"(+/- 6126 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",49829,"(+/- 3293 )",43779,"(+/- 3737 )",49822,"(+/- 3565 )",51052,"(+/- 3616 )",42872,"(+/- 3793 )",63283,"(+/- 4047 )",43170,"(+/- 3281 )",45064,"(+/- 3515 )",38074,"(+/- 2866 )",39311,"(+/- 3284 )",43915,"(+/- 3388 )",66897,"(+/- 5520 )",51567,"(+/- 2754 )",40174,"(+/- 3314 )",41474,"(+/- 3609 )",39096,"(+/- 3345 )",60192,"(+/- 3569 )",48600,"(+/- 3349 )",37756,"(+/- 3588 )",34125,"(+/- 2592 )",33073,"(+/- 2757 )",49180,"(+/- 3647 )",45880,"(+/- 4286 )",49269,"(+/- 3403 )",30561,"(+/- 2974 )",30770,"(+/- 2543 )",38011,"(+/- 2976 )",53953,"(+/- 3738 )",28137,"(+/- 2507 )",47005,"(+/- 3319 )",36223,"(+/- 3338 )",22812,"(+/- 2006 )",56990,"(+/- 3386 )",53259,"(+/- 3660 )",32919,"(+/- 2827 )",44518,"(+/- 3222 )",46453,"(+/- 3140 )",23557,"(+/- 2325 )",34710,"(+/- 2927 )",22810,"(+/- 2401 )",33028,"(+/- 2963 )",40263,"(+/- 2926 )",38506,"(+/- 3352 )",21871,"(+/- 2288 )",57364,"(+/- 3911 )",30625,"(+/- 3119 )",38043,"(+/- 3270 )",51464,"(+/- 3121 )",50615,"(+/- 3964 )",43523,"(+/- 3087 )",32708,"(+/- 2901 )",77171,"(+/- 5161 )",63055,"(+/- 4097 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",42538,"(+/- 3001 )",38229,"(+/- 2710 )",42763,"(+/- 2891 )",43024,"(+/- 3545 )",41036,"(+/- 2907 )",50450,"(+/- 3375 )",46184,"(+/- 3420 )",39821,"(+/- 3554 )",43040,"(+/- 3778 )",42169,"(+/- 3358 )",39056,"(+/- 3121 )",44205,"(+/- 3867 )",41695,"(+/- 3010 )",30950,"(+/- 2909 )",45049,"(+/- 2782 )",41709,"(+/- 3064 )",42843,"(+/- 3818 )",39374,"(+/- 3162 )",35972,"(+/- 2966 )",33869,"(+/- 3148 )",26901,"(+/- 2634 )",45622,"(+/- 3781 )",46631,"(+/- 3524 )",42692,"(+/- 3359 )",37272,"(+/- 2970 )",37724,"(+/- 2838 )",33833,"(+/- 3044 )",46916,"(+/- 3473 )",27351,"(+/- 2230 )",42212,"(+/- 3886 )",40100,"(+/- 3460 )",23603,"(+/- 2337 )",43215,"(+/- 3460 )",44987,"(+/- 2833 )",31347,"(+/- 2726 )",56063,"(+/- 4122 )",45180,"(+/- 3386 )",25903,"(+/- 2435 )",32941,"(+/- 2772 )",23293,"(+/- 2207 )",31840,"(+/- 2945 )",39167,"(+/- 3189 )",41059,"(+/- 2615 )",29419,"(+/- 2521 )",51489,"(+/- 4129 )",30359,"(+/- 2696 )",46217,"(+/- 3990 )",43159,"(+/- 2943 )",43653,"(+/- 3384 )",43059,"(+/- 3237 )",34311,"(+/- 3279 )",52769,"(+/- 4163 )",53445,"(+/- 3700 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",53765,"(+/- 3541 )",53944,"(+/- 3820 )",50693,"(+/- 3614 )",58442,"(+/- 3706 )",58542,"(+/- 3975 )",61201,"(+/- 4139 )",57123,"(+/- 3244 )",52841,"(+/- 4043 )",59146,"(+/- 3244 )",55440,"(+/- 3524 )",58811,"(+/- 3762 )",74037,"(+/- 3997 )",69346,"(+/- 3878 )",48351,"(+/- 3372 )",56021,"(+/- 2923 )",52128,"(+/- 3046 )",50124,"(+/- 3546 )",53170,"(+/- 3715 )",50492,"(+/- 3516 )",51183,"(+/- 3258 )",44958,"(+/- 3178 )",49593,"(+/- 3668 )",55732,"(+/- 4475 )",53321,"(+/- 3564 )",50148,"(+/- 2944 )",48485,"(+/- 3437 )",46655,"(+/- 3074 )",70493,"(+/- 3778 )",48935,"(+/- 2976 )",56320,"(+/- 3863 )",51509,"(+/- 3846 )",41507,"(+/- 2401 )",60745,"(+/- 3441 )",60529,"(+/- 3454 )",47985,"(+/- 2776 )",70498,"(+/- 4162 )",61137,"(+/- 3538 )",40401,"(+/- 3053 )",41421,"(+/- 2827 )",48985,"(+/- 2888 )",42507,"(+/- 3264 )",48409,"(+/- 3418 )",58116,"(+/- 3520 )",43023,"(+/- 2917 )",54444,"(+/- 3993 )",45770,"(+/- 3327 )",54194,"(+/- 2612 )",50118,"(+/- 3425 )",52063,"(+/- 3326 )",52704,"(+/- 3279 )",44453,"(+/- 3320 )",51001,"(+/- 3660 )",54734,"(+/- 3544 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",63842,"(+/- 3365 )",65163,"(+/- 3051 )",54633,"(+/- 3285 )",68866,"(+/- 3908 )",59938,"(+/- 3251 )",54604,"(+/- 3290 )",62643,"(+/- 2992 )",52071,"(+/- 3332 )",56230,"(+/- 3402 )",55800,"(+/- 3665 )",57053,"(+/- 3862 )",65839,"(+/- 4140 )",59188,"(+/- 3244 )",57699,"(+/- 3172 )",54374,"(+/- 3219 )",39837,"(+/- 3263 )",52424,"(+/- 3591 )",56635,"(+/- 3524 )",55031,"(+/- 3417 )",51935,"(+/- 3345 )",43409,"(+/- 3234 )",50297,"(+/- 3128 )",54834,"(+/- 3875 )",51903,"(+/- 2904 )",54943,"(+/- 3283 )",49465,"(+/- 3131 )",55590,"(+/- 3078 )",59234,"(+/- 4348 )",49424,"(+/- 2904 )",61736,"(+/- 4260 )",48685,"(+/- 3651 )",46140,"(+/- 3271 )",49894,"(+/- 2695 )",51244,"(+/- 2517 )",46194,"(+/- 3002 )",75104,"(+/- 4371 )",57782,"(+/- 3503 )",44041,"(+/- 2825 )",47331,"(+/- 2882 )",45542,"(+/- 2933 )",44742,"(+/- 2874 )",62423,"(+/- 3535 )",50902,"(+/- 3295 )",44896,"(+/- 3303 )",57812,"(+/- 3616 )",41228,"(+/- 3308 )",52269,"(+/- 3113 )",52690,"(+/- 3573 )",55527,"(+/- 3353 )",55783,"(+/- 3136 )",47634,"(+/- 3961 )",49590,"(+/- 3952 )",52310,"(+/- 3567 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",35952,"(+/- 2518 )",37346,"(+/- 2885 )",27632,"(+/- 2382 )",35425,"(+/- 2211 )",29788,"(+/- 2048 )",20766,"(+/- 2127 )",29790,"(+/- 2511 )",23876,"(+/- 2406 )",22138,"(+/- 2450 )",25177,"(+/- 2651 )",33971,"(+/- 2514 )",36839,"(+/- 2750 )",31660,"(+/- 2738 )",32257,"(+/- 2302 )",25862,"(+/- 2117 )",20528,"(+/- 2214 )",26988,"(+/- 2288 )",33285,"(+/- 2358 )",26200,"(+/- 2025 )",27389,"(+/- 2116 )",20731,"(+/- 2440 )",28501,"(+/- 2171 )",25454,"(+/- 2488 )",27310,"(+/- 2574 )",27048,"(+/- 2329 )",31753,"(+/- 2276 )",30886,"(+/- 2501 )",38563,"(+/- 3264 )",28857,"(+/- 2633 )",35231,"(+/- 2530 )",23505,"(+/- 2290 )",30521,"(+/- 2142 )",33388,"(+/- 2644 )",27765,"(+/- 2537 )",23430,"(+/- 2338 )",26557,"(+/- 2438 )",32298,"(+/- 2863 )",30065,"(+/- 2183 )",32505,"(+/- 2547 )",23128,"(+/- 1892 )",19400,"(+/- 1868 )",22247,"(+/- 2113 )",27973,"(+/- 2407 )",24912,"(+/- 2488 )",35468,"(+/- 3189 )",22818,"(+/- 2054 )",29974,"(+/- 2367 )",37273,"(+/- 2529 )",28466,"(+/- 2333 )",28468,"(+/- 2819 )",19539,"(+/- 2238 )",29037,"(+/- 2491 )",23535,"(+/- 2310 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",33910,"(+/- 2461 )",46007,"(+/- 2928 )",25186,"(+/- 2095 )",26659,"(+/- 2268 )",31511,"(+/- 2467 )",24949,"(+/- 2490 )",28640,"(+/- 2259 )",19296,"(+/- 2020 )",21182,"(+/- 2024 )",22724,"(+/- 2249 )",36437,"(+/- 2677 )",39327,"(+/- 3138 )",35155,"(+/- 2264 )",42564,"(+/- 2534 )",29046,"(+/- 2368 )",20859,"(+/- 2079 )",28388,"(+/- 2351 )",39734,"(+/- 2668 )",28501,"(+/- 1830 )",26893,"(+/- 2254 )",21001,"(+/- 2038 )",23899,"(+/- 2237 )",19324,"(+/- 2119 )",32178,"(+/- 2251 )",22689,"(+/- 1822 )",31409,"(+/- 2449 )",34913,"(+/- 2943 )",28348,"(+/- 1856 )",24320,"(+/- 1656 )",33430,"(+/- 2143 )",22769,"(+/- 2248 )",30712,"(+/- 2466 )",44246,"(+/- 2913 )",23052,"(+/- 2078 )",19735,"(+/- 1988 )",16521,"(+/- 1904 )",32089,"(+/- 2770 )",40042,"(+/- 2436 )",33751,"(+/- 2155 )",19442,"(+/- 1800 )",16611,"(+/- 1700 )",11335,"(+/- 1382 )",29020,"(+/- 2010 )",26785,"(+/- 2080 )",24443,"(+/- 1960 )",20913,"(+/- 1862 )",28318,"(+/- 2172 )",32222,"(+/- 2352 )",24089,"(+/- 2237 )",21903,"(+/- 1949 )",22876,"(+/- 2078 )",29609,"(+/- 2243 )",27503,"(+/- 2206 )"
Housing,Value,"Owner-occupied units",183295,"(+/- 4096 )",178576,"(+/- 4033 )",149237,"(+/- 3986 )",207378,"(+/- 4425 )",158255,"(+/- 4644 )",132782,"(+/- 4968 )",174511,"(+/- 4340 )",149033,"(+/- 4998 )",140902,"(+/- 4392 )",145920,"(+/- 5045 )",170278,"(+/- 4318 )",114191,"(+/- 4200 )",127867,"(+/- 3685 )",152182,"(+/- 3910 )",163052,"(+/- 4153 )",102326,"(+/- 3810 )",137753,"(+/- 4203 )",163051,"(+/- 4392 )",135835,"(+/- 3713 )",120933,"(+/- 3387 )",94175,"(+/- 3707 )",146446,"(+/- 4801 )",150373,"(+/- 5309 )",143022,"(+/- 3282 )",155148,"(+/- 4807 )",140217,"(+/- 3545 )",124743,"(+/- 3532 )",102496,"(+/- 3891 )",88512,"(+/- 3173 )",139860,"(+/- 4797 )",123641,"(+/- 4765 )",115605,"(+/- 3757 )",146305,"(+/- 3471 )",53482,"(+/- 2542 )",115844,"(+/- 3737 )",201529,"(+/- 4942 )",98780,"(+/- 4146 )",124743,"(+/- 4065 )",146379,"(+/- 3602 )",61029,"(+/- 2672 )",113194,"(+/- 3929 )",163935,"(+/- 4376 )",98307,"(+/- 4025 )",90805,"(+/- 2982 )",178280,"(+/- 5417 )",83984,"(+/- 3472 )",115953,"(+/- 4253 )",149390,"(+/- 4352 )",156103,"(+/- 5431 )",155014,"(+/- 4896 )",92516,"(+/- 3935 )",154875,"(+/- 4061 )",133622,"(+/- 4703 )"
Housing,Value,"Less than $50,000",12339,"(+/- 1787 )",4905,"(+/- 947 )",4682,"(+/- 867 )",6144,"(+/- 1062 )",3828,"(+/- 813 )",3499,"(+/- 883 )",4320,"(+/- 833 )",10034,"(+/- 1208 )",4952,"(+/- 1045 )",5681,"(+/- 1090 )",1700,"(+/- 498 )",733,"(+/- 349 )",1890,"(+/- 704 )",1855,"(+/- 491 )",1715,"(+/- 578 )",4189,"(+/- 1072 )",2079,"(+/- 660 )",1243,"(+/- 455 )",2439,"(+/- 676 )",2240,"(+/- 586 )",3679,"(+/- 874 )",4888,"(+/- 911 )",6065,"(+/- 1465 )",2915,"(+/- 831 )",4951,"(+/- 1089 )",2636,"(+/- 771 )",684,"(+/- 322 )",1063,"(+/- 492 )",2092,"(+/- 557 )",1451,"(+/- 603 )",5100,"(+/- 855 )",4061,"(+/- 799 )",1903,"(+/- 595 )",342,"(+/- 199 )",5571,"(+/- 1028 )",17212,"(+/- 2075 )",1114,"(+/- 413 )",3335,"(+/- 834 )",2630,"(+/- 800 )",1956,"(+/- 576 )",3878,"(+/- 698 )",4177,"(+/- 905 )",1703,"(+/- 556 )",1869,"(+/- 512 )",1751,"(+/- 547 )",1921,"(+/- 576 )",2042,"(+/- 624 )",2671,"(+/- 805 )",1892,"(+/- 636 )",5865,"(+/- 1144 )",5832,"(+/- 1149 )",1457,"(+/- 489 )",2844,"(+/- 707 )"
Housing,Value,"$50,000 to $99,999",8243,"(+/- 1294 )",2840,"(+/- 868 )",4647,"(+/- 994 )",4982,"(+/- 1156 )",3588,"(+/- 1009 )",2459,"(+/- 792 )",1882,"(+/- 568 )",8095,"(+/- 1245 )",1648,"(+/- 518 )",3434,"(+/- 922 )",2311,"(+/- 806 )",244,"(+/- 133 )",690,"(+/- 343 )",710,"(+/- 338 )",1420,"(+/- 549 )",3895,"(+/- 851 )",771,"(+/- 323 )",564,"(+/- 323 )",1429,"(+/- 592 )",1954,"(+/- 653 )",6184,"(+/- 987 )",4335,"(+/- 950 )",9164,"(+/- 1607 )",1740,"(+/- 661 )",3368,"(+/- 852 )",2395,"(+/- 600 )",784,"(+/- 363 )",424,"(+/- 231 )",1044,"(+/- 374 )",922,"(+/- 395 )",3181,"(+/- 912 )",3465,"(+/- 737 )",685,"(+/- 346 )",301,"(+/- 188 )",2285,"(+/- 671 )",8840,"(+/- 1286 )",651,"(+/- 370 )",1335,"(+/- 492 )",2817,"(+/- 771 )",1217,"(+/- 534 )",2247,"(+/- 613 )",1832,"(+/- 567 )",1360,"(+/- 462 )",2123,"(+/- 848 )",1577,"(+/- 628 )",2871,"(+/- 869 )",2521,"(+/- 827 )",2456,"(+/- 678 )",2342,"(+/- 727 )",6033,"(+/- 1137 )",3406,"(+/- 824 )",616,"(+/- 316 )",1156,"(+/- 452 )"
Housing,Value,"$100,000 to $149,999",14320,"(+/- 1875 )",4186,"(+/- 1057 )",4347,"(+/- 1000 )",3577,"(+/- 865 )",3368,"(+/- 1085 )",2947,"(+/- 832 )",2401,"(+/- 769 )",10199,"(+/- 1665 )",3518,"(+/- 828 )",3037,"(+/- 988 )",1886,"(+/- 737 )",445,"(+/- 291 )",483,"(+/- 253 )",860,"(+/- 308 )",757,"(+/- 358 )",9903,"(+/- 1479 )",2753,"(+/- 919 )",908,"(+/- 382 )",1477,"(+/- 441 )",1559,"(+/- 553 )",13329,"(+/- 1736 )",8957,"(+/- 1463 )",14188,"(+/- 1986 )",2185,"(+/- 713 )",1656,"(+/- 640 )",2195,"(+/- 891 )",516,"(+/- 250 )",452,"(+/- 363 )",944,"(+/- 424 )",556,"(+/- 298 )",2473,"(+/- 789 )",1249,"(+/- 500 )",672,"(+/- 352 )",464,"(+/- 316 )",1504,"(+/- 638 )",8234,"(+/- 1222 )",923,"(+/- 493 )",311,"(+/- 182 )",1265,"(+/- 456 )",453,"(+/- 257 )",1646,"(+/- 546 )",1447,"(+/- 498 )",400,"(+/- 358 )",1030,"(+/- 422 )",1572,"(+/- 656 )",695,"(+/- 357 )",597,"(+/- 275 )",1734,"(+/- 503 )",1212,"(+/- 474 )",4244,"(+/- 1380 )",3741,"(+/- 1011 )",642,"(+/- 343 )",942,"(+/- 339 )"
Housing,Value,"$150,000 to $199,999",18455,"(+/- 1770 )",3624,"(+/- 1019 )",7377,"(+/- 1266 )",5838,"(+/- 1351 )",3749,"(+/- 1070 )",7728,"(+/- 1345 )",3481,"(+/- 920 )",16732,"(+/- 2022 )",5768,"(+/- 1071 )",6140,"(+/- 1288 )",1005,"(+/- 513 )",257,"(+/- 218 )",609,"(+/- 291 )",434,"(+/- 250 )",1551,"(+/- 605 )",17777,"(+/- 2164 )",1484,"(+/- 665 )",1002,"(+/- 545 )",1595,"(+/- 539 )",1618,"(+/- 604 )",24492,"(+/- 2394 )",16286,"(+/- 1837 )",20179,"(+/- 2037 )",1822,"(+/- 582 )",6489,"(+/- 1180 )",1618,"(+/- 478 )",552,"(+/- 259 )",228,"(+/- 180 )",692,"(+/- 267 )",450,"(+/- 296 )",4918,"(+/- 1234 )",770,"(+/- 300 )",837,"(+/- 467 )",179,"(+/- 145 )",2523,"(+/- 757 )",17590,"(+/- 2000 )",397,"(+/- 258 )",477,"(+/- 316 )",1131,"(+/- 438 )",517,"(+/- 355 )",3142,"(+/- 952 )",2893,"(+/- 838 )",533,"(+/- 330 )",985,"(+/- 423 )",1390,"(+/- 543 )",512,"(+/- 457 )",620,"(+/- 443 )",1809,"(+/- 628 )",1830,"(+/- 544 )",2313,"(+/- 680 )",6654,"(+/- 1521 )",677,"(+/- 401 )",862,"(+/- 312 )"
Housing,Value,"$200,000 to $299,999",43342,"(+/- 3025 )",14865,"(+/- 1864 )",22749,"(+/- 2037 )",22649,"(+/- 2260 )",8433,"(+/- 1358 )",37703,"(+/- 2740 )",19889,"(+/- 1927 )",46379,"(+/- 3665 )",24327,"(+/- 1861 )",33412,"(+/- 3333 )",6946,"(+/- 1239 )",1460,"(+/- 714 )",1923,"(+/- 652 )",1879,"(+/- 773 )",2174,"(+/- 549 )",37363,"(+/- 2719 )",1726,"(+/- 525 )",1585,"(+/- 568 )",3133,"(+/- 772 )",4623,"(+/- 951 )",30099,"(+/- 2477 )",44366,"(+/- 3597 )",47597,"(+/- 3768 )",9408,"(+/- 1539 )",22548,"(+/- 2190 )",4463,"(+/- 928 )",887,"(+/- 397 )",801,"(+/- 382 )",3316,"(+/- 688 )",2640,"(+/- 831 )",21794,"(+/- 2119 )",2311,"(+/- 664 )",656,"(+/- 370 )",1104,"(+/- 449 )",11145,"(+/- 1403 )",56769,"(+/- 3390 )",2138,"(+/- 616 )",3203,"(+/- 910 )",2707,"(+/- 618 )",3124,"(+/- 752 )",20259,"(+/- 2071 )",15112,"(+/- 1642 )",2240,"(+/- 601 )",4527,"(+/- 1085 )",4687,"(+/- 1117 )",4113,"(+/- 953 )",2713,"(+/- 720 )",2990,"(+/- 844 )",3342,"(+/- 846 )",6736,"(+/- 1374 )",14192,"(+/- 2059 )",2793,"(+/- 843 )",5144,"(+/- 1050 )"
Housing,Value,"$300,000 to $499,999",56163,"(+/- 3118 )",32685,"(+/- 2481 )",65140,"(+/- 3225 )",80667,"(+/- 3605 )",38918,"(+/- 2659 )",56983,"(+/- 3537 )",90676,"(+/- 4185 )",43877,"(+/- 4021 )",56864,"(+/- 3371 )",67667,"(+/- 4040 )",32724,"(+/- 2507 )",4583,"(+/- 1162 )",17308,"(+/- 1954 )",5310,"(+/- 1000 )",9447,"(+/- 1388 )",21661,"(+/- 2144 )",3397,"(+/- 759 )",4564,"(+/- 1101 )",7527,"(+/- 1108 )",27954,"(+/- 2000 )",11289,"(+/- 1509 )",49618,"(+/- 3713 )",42811,"(+/- 3346 )",38282,"(+/- 2834 )",39292,"(+/- 2407 )",32052,"(+/- 2256 )",12178,"(+/- 1470 )",8821,"(+/- 1464 )",32924,"(+/- 2217 )",18494,"(+/- 1618 )",56030,"(+/- 3933 )",46696,"(+/- 3017 )",4954,"(+/- 1048 )",12998,"(+/- 1365 )",70577,"(+/- 3990 )",64228,"(+/- 3124 )",16568,"(+/- 1924 )",39742,"(+/- 2614 )",19564,"(+/- 2061 )",28065,"(+/- 2200 )",66862,"(+/- 3361 )",83235,"(+/- 3533 )",24888,"(+/- 2476 )",53311,"(+/- 2891 )",20319,"(+/- 1626 )",20673,"(+/- 2021 )",20337,"(+/- 1930 )",13653,"(+/- 1607 )",23007,"(+/- 1879 )",47968,"(+/- 3533 )",36565,"(+/- 2817 )",17445,"(+/- 1909 )",42169,"(+/- 3442 )"
