Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,Industry,"Transportation and warehousing, and utilities",16693,"(+/- 2553 )",20563,"(+/- 2176 )",16243,"(+/- 2454 )",14013,"(+/- 2580 )",18911,"(+/- 2175 )",16528,"(+/- 2409 )",16772,"(+/- 2682 )"
Workers,Industry,Information,8015,"(+/- 2077 )",4995,"(+/- 1475 )",3019,"(+/- 789 )",4745,"(+/- 1024 )",4905,"(+/- 1126 )",5698,"(+/- 2026 )",4026,"(+/- 1108 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26404,"(+/- 3173 )",22949,"(+/- 2970 )",15270,"(+/- 2272 )",20938,"(+/- 2577 )",25587,"(+/- 3360 )",12072,"(+/- 2159 )",15112,"(+/- 1979 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",56073,"(+/- 3942 )",32644,"(+/- 3431 )",25851,"(+/- 2688 )",40942,"(+/- 2983 )",31226,"(+/- 3035 )",27739,"(+/- 3777 )",27700,"(+/- 3066 )"
Workers,Industry,"Educational services, and health care and social assistance",83933,"(+/- 4865 )",83000,"(+/- 4819 )",70366,"(+/- 4339 )",74031,"(+/- 4266 )",69333,"(+/- 4681 )",63922,"(+/- 4039 )",64123,"(+/- 3935 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",45715,"(+/- 4718 )",29305,"(+/- 3461 )",23282,"(+/- 2462 )",33682,"(+/- 3358 )",27620,"(+/- 3597 )",29407,"(+/- 3547 )",46030,"(+/- 3754 )"
Workers,Industry,"Other services, except public administration",20816,"(+/- 2762 )",17445,"(+/- 2377 )",15518,"(+/- 2143 )",19466,"(+/- 2790 )",14746,"(+/- 2212 )",14428,"(+/- 2077 )",16747,"(+/- 3139 )"
Workers,Industry,"Public administration",21579,"(+/- 2930 )",21845,"(+/- 2336 )",10626,"(+/- 1771 )",10903,"(+/- 1876 )",15089,"(+/- 2140 )",14170,"(+/- 2045 )",10942,"(+/- 1512 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",394504,"(+/- 8260 )",336086,"(+/- 6394 )",306256,"(+/- 7610 )",359688,"(+/- 7129 )",332806,"(+/- 6645 )",279694,"(+/- 7745 )",306714,"(+/- 7235 )"
Workers,"Class of Worker","Private wage and salary workers",307337,"(+/- 8058 )",258225,"(+/- 6776 )",248364,"(+/- 7896 )",305037,"(+/- 7573 )",270684,"(+/- 7433 )",217217,"(+/- 7666 )",246354,"(+/- 6859 )"
Workers,"Class of Worker","Government workers",60665,"(+/- 4700 )",61862,"(+/- 3550 )",42676,"(+/- 3754 )",35072,"(+/- 3290 )",46543,"(+/- 4240 )",48095,"(+/- 4754 )",38253,"(+/- 3094 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25426,"(+/- 3255 )",15648,"(+/- 2262 )",14764,"(+/- 2120 )",19030,"(+/- 2802 )",14702,"(+/- 2140 )",13930,"(+/- 1844 )",21228,"(+/- 2726 )"
Workers,"Class of Worker","Unpaid family workers",1076,"(+/- 570 )",351,"(+/- 240 )",452,"(+/- 330 )",549,"(+/- 455 )",877,"(+/- 547 )",452,"(+/- 366 )",879,"(+/- 487 )"
Housing,"Housing Occupancy","Total housing units",368783,"(+/- 3430 )",312137,"(+/- 3269 )",315460,"(+/- 2231 )",309953,"(+/- 2522 )",313035,"(+/- 2100 )",303456,"(+/- 5057 )",395467,"(+/- 1909 )"
Housing,"Housing Occupancy","Occupied housing units",309161,"(+/- 4265 )",278823,"(+/- 4327 )",269147,"(+/- 5068 )",276650,"(+/- 3705 )",272378,"(+/- 4373 )",244616,"(+/- 5900 )",277216,"(+/- 5737 )"
Housing,"Housing Occupancy","Vacant housing units",59622,"(+/- 4261 )",33314,"(+/- 4067 )",46313,"(+/- 4804 )",33303,"(+/- 3112 )",40657,"(+/- 3546 )",58840,"(+/- 4271 )",118251,"(+/- 5879 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.5 )",1.8,"(+/- 0.7 )",1.0,"(+/- 0.4 )",1.1,"(+/- 0.5 )",1.5,"(+/- 0.6 )",2.6,"(+/- 0.9 )",2.5,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",9.4,"(+/- 1.6 )",6.4,"(+/- 1.9 )",9.2,"(+/- 2.3 )",8.9,"(+/- 2.1 )",7.9,"(+/- 2.0 )",6.3,"(+/- 1.4 )",20.6,"(+/- 2.5 )"
Housing,"Housing Tenure","Occupied housing units",309161,"(+/- 4265 )",278823,"(+/- 4327 )",269147,"(+/- 5068 )",276650,"(+/- 3705 )",272378,"(+/- 4373 )",244616,"(+/- 5900 )",277216,"(+/- 5737 )"
Housing,"Housing Tenure",Owner-occupied,220377,"(+/- 4777 )",201962,"(+/- 4172 )",191148,"(+/- 4170 )",187211,"(+/- 3768 )",196609,"(+/- 4685 )",142775,"(+/- 4948 )",195404,"(+/- 4476 )"
Housing,"Housing Tenure",Renter-occupied,88784,"(+/- 4299 )",76861,"(+/- 4469 )",77999,"(+/- 4049 )",89439,"(+/- 4001 )",75769,"(+/- 3934 )",101841,"(+/- 4898 )",81812,"(+/- 4730 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.64,"(+/- 0.04 )",2.51,"(+/- 0.05 )",2.56,"(+/- 0.06 )",2.68,"(+/- 0.04 )",2.69,"(+/- 0.05 )",2.54,"(+/- 0.07 )",2.52,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.46,"(+/- 0.10 )",2.48,"(+/- 0.10 )",2.40,"(+/- 0.10 )",2.44,"(+/- 0.07 )",2.51,"(+/- 0.09 )",2.51,"(+/- 0.09 )",2.75,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",309161,"(+/- 4265 )",278823,"(+/- 4327 )",269147,"(+/- 5068 )",276650,"(+/- 3705 )",272378,"(+/- 4373 )",244616,"(+/- 5900 )",277216,"(+/- 5737 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",65024,"(+/- 3420 )",52704,"(+/- 4086 )",44660,"(+/- 3143 )",57363,"(+/- 3590 )",42410,"(+/- 3670 )",47468,"(+/- 3831 )",42731,"(+/- 2707 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",59023,"(+/- 4142 )",39926,"(+/- 3476 )",41897,"(+/- 3832 )",45234,"(+/- 3388 )",45158,"(+/- 3930 )",41538,"(+/- 3270 )",47084,"(+/- 4395 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",57744,"(+/- 4402 )",48710,"(+/- 3766 )",45681,"(+/- 3568 )",52008,"(+/- 3352 )",48842,"(+/- 3742 )",43334,"(+/- 3331 )",50863,"(+/- 3680 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",73006,"(+/- 3794 )",71179,"(+/- 4234 )",62472,"(+/- 3664 )",61010,"(+/- 3366 )",65539,"(+/- 3669 )",39221,"(+/- 3066 )",66221,"(+/- 3600 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",31205,"(+/- 2605 )",33315,"(+/- 2666 )",33831,"(+/- 2553 )",30552,"(+/- 2167 )",31037,"(+/- 2380 )",30737,"(+/- 3033 )",35428,"(+/- 2514 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",23159,"(+/- 2362 )",32989,"(+/- 2513 )",40606,"(+/- 3133 )",30483,"(+/- 2199 )",39392,"(+/- 2711 )",42318,"(+/- 2894 )",34889,"(+/- 2705 )"
Housing,Value,"Owner-occupied units",220377,"(+/- 4777 )",201962,"(+/- 4172 )",191148,"(+/- 4170 )",187211,"(+/- 3768 )",196609,"(+/- 4685 )",142775,"(+/- 4948 )",195404,"(+/- 4476 )"
Housing,Value,"Less than $50,000",6613,"(+/- 1253 )",18137,"(+/- 2136 )",26780,"(+/- 2694 )",11988,"(+/- 1676 )",23380,"(+/- 2687 )",30274,"(+/- 2786 )",26772,"(+/- 2630 )"
Housing,Value,"$50,000 to $99,999",9374,"(+/- 2044 )",30607,"(+/- 2384 )",39044,"(+/- 2200 )",25984,"(+/- 2154 )",34846,"(+/- 2691 )",34926,"(+/- 2824 )",35180,"(+/- 2885 )"
Housing,Value,"$100,000 to $149,999",16667,"(+/- 2755 )",38823,"(+/- 2748 )",34336,"(+/- 2634 )",34608,"(+/- 2721 )",31022,"(+/- 2675 )",25947,"(+/- 2428 )",28957,"(+/- 2730 )"
Housing,Value,"$150,000 to $199,999",28714,"(+/- 2630 )",39650,"(+/- 3181 )",29437,"(+/- 2685 )",36766,"(+/- 2860 )",29817,"(+/- 2612 )",18288,"(+/- 2348 )",31504,"(+/- 2839 )"
Housing,Value,"$200,000 to $299,999",57955,"(+/- 4058 )",38104,"(+/- 2515 )",31115,"(+/- 2488 )",40848,"(+/- 2737 )",40261,"(+/- 3130 )",17894,"(+/- 1921 )",38140,"(+/- 2823 )"
Housing,Value,"$300,000 to $499,999",54395,"(+/- 4031 )",26204,"(+/- 2432 )",21196,"(+/- 1936 )",26678,"(+/- 2141 )",26123,"(+/- 2474 )",11127,"(+/- 1652 )",24907,"(+/- 2135 )"
Housing,Value,"$500,000 to $999,999",36198,"(+/- 2823 )",8903,"(+/- 1212 )",6774,"(+/- 1195 )",8880,"(+/- 1235 )",9812,"(+/- 1589 )",3081,"(+/- 663 )",8055,"(+/- 1295 )"
Housing,Value,"$1,000,000 or more",10461,"(+/- 1317 )",1534,"(+/- 489 )",2466,"(+/- 613 )",1459,"(+/- 451 )",1348,"(+/- 564 )",1238,"(+/- 475 )",1889,"(+/- 665 )"
Housing,Value,"Median (dollars)",283100,"(+/- 6289 )",164100,"(+/- 2908 )",143000,"(+/- 4360 )",175900,"(+/- 4339 )",163100,"(+/- 4977 )",110300,"(+/- 4644 )",159400,"(+/- 3957 )"
Housing,"Mortgage Status","Owner-occupied units",220377,"(+/- 4777 )",201962,"(+/- 4172 )",191148,"(+/- 4170 )",187211,"(+/- 3768 )",196609,"(+/- 4685 )",142775,"(+/- 4948 )",195404,"(+/- 4476 )"
Housing,"Mortgage Status","Housing units with a mortgage",148054,"(+/- 5643 )",128186,"(+/- 3829 )",102969,"(+/- 4030 )",118384,"(+/- 3888 )",117385,"(+/- 4562 )",65530,"(+/- 3644 )",100096,"(+/- 3913 )"
Housing,"Mortgage Status","Housing units without a mortgage",72323,"(+/- 3881 )",73776,"(+/- 3679 )",88179,"(+/- 3849 )",68827,"(+/- 3305 )",79224,"(+/- 3608 )",77245,"(+/- 4190 )",95308,"(+/- 4075 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",148054,"(+/- 5643 )",128186,"(+/- 3829 )",102969,"(+/- 4030 )",118384,"(+/- 3888 )",117385,"(+/- 4562 )",65530,"(+/- 3644 )",100096,"(+/- 3913 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1234,"(+/- 598 )",2782,"(+/- 929 )",3290,"(+/- 842 )",4317,"(+/- 1208 )",2874,"(+/- 837 )",2742,"(+/- 952 )",2893,"(+/- 890 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",18906,"(+/- 2338 )",37403,"(+/- 2520 )",41615,"(+/- 3143 )",37838,"(+/- 2822 )",38475,"(+/- 2854 )",23804,"(+/- 2200 )",36483,"(+/- 2966 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",46352,"(+/- 3809 )",46971,"(+/- 3297 )",31140,"(+/- 2829 )",42185,"(+/- 3259 )",37432,"(+/- 2888 )",24734,"(+/- 2304 )",34400,"(+/- 2911 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",39276,"(+/- 3210 )",23277,"(+/- 2114 )",14209,"(+/- 2080 )",19638,"(+/- 1662 )",20506,"(+/- 2507 )",9256,"(+/- 1413 )",13992,"(+/- 1725 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",18098,"(+/- 2387 )",9408,"(+/- 1505 )",6547,"(+/- 1374 )",7409,"(+/- 1180 )",10359,"(+/- 1598 )",2438,"(+/- 666 )",6878,"(+/- 1287 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",10992,"(+/- 1651 )",3879,"(+/- 1180 )",3198,"(+/- 770 )",2933,"(+/- 765 )",4543,"(+/- 1217 )",1106,"(+/- 520 )",2667,"(+/- 984 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",13196,"(+/- 1743 )",4466,"(+/- 975 )",2970,"(+/- 771 )",4064,"(+/- 846 )",3196,"(+/- 930 )",1450,"(+/- 486 )",2783,"(+/- 690 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1584,"(+/- 35 )",1200,"(+/- 21 )",1081,"(+/- 31 )",1175,"(+/- 25 )",1212,"(+/- 31 )",1104,"(+/- 29 )",1137,"(+/- 30 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",72323,"(+/- 3881 )",73776,"(+/- 3679 )",88179,"(+/- 3849 )",68827,"(+/- 3305 )",79224,"(+/- 3608 )",77245,"(+/- 4190 )",95308,"(+/- 4075 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",4172,"(+/- 979 )",13829,"(+/- 1953 )",22143,"(+/- 2335 )",13409,"(+/- 1581 )",20475,"(+/- 2380 )",19715,"(+/- 2224 )",18797,"(+/- 2425 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",18283,"(+/- 2386 )",27400,"(+/- 2491 )",36450,"(+/- 3062 )",27459,"(+/- 2152 )",31536,"(+/- 2657 )",26240,"(+/- 2580 )",35034,"(+/- 3139 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",23709,"(+/- 2252 )",22190,"(+/- 2520 )",21339,"(+/- 1927 )",19770,"(+/- 2068 )",19656,"(+/- 2082 )",21176,"(+/- 2391 )",28720,"(+/- 2488 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",10982,"(+/- 1571 )",7099,"(+/- 1383 )",5001,"(+/- 984 )",5133,"(+/- 1002 )",5127,"(+/- 1181 )",7241,"(+/- 1210 )",7902,"(+/- 1280 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5815,"(+/- 1194 )",1942,"(+/- 649 )",1564,"(+/- 469 )",1927,"(+/- 642 )",1755,"(+/- 690 )",2073,"(+/- 735 )",3190,"(+/- 836 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",9362,"(+/- 1261 )",1316,"(+/- 483 )",1682,"(+/- 496 )",1129,"(+/- 476 )",675,"(+/- 317 )",800,"(+/- 398 )",1665,"(+/- 615 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",505,"(+/- 19 )",375,"(+/- 14 )",329,"(+/- 10 )",358,"(+/- 13 )",338,"(+/- 10 )",355,"(+/- 13 )",377,"(+/- 9 )"
Housing,"Gross Rent","Occupied units paying rent",84362,"(+/- 4131 )",71650,"(+/- 4499 )",69792,"(+/- 3729 )",83528,"(+/- 3781 )",68752,"(+/- 3639 )",91405,"(+/- 4646 )",68929,"(+/- 4128 )"
Housing,"Gross Rent","Less than $500",3826,"(+/- 1279 )",5221,"(+/- 1532 )",11528,"(+/- 1718 )",10826,"(+/- 1707 )",8576,"(+/- 1577 )",12589,"(+/- 2140 )",9684,"(+/- 2059 )"
Housing,"Gross Rent","$500 to $999",16792,"(+/- 2553 )",35315,"(+/- 2791 )",43998,"(+/- 3382 )",42375,"(+/- 3154 )",39656,"(+/- 3142 )",47366,"(+/- 3816 )",41917,"(+/- 3588 )"
Housing,"Gross Rent","$1,000 to $1,499",38741,"(+/- 2930 )",23752,"(+/- 3739 )",11080,"(+/- 1887 )",24124,"(+/- 2582 )",17831,"(+/- 2225 )",23641,"(+/- 2397 )",14649,"(+/- 2326 )"
Housing,"Gross Rent","$1,500 to $1,999",18371,"(+/- 2558 )",4909,"(+/- 1425 )",1542,"(+/- 557 )",4333,"(+/- 871 )",1785,"(+/- 814 )",5908,"(+/- 1695 )",2558,"(+/- 812 )"
Housing,"Gross Rent","$2,000 to $2,499",4003,"(+/- 1334 )",1331,"(+/- 697 )",1149,"(+/- 483 )",698,"(+/- 371 )",384,"(+/- 360 )",992,"(+/- 385 )",66,"(+/- 113 )"
Housing,"Gross Rent","$2,500 to $2,999",1437,"(+/- 838 )",604,"(+/- 731 )",165,"(+/- 259 )",367,"(+/- 328 )",244,"(+/- 208 )",393,"(+/- 285 )",55,"(+/- 96 )"
Housing,"Gross Rent","$3,000 or more",1192,"(+/- 651 )",518,"(+/- 366 )",330,"(+/- 326 )",805,"(+/- 640 )",276,"(+/- 387 )",516,"(+/- 352 )",0,"(+/- 214 )"
Housing,"Gross Rent","Median (dollars)",1281,"(+/- 33 )",942,"(+/- 33 )",743,"(+/- 17 )",887,"(+/- 22 )",803,"(+/- 27 )",864,"(+/- 31 )",802,"(+/- 30 )"
Housing,"Gross Rent","No rent paid",4422,"(+/- 1475 )",5211,"(+/- 1077 )",8207,"(+/- 1601 )",5911,"(+/- 1412 )",7017,"(+/- 1582 )",10436,"(+/- 1742 )",12883,"(+/- 2084 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Total households",309161,"(+/- 4265 )",278823,"(+/- 4327 )",269147,"(+/- 5068 )",276650,"(+/- 3705 )",272378,"(+/- 4373 )",244616,"(+/- 5900 )",277216,"(+/- 5737 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Less than $10,000",15429,"(+/- 2547 )",18462,"(+/- 2408 )",21350,"(+/- 2405 )",17641,"(+/- 2128 )",18154,"(+/- 2391 )",28923,"(+/- 2660 )",26215,"(+/- 2863 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$10,000 to $14,999",10120,"(+/- 1927 )",10534,"(+/- 1652 )",18742,"(+/- 2454 )",11490,"(+/- 1666 )",14054,"(+/- 1714 )",16688,"(+/- 2063 )",16707,"(+/- 1841 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$15,000 to $24,999",20883,"(+/- 3199 )",22863,"(+/- 2679 )",31087,"(+/- 3079 )",24880,"(+/- 2606 )",31147,"(+/- 3137 )",36598,"(+/- 2983 )",36864,"(+/- 3049 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$25,000 to $34,999",24651,"(+/- 2887 )",27640,"(+/- 3249 )",29904,"(+/- 2755 )",27730,"(+/- 2625 )",31320,"(+/- 2846 )",30569,"(+/- 2511 )",32862,"(+/- 3579 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$35,000 to $49,999",35445,"(+/- 2660 )",39485,"(+/- 3514 )",37341,"(+/- 3010 )",37038,"(+/- 3238 )",36116,"(+/- 2882 )",38545,"(+/- 3230 )",39454,"(+/- 2948 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$50,000 to $74,999",57869,"(+/- 4335 )",53895,"(+/- 3858 )",49060,"(+/- 3468 )",53327,"(+/- 3480 )",49513,"(+/- 3966 )",43132,"(+/- 3268 )",51092,"(+/- 3554 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$75,000 to $99,999",45859,"(+/- 3377 )",36899,"(+/- 2596 )",30808,"(+/- 2687 )",40823,"(+/- 3124 )",33766,"(+/- 2716 )",23735,"(+/- 3106 )",28797,"(+/- 2467 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$100,000 to $149,999",51041,"(+/- 3316 )",39663,"(+/- 3450 )",32575,"(+/- 2867 )",34295,"(+/- 2802 )",32834,"(+/- 2869 )",16434,"(+/- 1739 )",28279,"(+/- 2653 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$150,000 to $199,000",20951,"(+/- 2240 )",16294,"(+/- 2048 )",10004,"(+/- 1686 )",14693,"(+/- 1451 )",13895,"(+/- 1879 )",5342,"(+/- 995 )",8297,"(+/- 1603 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","$200,000 or more",26913,"(+/- 3026 )",13088,"(+/- 1474 )",8276,"(+/- 1366 )",14733,"(+/- 1668 )",11579,"(+/- 1787 )",4650,"(+/- 1071 )",8649,"(+/- 1421 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Median household income (dollars)",70335,"(+/- 2206 )",58495,"(+/- 3043 )",48048,"(+/- 1983 )",58602,"(+/- 2113 )",52045,"(+/- 1488 )",38660,"(+/- 1401 )",44192,"(+/- 2286 )"
Socioeconomic,"Income and Benefits (In 2018 inflation-adjusted dollars)","Mean household income (dollars)",96391,"(+/- 3256 )",77623,"(+/- 2502 )",65819,"(+/- 2080 )",77240,"(+/- 2275 )",72396,"(+/- 2807 )",51851,"(+/- 1863 )",62462,"(+/- 2149 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",796401,"(+/- 7208 )",698474,"(+/- 10002 )",687914,"(+/- 6940 )",729476,"(+/- 7546 )",720212,"(+/- 5418 )",633690,"(+/- 12786 )",724073,"(+/- 3315 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",723968,"(+/- 9030 )",636329,"(+/- 11375 )",609775,"(+/- 8115 )",646637,"(+/- 8596 )",659026,"(+/- 7237 )",557003,"(+/- 13297 )",635043,"(+/- 6847 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",585599,"(+/- 11756 )",490338,"(+/- 12820 )",444899,"(+/- 10452 )",493230,"(+/- 10547 )",494380,"(+/- 10694 )",356466,"(+/- 12407 )",423534,"(+/- 10738 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",265644,"(+/- 9308 )",245161,"(+/- 9189 )",265023,"(+/- 7132 )",241372,"(+/- 8152 )",266579,"(+/- 10230 )",274757,"(+/- 8830 )",329889,"(+/- 9832 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",72433,"(+/- 6944 )",62145,"(+/- 6363 )",78139,"(+/- 6530 )",82839,"(+/- 7449 )",61186,"(+/- 4676 )",76687,"(+/- 5898 )",89030,"(+/- 6759 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",181786,"(+/- 4480 )",171829,"(+/- 5298 )",156754,"(+/- 4051 )",178685,"(+/- 3268 )",179415,"(+/- 3283 )",149601,"(+/- 6910 )",159356,"(+/- 3332 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",13194,"(+/- 2871 )",5297,"(+/- 1662 )",8683,"(+/- 2355 )",11087,"(+/- 3107 )",3849,"(+/- 1028 )",6826,"(+/- 2244 )",6740,"(+/- 2163 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.4,"(+/- 1.3 )",9.0,"(+/- 1.3 )",10.3,"(+/- 1.3 )",8.3,"(+/- 1.2 )",10.7,"(+/- 1.2 )",17.2,"(+/- 1.6 )",13.5,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",14.3,"(+/- 2.3 )",15.0,"(+/- 2.4 )",17.5,"(+/- 2.3 )",13.6,"(+/- 2.2 )",16.5,"(+/- 2.4 )",28.8,"(+/- 3.0 )",24.5,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.0,"(+/- 4.5 )",17.7,"(+/- 5.6 )",19.7,"(+/- 5.8 )",14.1,"(+/- 4.9 )",16.7,"(+/- 5.4 )",25.3,"(+/- 8.1 )",23.7,"(+/- 8.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.3,"(+/- 1.1 )",3.7,"(+/- 0.9 )",3.9,"(+/- 0.9 )",3.8,"(+/- 0.9 )",4.5,"(+/- 0.9 )",7.5,"(+/- 1.5 )",6.1,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.7,"(+/- 1.9 )",4.0,"(+/- 1.5 )",4.6,"(+/- 1.2 )",3.9,"(+/- 1.6 )",5.5,"(+/- 1.7 )",12.2,"(+/- 3.3 )",8.5,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.1,"(+/- 2.4 )",2.9,"(+/- 2.2 )",1.7,"(+/- 1.7 )",0.9,"(+/- 1.1 )",6.6,"(+/- 5.5 )",13.2,"(+/- 9.5 )",12.6,"(+/- 9.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",23.6,"(+/- 4.5 )",24.8,"(+/- 4.2 )",32.2,"(+/- 4.8 )",25.5,"(+/- 4.2 )",27.1,"(+/- 3.7 )",33.6,"(+/- 3.9 )",34.2,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",32.3,"(+/- 6.2 )",35.0,"(+/- 5.6 )",45.9,"(+/- 6.5 )",38.8,"(+/- 6.2 )",36.4,"(+/- 5.9 )",47.3,"(+/- 5.2 )",45.9,"(+/- 5.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",20.3,"(+/- 16.0 )",50.9,"(+/- 14.8 )",55.6,"(+/- 18.1 )",49.9,"(+/- 14.7 )",44.5,"(+/- 14.5 )",40.1,"(+/- 13.0 )",41.8,"(+/- 18.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.2,"(+/- 1.2 )",12.8,"(+/- 1.4 )",15.9,"(+/- 1.4 )",11.9,"(+/- 1.3 )",14.0,"(+/- 1.3 )",23.8,"(+/- 1.5 )",19.0,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",18.9,"(+/- 3.1 )",18.0,"(+/- 3.5 )",22.0,"(+/- 2.9 )",17.0,"(+/- 3.0 )",19.9,"(+/- 2.9 )",36.0,"(+/- 3.5 )",29.7,"(+/- 3.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.9,"(+/- 3.1 )",17.8,"(+/- 3.5 )",21.8,"(+/- 2.9 )",16.8,"(+/- 3.0 )",19.8,"(+/- 2.9 )",35.8,"(+/- 3.5 )",29.3,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",16.3,"(+/- 3.3 )",21.5,"(+/- 4.7 )",26.7,"(+/- 3.7 )",17.3,"(+/- 4.6 )",22.4,"(+/- 4.6 )",36.6,"(+/- 5.7 )",32.1,"(+/- 5.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",19.8,"(+/- 3.5 )",16.5,"(+/- 3.8 )",20.2,"(+/- 3.2 )",16.6,"(+/- 2.9 )",18.9,"(+/- 3.1 )",35.5,"(+/- 4.1 )",28.5,"(+/- 3.4 )"
